Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-15,16:00:00,10.4,10.48,10.39,10.3901,327358,0
2017-09-15,17:00:00,10.4,10.55,10.39,10.49,695091,0
2017-09-15,18:00:00,10.496,10.6,10.4773,10.49,557401,0
2017-09-15,19:00:00,10.49,10.57,10.49,10.56,231021,0
2017-09-15,20:00:00,10.565,10.57,10.51,10.54,208204,0
2017-09-15,21:00:00,10.54,10.57,10.51,10.53,118107,0
2017-09-15,22:00:00,10.525,10.54,10.46,10.509,240770,0
2017-09-18,16:00:00,10.58,10.7,10.56,10.58,306101,0
2017-09-18,17:00:00,10.575,10.59,10.57,10.58,143293,0
2017-09-18,18:00:00,10.58,10.6,10.575,10.58,116000,0
2017-09-18,19:00:00,10.585,10.6,10.58,10.59,99107,0
2017-09-18,20:00:00,10.595,10.6,10.59,10.59,128261,0
2017-09-18,21:00:00,10.595,10.65,10.58,10.6498,138998,0
2017-09-18,22:00:00,10.6441,10.65,10.59,10.6,102673,0
2017-09-19,16:00:00,10.6,10.65,10.6,10.65,55448,0
2017-09-19,17:00:00,10.65,10.65,10.62,10.64,99092,0
2017-09-19,18:00:00,10.65,10.65,10.62,10.63,55915,0
2017-09-19,19:00:00,10.63,10.64,10.61,10.635,39767,0
2017-09-19,20:00:00,10.63,10.66,10.63,10.65,280546,0
2017-09-19,21:00:00,10.65,10.65,10.64,10.65,29529,0
2017-09-19,22:00:00,10.65,10.65,10.63,10.63,71469,0
2017-09-20,16:00:00,10.75,10.75,10.6,10.64,73898,0
2017-09-20,17:00:00,10.63,10.65,10.62,10.63,61001,0
2017-09-20,18:00:00,10.6317,10.6317,10.59,10.6,44877,0
2017-09-20,19:00:00,10.6,10.6,10.58,10.5892,29015,0
2017-09-20,20:00:00,10.5801,10.59,10.55,10.59,82686,0
2017-09-20,21:00:00,10.58,10.58,10.52,10.54,102303,0
2017-09-20,22:00:00,10.5335,10.54,10.46,10.46,108320,0
2017-09-21,16:00:00,10.5,10.56,10.5,10.56,4802,0
2017-09-21,17:00:00,10.54,10.55,10.5,10.53,13234,0
2017-09-21,18:00:00,10.58,10.6,10.538,10.5948,25840,0
2017-09-21,19:00:00,10.5925,10.5925,10.55,10.56,3950,0
2017-09-21,20:00:00,10.55,10.55,10.52,10.52,28545,0
2017-09-21,21:00:00,10.525,10.53,10.52,10.5272,6800,0
2017-09-21,22:00:00,10.53,10.53,10.52,10.53,8902,0
2017-09-22,16:00:00,10.51,10.576,10.5,10.515,15489,0
2017-09-22,17:00:00,10.5047,10.5705,10.5047,10.52,15833,0
2017-09-22,18:00:00,10.52,10.5299,10.5,10.5,28990,0
2017-09-22,19:00:00,10.5099,10.5099,10.5,10.5099,7331,0
2017-09-22,20:00:00,10.51,10.51,10.5,10.5,15921,0
2017-09-22,21:00:00,10.5057,10.5057,10.49,10.49,20984,0
2017-09-22,22:00:00,10.485,10.5067,10.48,10.5067,27761,0
2017-09-25,16:00:00,10.6,10.6,10.51,10.54,12622,0
2017-09-25,17:00:00,10.58,10.59,10.46,10.46,25621,0
2017-09-25,18:00:00,10.46,10.55,10.444,10.4845,23774,0
2017-09-25,19:00:00,10.4744,10.5,10.47,10.5,10175,0
2017-09-25,20:00:00,10.4853,10.5,10.47,10.48,5663,0
2017-09-25,21:00:00,10.5,10.5,10.45,10.45,26980,0
2017-09-25,22:00:00,10.46,10.48,10.459,10.465,5556,0
2017-09-26,16:00:00,10.6,10.6,10.5,10.5748,9732,0
2017-09-26,17:00:00,10.58,10.58,10.5301,10.5301,18265,0
2017-09-26,18:00:00,10.53,10.54,10.45,10.5299,27983,0
2017-09-26,19:00:00,10.53,10.5366,10.52,10.52,8550,0
2017-09-26,20:00:00,10.54,10.54,10.5001,10.516,36700,0
2017-09-26,21:00:00,10.51,10.53,10.51,10.5201,7400,0
