Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-19,17:00:00,48.127,48.127,48.127,48.127,615,0
2016-10-19,18:00:00,48.139,48.139,48.139,48.139,101,0
2016-10-19,20:00:00,48.149,48.149,48.149,48.149,101,0
2016-10-20,18:00:00,48.069,48.069,48.069,48.069,101,0
2016-10-20,20:00:00,48.149,48.149,48.149,48.149,101,0
2016-10-24,20:00:00,48.144,48.144,48.144,48.144,1059,0
2016-10-25,16:00:00,48.172,48.174,48.164,48.164,530,0
2016-10-25,21:00:00,48.191,48.191,48.191,48.191,315,0
2016-10-25,22:00:00,48.183,48.191,48.183,48.191,321,0
2016-10-26,20:00:00,48.124,48.134,48.124,48.124,1059,0
2016-10-26,22:00:00,48.055,48.055,48.055,48.055,315,0
2016-10-27,22:00:00,47.945,47.945,47.945,47.945,417,0
2016-11-01,16:00:00,47.613,47.613,47.599,47.599,215,0
2016-11-01,17:00:00,47.599,47.599,47.594,47.594,215,0
2016-11-01,19:00:00,47.493,47.493,47.493,47.493,100,0
2016-11-02,20:00:00,47.331,47.331,47.331,47.331,100,0
2016-11-02,21:00:00,47.341,47.341,47.321,47.321,428,0
2016-11-03,16:00:00,47.266,47.266,47.266,47.266,100,0
2016-11-03,17:00:00,47.292,47.292,47.292,47.292,100,0
2016-11-03,18:00:00,47.292,47.292,47.292,47.292,100,0
2016-11-21,17:00:00,46.987,46.987,46.983,46.983,1273,0
2016-11-25,20:00:00,46.964,46.964,46.964,46.964,0,0
2016-12-21,22:00:00,47.72,47.72,47.72,47.72,100,0
2016-12-23,22:00:00,47.802,47.802,47.802,47.802,100,0
2016-12-27,16:00:00,47.613,47.613,47.613,47.613,100,0
2016-12-28,22:00:00,47.603,47.603,47.603,47.603,100,0
2017-01-04,22:00:00,48.074,48.074,48.074,48.074,100,0
2017-01-10,17:00:00,48.074,48.074,48.074,48.074,100,0
2017-01-24,16:00:00,47.974,47.974,47.974,47.974,100,0
2017-01-31,20:00:00,48.047,48.054,48.047,48.054,528,0
2017-01-31,21:00:00,48.02,48.02,48.02,48.02,1040,0
2017-01-31,22:00:00,47.955,47.955,47.955,47.955,8050,0
2017-02-01,16:00:00,48.115,48.115,48.115,48.115,787,0
2017-02-01,17:00:00,47.976,48.039,47.976,48.039,314,0
2017-02-03,16:00:00,48.039,48.039,48.039,48.039,100,0
2017-02-03,19:00:00,48.238,48.238,48.238,48.238,254,0
2017-02-03,22:00:00,48.238,48.238,48.238,48.238,0,0
2017-02-08,18:00:00,48.257,48.257,48.257,48.257,100,0
2017-02-08,20:00:00,48.238,48.238,48.238,48.238,100,0
2017-02-08,21:00:00,48.247,48.247,48.247,48.247,214,0
2017-02-08,22:00:00,48.228,48.228,48.228,48.228,373,0
2017-02-10,18:00:00,48.238,48.238,48.238,48.238,952,0
2017-02-10,19:00:00,48.238,48.247,48.238,48.247,2218,0
2017-02-13,17:00:00,48.421,48.43,48.421,48.43,1848,0
2017-02-14,20:00:00,48.369,48.369,48.369,48.369,158,0
2017-02-17,20:00:00,48.381,49.358,48.361,48.361,14574,0
2017-02-17,21:00:00,48.381,48.381,48.381,48.381,210,0
2017-02-21,16:00:00,48.421,48.421,48.351,48.351,263,0
2017-02-21,22:00:00,48.381,48.381,48.381,48.381,213,0
2017-02-22,19:00:00,48.467,48.467,48.467,48.467,100,0
2017-02-22,20:00:00,48.494,48.494,48.485,48.485,526,0
