Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-11,22:00:00,50,50,50,50,100,0
2017-08-14,16:00:00,51.1585,51.1585,51.1585,51.1585,720,0
2017-08-14,17:00:00,51.28,51.3,51.24,51.24,4208,0
2017-08-14,18:00:00,51.2673,51.46,51.2673,51.46,6502,0
2017-08-14,19:00:00,51.4,51.45,51.24,51.35,5826,0
2017-08-15,16:00:00,51.5,51.8,51.5,51.73,303,0
2017-08-15,17:00:00,51.56,51.68,51.56,51.68,200,0
2017-08-15,18:00:00,51.33,51.44,51.33,51.44,6375,0
2017-08-15,20:00:00,51.322,51.322,51.322,51.322,300,0
2017-08-15,21:00:00,51.55,51.55,51.55,51.55,350,0
2017-08-15,22:00:00,51.63,51.63,51.63,51.63,100,0
2017-08-16,16:00:00,51.73,51.73,51.73,51.73,298,0
2017-08-16,17:00:00,51.55,51.55,51.55,51.55,300,0
2017-08-16,19:00:00,51.5,51.55,51.5,51.55,800,0
2017-08-16,21:00:00,50.62,50.62,50.62,50.62,1200,0
2017-08-17,17:00:00,50.2169,50.2169,49.9,49.96,4863,0
2017-08-17,18:00:00,50.13,50.216,50.13,50.216,600,0
2017-08-17,19:00:00,49.9681,49.9681,49.79,49.79,200,0
2017-08-17,21:00:00,49.749,49.749,49.749,49.749,115,0
2017-08-17,22:00:00,49.3989,49.45,49.34,49.37,2600,0
2017-08-18,16:00:00,48.7,49.2,48.7,49.2,1243,0
2017-08-18,17:00:00,49.25,49.55,49.25,49.48,300,0
2017-08-18,19:00:00,49.7,49.93,49.7,49.93,6020,0
2017-08-18,21:00:00,49.46,49.469,49.46,49.469,200,0
2017-08-18,22:00:00,49.35,49.41,49.35,49.41,953,0
2017-08-21,16:00:00,49.6,49.6,49.6,49.6,200,0
2017-08-21,18:00:00,49.06,49.22,49.01,49.1,1150,0
2017-08-21,19:00:00,49.14,49.28,49.03,49.06,3300,0
2017-08-21,20:00:00,49.08,49.08,48.79,48.79,1600,0
2017-08-21,21:00:00,48.835,49.12,48.835,49.04,6300,0
