Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-31,16:00:00,15.375,15.375,15.375,15.375,1015,0
2017-08-31,17:00:00,15.385,15.429,15.376,15.429,3958,0
2017-08-31,18:00:00,15.375,15.441,15.375,15.441,423,0
2017-08-31,19:00:00,15.443,15.469,15.413,15.46,5565,0
2017-08-31,20:00:00,15.464,15.464,15.464,15.464,402,0
2017-08-31,21:00:00,15.446,15.464,15.446,15.464,2565,0
2017-08-31,22:00:00,15.413,15.423,15.385,15.385,640,0
2017-09-01,16:00:00,15.404,15.455,15.386,15.422,4554,0
2017-09-01,17:00:00,15.46,15.488,15.46,15.488,318,0
2017-09-01,18:00:00,15.498,15.498,15.481,15.481,213,0
2017-09-01,19:00:00,15.488,15.495,15.488,15.495,1248,0
2017-09-01,20:00:00,15.488,15.488,15.488,15.488,248,0
2017-09-01,21:00:00,15.476,15.476,15.473,15.473,2260,0
2017-09-01,22:00:00,15.496,15.545,15.496,15.517,2460,0
2017-09-05,16:00:00,15.498,15.498,15.486,15.486,591,0
2017-09-05,17:00:00,15.512,15.512,15.479,15.479,3664,0
2017-09-05,18:00:00,15.517,15.517,15.502,15.502,257,0
2017-09-05,19:00:00,15.479,15.498,15.477,15.477,5308,0
2017-09-05,20:00:00,15.476,15.488,15.451,15.451,9220,0
2017-09-05,21:00:00,15.446,15.446,15.413,15.413,4460,0
2017-09-05,22:00:00,15.441,15.441,15.385,15.394,3866,0
2017-09-06,16:00:00,15.394,15.394,15.394,15.394,390,0
2017-09-06,17:00:00,15.394,15.432,15.357,15.357,2978,0
2017-09-06,18:00:00,15.413,15.413,15.413,15.413,318,0
2017-09-06,19:00:00,15.404,15.404,15.394,15.394,423,0
2017-09-06,20:00:00,15.404,15.404,15.404,15.404,634,0
2017-09-06,21:00:00,15.418,15.432,15.404,15.404,2222,0
2017-09-06,22:00:00,15.413,15.432,15.413,15.413,7045,0
2017-09-07,16:00:00,15.413,15.507,15.404,15.437,7651,0
2017-09-07,17:00:00,15.538,15.545,15.408,15.523,15816,0
2017-09-07,18:00:00,15.479,15.545,15.47,15.52,2639,0
2017-09-07,19:00:00,15.488,15.5,15.47,15.47,840,0
2017-09-07,20:00:00,15.479,15.488,15.47,15.479,952,0
2017-09-07,21:00:00,15.488,15.526,15.484,15.484,6752,0
2017-09-07,22:00:00,15.484,15.536,15.479,15.536,4603,0
2017-09-08,16:00:00,15.479,15.555,15.479,15.498,1419,0
2017-09-08,17:00:00,15.476,15.479,15.46,15.467,8078,0
2017-09-08,18:00:00,15.527,15.545,15.477,15.525,1470,0
2017-09-08,19:00:00,15.536,15.545,15.52,15.526,1062,0
2017-09-08,20:00:00,15.536,15.536,15.517,15.517,1856,0
2017-09-08,21:00:00,15.538,15.545,15.496,15.536,4699,0
2017-09-08,22:00:00,15.527,15.527,15.498,15.498,1733,0
2017-09-11,16:00:00,15.545,15.555,15.524,15.539,3048,0
2017-09-11,17:00:00,15.545,15.545,15.545,15.545,952,0
2017-09-11,18:00:00,15.545,15.706,15.542,15.629,5832,0
2017-09-11,19:00:00,15.706,15.758,15.706,15.735,1263,0
2017-09-11,20:00:00,15.706,15.735,15.64,15.706,12275,0
2017-09-11,21:00:00,15.658,15.67,15.658,15.67,634,0
2017-09-11,22:00:00,15.688,15.696,15.688,15.696,414,0
2017-09-12,16:00:00,15.762,15.763,15.762,15.763,3434,0
2017-09-12,17:00:00,15.711,15.716,15.685,15.697,2322,0
2017-09-12,18:00:00,15.715,15.715,15.675,15.675,5663,0
2017-09-12,19:00:00,15.674,15.696,15.674,15.696,846,0
2017-09-12,20:00:00,15.696,15.696,15.696,15.696,1587,0
2017-09-12,21:00:00,15.715,15.735,15.676,15.73,15385,0
2017-09-12,22:00:00,15.725,15.762,15.7,15.725,12672,0
2017-09-13,16:00:00,15.725,15.725,15.668,15.668,2522,0
2017-09-13,17:00:00,15.679,15.679,15.679,15.679,528,0
2017-09-13,18:00:00,15.733,15.791,15.721,15.791,14952,0
2017-09-13,19:00:00,15.791,15.791,15.725,15.735,2381,0
2017-09-13,20:00:00,15.709,15.735,15.688,15.688,2529,0
2017-09-13,21:00:00,15.735,15.735,15.699,15.699,1992,0
2017-09-13,22:00:00,15.72,15.735,15.717,15.735,12333,0
2017-09-14,16:00:00,15.735,15.847,15.625,15.743,4416,0
2017-09-14,17:00:00,15.743,15.811,15.695,15.695,12681,0
2017-09-14,18:00:00,15.756,15.756,15.571,15.581,9714,0
2017-09-14,19:00:00,15.638,15.638,15.609,15.609,992,0
2017-09-14,20:00:00,15.589,15.638,15.589,15.599,1267,0
2017-09-14,21:00:00,15.599,15.655,15.599,15.655,2378,0
2017-09-14,22:00:00,15.638,15.647,15.599,15.647,4494,0
2017-09-15,16:00:00,15.609,15.697,15.609,15.697,1688,0
2017-09-15,17:00:00,15.904,15.936,15.608,15.74,5995,0
2017-09-15,18:00:00,15.777,15.783,15.667,15.71,2363,0
2017-09-15,19:00:00,15.705,15.71,15.69,15.69,2869,0
2017-09-15,20:00:00,15.715,15.725,15.705,15.705,312,0
2017-09-15,21:00:00,15.725,15.725,15.651,15.725,2351,0
2017-09-15,22:00:00,15.725,15.725,15.667,15.687,4139,0
2017-09-18,16:00:00,15.687,15.715,15.663,15.715,10459,0
2017-09-18,17:00:00,15.715,15.735,15.695,15.725,6159,0
2017-09-18,18:00:00,15.705,15.735,15.705,15.705,999,0
2017-09-18,19:00:00,15.735,15.735,15.721,15.725,2181,0
2017-09-18,21:00:00,15.715,15.735,15.715,15.721,4440,0
2017-09-18,22:00:00,15.735,15.735,15.725,15.725,1243,0
2017-09-19,16:00:00,15.735,15.801,15.734,15.801,4340,0
2017-09-19,17:00:00,15.743,15.805,15.715,15.805,8653,0
2017-09-19,18:00:00,15.801,15.889,15.792,15.87,35307,0
2017-09-19,19:00:00,15.869,15.869,15.859,15.869,2025,0
2017-09-19,20:00:00,15.861,15.869,15.85,15.869,2584,0
2017-09-19,21:00:00,15.873,15.873,15.841,15.85,3785,0
2017-09-19,22:00:00,15.848,15.898,15.848,15.898,5404,0
2017-09-20,16:00:00,15.898,15.947,15.832,15.937,12604,0
2017-09-20,17:00:00,15.889,15.889,15.85,15.889,5130,0
2017-09-20,18:00:00,15.859,15.884,15.841,15.85,2596,0
2017-09-20,19:00:00,15.889,15.965,15.889,15.965,3428,0
2017-09-20,20:00:00,15.948,15.956,15.937,15.951,2612,0
2017-09-20,21:00:00,15.965,15.965,15.965,15.965,1019,0
2017-09-20,22:00:00,15.956,15.965,15.937,15.937,6172,0
2017-09-21,16:00:00,15.994,16.013,15.994,16.013,2771,0
2017-09-21,17:00:00,15.937,15.985,15.937,15.971,7348,0
2017-09-21,18:00:00,15.928,15.975,15.928,15.971,1550,0
2017-09-21,19:00:00,15.937,15.946,15.824,15.831,21287,0
2017-09-21,20:00:00,15.831,15.862,15.763,15.773,8827,0
2017-09-21,21:00:00,15.77,15.83,15.735,15.773,9460,0
2017-09-21,22:00:00,15.773,15.811,15.773,15.811,18231,0
2017-09-22,16:00:00,15.831,15.831,15.831,15.831,2403,0
2017-09-22,17:00:00,15.833,15.965,15.833,15.965,7969,0
2017-09-22,18:00:00,15.965,16.004,15.956,16.004,10593,0
2017-09-22,19:00:00,16.003,16.003,15.958,15.969,3266,0
2017-09-22,20:00:00,15.989,16.002,15.946,15.959,5695,0
2017-09-22,21:00:00,15.976,15.977,15.976,15.977,1247,0
2017-09-22,22:00:00,15.983,15.985,15.956,15.985,2827,0
2017-09-25,16:00:00,15.956,15.956,15.931,15.931,1250,0
2017-09-25,17:00:00,15.971,15.971,15.971,15.971,727,0
2017-09-25,18:00:00,15.982,15.982,15.982,15.982,1142,0
2017-09-25,19:00:00,15.985,16.013,15.956,15.993,7686,0
2017-09-25,20:00:00,16,16.046,16,16.043,6662,0
2017-09-25,21:00:00,16.014,16.043,15.997,15.997,2728,0
2017-09-25,22:00:00,16.023,16.023,15.966,16.013,2616,0
2017-09-26,16:00:00,16.033,16.081,15.928,16.071,3604,0
2017-09-26,17:00:00,16.062,16.1,16.007,16.1,7838,0
2017-09-26,18:00:00,16.1,16.1,16.055,16.081,3110,0
2017-09-26,19:00:00,16.071,16.071,16.071,16.071,831,0
2017-09-26,20:00:00,16.043,16.081,16.043,16.081,3011,0
2017-09-26,21:00:00,16.071,16.081,16.071,16.08,1713,0
2017-09-26,22:00:00,16.071,16.091,15.956,16.013,13741,0
2017-09-27,16:00:00,16.023,16.048,16.023,16.048,1290,0
2017-09-27,17:00:00,16.033,16.043,16.012,16.033,1245,0
2017-09-27,18:00:00,16.033,16.033,16.023,16.023,527,0
2017-09-27,19:00:00,15.987,16.033,15.987,16.028,5945,0
2017-09-27,20:00:00,16.043,16.043,15.946,16.043,2439,0
2017-09-27,21:00:00,16.075,16.075,16.054,16.059,2648,0
2017-09-27,22:00:00,16.033,16.071,15.975,15.975,11008,0
2017-09-28,16:00:00,15.994,16.071,15.994,16.062,3485,0
2017-09-28,17:00:00,16.033,16.062,15.994,16.043,1874,0
2017-09-28,18:00:00,16.051,16.062,15.985,16.017,6748,0
2017-09-28,19:00:00,16.052,16.062,15.994,16.052,2596,0
2017-09-28,20:00:00,16.052,16.052,16.037,16.037,1090,0
2017-09-28,21:00:00,16.052,16.062,16.025,16.062,3219,0
2017-09-28,22:00:00,16.061,16.062,16.017,16.062,9078,0
2017-09-29,16:00:00,16.071,16.071,16.071,16.071,922,0
2017-09-29,17:00:00,16.1,16.1,16.1,16.1,104,0
2017-09-29,18:00:00,16.1,16.1,16.097,16.097,929,0
2017-09-29,19:00:00,16.119,16.148,16.107,16.145,2492,0
2017-09-29,20:00:00,16.148,16.175,16.148,16.175,2274,0
2017-09-29,21:00:00,16.187,16.235,16.176,16.235,6475,0
2017-09-29,22:00:00,16.233,16.264,16.187,16.216,25489,0
2017-10-02,16:00:00,16.148,16.289,16.129,16.177,23024,0
2017-10-02,17:00:00,16.167,16.216,16.129,16.216,10915,0
2017-10-02,18:00:00,16.216,16.216,16.158,16.158,3136,0
2017-10-02,19:00:00,16.201,16.204,16.177,16.194,6973,0
2017-10-02,20:00:00,16.211,16.216,16.206,16.206,5358,0
2017-10-02,21:00:00,16.206,16.212,16.196,16.205,1275,0
2017-10-02,22:00:00,16.207,16.216,16.168,16.168,3531,0
2017-10-03,16:00:00,16.216,16.216,16.158,16.158,8333,0
2017-10-03,17:00:00,16.175,16.187,16.139,16.146,10556,0
2017-10-03,18:00:00,16.142,16.206,16.142,16.148,10411,0
