Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,51.644,51.644,51.264,51.324,63332,0
2017-09-05,17:00:00,51.284,51.344,51.049,51.096,128436,0
2017-09-05,18:00:00,51.084,51.164,51.034,51.094,82820,0
2017-09-05,19:00:00,51.084,51.094,50.406,50.426,127682,0
2017-09-05,20:00:00,50.426,50.615,50.296,50.615,123943,0
2017-09-05,21:00:00,50.615,50.905,50.595,50.825,115624,0
2017-09-05,22:00:00,50.825,51.224,50.665,50.975,528683,0
2017-09-06,16:00:00,51.014,51.094,50.146,50.356,254021,0
2017-09-06,17:00:00,50.356,50.805,50.246,50.396,410011,0
2017-09-06,18:00:00,50.406,50.456,49.906,49.992,263088,0
2017-09-06,19:00:00,50.001,50.106,49.696,49.766,346580,0
2017-09-06,20:00:00,49.766,50.076,49.746,49.951,451793,0
2017-09-06,21:00:00,49.951,50.006,49.796,49.966,321605,0
2017-09-06,22:00:00,49.956,50.061,49.926,49.986,862892,0
2017-09-07,16:00:00,50.146,50.246,49.706,50.216,233147,0
2017-09-07,17:00:00,50.256,50.256,49.826,50.036,90626,0
2017-09-07,18:00:00,50.046,50.056,49.776,49.786,106681,0
2017-09-07,19:00:00,49.786,50.046,49.706,49.996,131440,0
2017-09-07,20:00:00,50.006,50.066,49.906,50.066,108104,0
2017-09-07,21:00:00,50.046,50.126,49.936,49.966,185070,0
2017-09-07,22:00:00,49.966,49.976,49.756,49.806,535485,0
2017-09-08,16:00:00,49.686,49.866,49.457,49.836,137999,0
2017-09-08,17:00:00,49.846,50.326,49.826,50.266,235201,0
2017-09-08,18:00:00,50.276,50.396,50.126,50.196,101792,0
2017-09-08,19:00:00,50.196,50.555,50.136,50.545,100782,0
2017-09-08,20:00:00,50.545,50.795,50.535,50.745,209407,0
2017-09-08,21:00:00,50.745,50.775,50.475,50.505,144640,0
2017-09-08,22:00:00,50.505,50.535,50.336,50.475,369090,0
2017-09-11,16:00:00,50.705,51.274,50.545,51.274,176687,0
2017-09-11,17:00:00,51.274,51.454,51.154,51.234,201172,0
2017-09-11,18:00:00,51.238,51.657,51.214,51.554,130971,0
2017-09-11,19:00:00,51.554,51.734,51.514,51.684,75983,0
2017-09-11,20:00:00,51.684,51.779,51.524,51.584,529571,0
2017-09-11,21:00:00,51.614,51.734,51.554,51.694,91612,0
2017-09-11,22:00:00,51.679,51.774,51.624,51.674,448933,0
2017-09-12,16:00:00,51.674,51.904,51.564,51.784,46344,0
2017-09-12,17:00:00,51.804,52.164,51.734,52.164,105405,0
2017-09-12,18:00:00,52.114,52.114,51.844,51.994,60232,0
2017-09-12,19:00:00,51.984,52.134,51.964,51.984,109120,0
2017-09-12,20:00:00,52.004,52.124,51.964,52.004,92060,0
2017-09-12,21:00:00,52.024,52.194,51.994,52.184,129678,0
2017-09-12,22:00:00,52.194,52.214,52.024,52.094,747701,0
2017-09-13,16:00:00,52.064,52.184,51.614,51.634,255551,0
2017-09-13,17:00:00,51.694,51.914,51.629,51.734,344452,0
2017-09-13,18:00:00,51.744,51.744,51.204,51.224,343862,0
2017-09-13,19:00:00,51.204,51.284,51.144,51.284,112424,0
2017-09-13,20:00:00,51.294,51.314,50.406,50.505,505990,0
2017-09-13,21:00:00,50.505,50.705,50.356,50.675,225286,0
2017-09-13,22:00:00,50.665,51.234,50.635,51.144,1154256,0
2017-09-14,16:00:00,51.044,51.314,50.366,51.304,161971,0
2017-09-14,17:00:00,51.334,51.384,51.059,51.179,348742,0
2017-09-14,18:00:00,51.194,51.264,50.985,51.084,178018,0
2017-09-14,19:00:00,51.084,51.294,51.084,51.234,170739,0
2017-09-14,20:00:00,51.214,51.284,51.009,51.064,170358,0
2017-09-14,21:00:00,51.054,51.094,50.975,51.064,139090,0
2017-09-14,22:00:00,51.054,51.054,50.785,50.825,583185,0
2017-09-15,16:00:00,50.785,51.084,50.336,50.865,332308,0
2017-09-15,17:00:00,50.89,50.985,50.675,50.755,257006,0
2017-09-15,18:00:00,50.735,50.885,50.585,50.885,131137,0
2017-09-15,19:00:00,50.895,51.339,50.885,51.329,238962,0
2017-09-15,20:00:00,51.329,51.514,51.294,51.494,165254,0
2017-09-15,21:00:00,51.494,51.624,51.404,51.424,186059,0
2017-09-15,22:00:00,51.424,51.434,51.064,51.244,1155142,0
2017-09-18,16:00:00,51.304,51.424,51.134,51.234,331249,0
2017-09-18,17:00:00,51.224,51.719,51.154,51.714,314930,0
2017-09-18,18:00:00,51.714,52.064,51.684,51.884,352421,0
2017-09-18,19:00:00,51.894,51.974,51.714,51.874,157630,0
2017-09-18,20:00:00,51.874,51.964,51.674,51.674,136811,0
2017-09-18,21:00:00,51.664,51.704,51.544,51.654,223387,0
2017-09-18,22:00:00,51.654,51.774,51.604,51.634,530649,0
2017-09-19,16:00:00,51.324,51.804,51.084,51.464,401064,0
2017-09-19,17:00:00,51.464,51.734,51.284,51.554,581624,0
2017-09-19,18:00:00,51.554,51.664,51.324,51.474,260267,0
2017-09-19,19:00:00,51.484,51.604,51.284,51.424,196364,0
2017-09-19,20:00:00,51.424,52.014,51.424,51.974,228937,0
2017-09-19,21:00:00,51.984,52.134,51.814,51.914,309247,0
2017-09-19,22:00:00,51.914,51.964,51.704,51.744,758382,0
2017-09-20,16:00:00,51.434,51.694,51.274,51.309,61123,0
2017-09-20,17:00:00,51.284,51.444,50.915,50.925,230334,0
2017-09-20,18:00:00,50.945,51.154,50.875,50.915,237266,0
2017-09-20,19:00:00,50.925,51.404,50.915,51.244,207426,0
2017-09-20,20:00:00,51.229,51.344,50.975,50.985,127923,0
2017-09-20,21:00:00,50.985,50.985,50.406,50.89,342399,0
2017-09-20,22:00:00,50.895,50.905,50.376,50.396,794606,0
2017-09-21,16:00:00,50.675,50.875,50.485,50.5,125853,0
2017-09-21,17:00:00,50.515,50.543,50.196,50.226,99653,0
2017-09-21,18:00:00,50.236,50.485,50.236,50.276,85860,0
2017-09-21,19:00:00,50.266,50.446,50.196,50.346,89443,0
2017-09-21,20:00:00,50.366,50.495,50.34,50.456,96748,0
2017-09-21,21:00:00,50.465,50.695,50.446,50.525,119289,0
2017-09-21,22:00:00,50.535,50.62,50.426,50.426,323756,0
2017-09-22,16:00:00,50.436,50.845,50.266,50.675,59018,0
2017-09-22,17:00:00,50.705,50.765,50.196,50.465,415473,0
2017-09-22,18:00:00,50.465,50.565,50.196,50.446,270654,0
2017-09-22,19:00:00,50.446,50.58,50.416,50.565,118094,0
2017-09-22,20:00:00,50.567,50.575,50.386,50.436,145867,0
2017-09-22,21:00:00,50.456,50.456,50.056,50.096,140741,0
2017-09-22,22:00:00,50.106,50.266,50.086,50.216,495549,0
2017-09-25,16:00:00,49.936,50.296,49.836,50.256,152394,0
2017-09-25,17:00:00,50.246,50.475,49.986,50.126,829821,0
2017-09-25,18:00:00,50.116,50.226,49.906,50.106,211283,0
2017-09-25,19:00:00,50.106,50.296,49.996,50.266,107766,0
2017-09-25,20:00:00,50.276,50.396,50.216,50.386,194291,0
2017-09-25,21:00:00,50.391,50.555,50.336,50.42,167023,0
2017-09-25,22:00:00,50.416,50.615,50.406,50.465,759806,0
2017-09-26,16:00:00,50.745,51.024,50.585,50.915,76077,0
2017-09-26,17:00:00,50.905,50.935,50.46,50.725,345985,0
2017-09-26,18:00:00,50.725,50.975,50.595,50.975,205029,0
2017-09-26,19:00:00,50.995,51.244,50.885,51.025,141142,0
2017-09-26,20:00:00,51.044,51.184,50.965,51.174,74442,0
2017-09-26,21:00:00,51.184,51.204,50.92,51.005,178033,0
2017-09-26,22:00:00,51.009,51.164,51.005,51.114,602866,0
2017-09-27,16:00:00,51.454,51.674,51.224,51.324,224048,0
2017-09-27,17:00:00,51.334,51.424,50.985,51.054,267886,0
2017-09-27,18:00:00,51.034,51.064,50.695,50.855,125457,0
2017-09-27,19:00:00,50.855,51.089,50.775,51.054,113839,0
2017-09-27,20:00:00,51.084,51.374,51.054,51.364,171030,0
2017-09-27,21:00:00,51.334,51.364,51.074,51.164,142125,0
2017-09-27,22:00:00,51.154,51.454,51.124,51.254,765359,0
2017-09-28,16:00:00,51.234,51.764,51.134,51.314,224862,0
2017-09-28,17:00:00,51.314,51.499,51.244,51.414,170099,0
2017-09-28,18:00:00,51.404,51.424,51.184,51.424,188875,0
2017-09-28,19:00:00,51.434,51.644,51.434,51.444,78843,0
2017-09-28,20:00:00,51.444,51.624,51.324,51.574,154441,0
2017-09-28,21:00:00,51.554,51.934,51.504,51.894,269556,0
2017-09-28,22:00:00,51.904,52.194,51.894,52.164,530722,0
2017-09-29,16:00:00,52.522,53.492,52.432,52.812,382452,0
2017-09-29,17:00:00,52.772,53.072,52.482,52.527,524625,0
2017-09-29,18:00:00,52.532,52.752,52.452,52.662,239544,0
2017-09-29,19:00:00,52.662,52.772,52.422,52.552,195572,0
2017-09-29,20:00:00,52.562,53.112,52.562,52.892,230996,0
2017-09-29,21:00:00,52.892,52.902,52.642,52.662,370822,0
2017-09-29,22:00:00,52.652,52.792,52.592,52.732,866040,0
2017-10-02,16:00:00,53.002,53.082,52.432,53.012,197397,0
2017-10-02,17:00:00,53.042,53.082,52.432,52.572,339836,0
2017-10-02,18:00:00,52.572,52.712,52.452,52.682,164791,0
2017-10-02,19:00:00,52.652,52.822,52.567,52.688,134834,0
2017-10-02,20:00:00,52.682,52.722,52.492,52.722,277793,0
2017-10-02,21:00:00,52.712,52.722,52.532,52.662,202191,0
2017-10-02,22:00:00,52.662,52.922,52.661,52.752,1225044,0
2017-10-03,16:00:00,54.83,55.346,53.662,54.42,1691130,0
2017-10-03,17:00:00,54.38,55.09,54.03,54.25,1103828,0
2017-10-03,18:00:00,54.27,54.48,53.442,54.12,1117220,0
2017-10-03,19:00:00,54.11,54.8,54.11,54.43,508076,0
2017-10-03,20:00:00,54.456,55.778,54.41,55.229,834856,0
2017-10-03,21:00:00,55.239,55.599,54.98,55.259,579826,0
2017-10-03,22:00:00,55.259,55.449,55.04,55.279,1437365,0
2017-10-04,16:00:00,54.99,55.918,54.99,55.679,450353,0
2017-10-04,17:00:00,55.659,55.759,55.15,55.729,662481,0
2017-10-04,18:00:00,55.698,56.098,55.629,55.97,396068,0
2017-10-04,19:00:00,55.968,56.108,55.903,56.078,237361,0
2017-10-04,20:00:00,56.068,56.078,55.898,56.038,326298,0
2017-10-04,21:00:00,56.038,56.288,56.028,56.238,360666,0
2017-10-04,22:00:00,56.228,56.368,56.028,56.338,830255,0
2017-10-05,16:00:00,56.408,56.707,56.208,56.213,204144,0
2017-10-05,17:00:00,56.228,56.538,56.048,56.468,359816,0
2017-10-05,18:00:00,56.458,56.593,56.298,56.388,401563,0
2017-10-05,19:00:00,56.368,56.373,55.988,56.128,481150,0
2017-10-05,20:00:00,56.133,56.203,55.998,56.198,188364,0
2017-10-05,21:00:00,56.198,56.273,55.988,55.988,266833,0
2017-10-05,22:00:00,55.998,56.038,55.888,55.998,658339,0
2017-10-06,16:00:00,55.948,56.138,55.659,55.669,230893,0
2017-10-06,17:00:00,55.664,55.838,55.459,55.788,706447,0
2017-10-06,18:00:00,55.788,55.868,55.659,55.679,269597,0
2017-10-06,19:00:00,55.689,55.918,55.689,55.908,190480,0
2017-10-06,20:00:00,55.908,55.968,55.818,55.838,176669,0
2017-10-06,21:00:00,55.838,55.983,55.793,55.858,188210,0
2017-10-06,22:00:00,55.863,55.868,55.749,55.818,791718,0
2017-10-09,17:00:00,55.908,55.938,55.749,55.878,54553,0
2017-10-09,18:00:00,55.888,56.128,55.828,56.028,170488,0
2017-10-09,19:00:00,56.038,56.04,55.918,56.038,118853,0
2017-10-09,20:00:00,56.028,56.268,56.023,56.258,143502,0
2017-10-09,21:00:00,56.258,56.318,56.088,56.098,238090,0
2017-10-09,22:00:00,56.088,56.178,56.028,56.128,602674,0
2017-10-10,16:00:00,56.138,56.396,55.908,55.908,44928,0
2017-10-10,17:00:00,55.888,56.088,55.709,55.978,217728,0
2017-10-10,18:00:00,55.988,56.018,55.888,55.998,140055,0
2017-10-10,19:00:00,56.008,56.118,55.898,55.968,237559,0
2017-10-10,20:00:00,55.958,56.278,55.958,56.228,240349,0
2017-10-10,21:00:00,56.218,56.273,56.108,56.158,159184,0
2017-10-10,22:00:00,56.158,56.308,56.088,56.168,597854,0
2017-10-11,16:00:00,56.028,56.368,55.988,56.318,91849,0
2017-10-11,17:00:00,56.308,56.438,56.078,56.358,441726,0
2017-10-11,18:00:00,56.358,56.438,56.228,56.412,125164,0
2017-10-11,19:00:00,56.418,56.478,56.308,56.338,146821,0
2017-10-11,20:00:00,56.348,56.458,56.278,56.328,104738,0
2017-10-11,21:00:00,56.328,56.438,56.318,56.368,126996,0
2017-10-11,22:00:00,56.358,56.548,56.358,56.508,640225,0
2017-10-12,16:00:00,56.248,56.568,56.168,56.238,43383,0
2017-10-12,17:00:00,56.268,56.627,56.268,56.393,58480,0
2017-10-12,18:00:00,56.388,56.478,56.328,56.388,111286,0
2017-10-12,19:00:00,56.408,56.428,56.278,56.298,61551,0
2017-10-12,20:00:00,56.298,56.308,55.988,56.008,129017,0
2017-10-12,21:00:00,56.003,56.268,55.998,56.143,210880,0
2017-10-12,22:00:00,56.143,56.318,55.968,55.978,642598,0
2017-10-13,16:00:00,56.218,56.498,56.118,56.313,105013,0
2017-10-13,17:00:00,56.328,56.458,56.148,56.393,213276,0
2017-10-13,18:00:00,56.398,56.617,56.118,56.118,155596,0
2017-10-13,19:00:00,56.118,56.158,56.003,56.158,115856,0
2017-10-13,20:00:00,56.153,56.183,56.018,56.093,84195,0
2017-10-13,21:00:00,56.098,56.208,55.993,56.183,104063,0
2017-10-13,22:00:00,56.188,56.228,55.918,55.948,493030,0
2017-10-16,16:00:00,55.968,56.198,55.719,55.769,81368,0
2017-10-16,17:00:00,55.773,55.953,55.709,55.898,165155,0
2017-10-16,18:00:00,55.888,55.928,55.764,55.798,136097,0
2017-10-16,19:00:00,55.798,55.798,55.599,55.709,103346,0
2017-10-16,20:00:00,55.699,55.798,55.689,55.747,76709,0
2017-10-16,21:00:00,55.744,55.788,55.709,55.759,106890,0
2017-10-16,22:00:00,55.764,55.828,55.699,55.788,476953,0
2017-10-17,16:00:00,55.788,55.898,55.669,55.679,59892,0
2017-10-17,17:00:00,55.729,56.108,55.659,56.018,290631,0
2017-10-17,18:00:00,56.018,56.018,55.75,55.928,208383,0
2017-10-17,19:00:00,55.938,55.958,55.788,55.928,177643,0
2017-10-17,20:00:00,55.938,55.963,55.808,55.898,213706,0
2017-10-17,21:00:00,55.898,56.033,55.868,55.901,229658,0
2017-10-17,22:00:00,55.898,55.948,55.888,55.898,857394,0
2017-10-18,16:00:00,55.928,56.118,55.868,55.963,166591,0
2017-10-18,17:00:00,55.963,55.978,55.769,55.898,171916,0
2017-10-18,18:00:00,55.878,56.378,55.813,56.218,1412151,0
2017-10-18,19:00:00,56.218,56.388,56.138,56.258,220788,0
2017-10-18,20:00:00,56.258,56.378,56.218,56.338,205929,0
2017-10-18,21:00:00,56.348,56.418,56.188,56.248,211330,0
2017-10-18,22:00:00,56.248,56.398,56.168,56.238,1617760,0
2017-10-19,16:00:00,56.218,56.263,55.898,55.898,101570,0
2017-10-19,17:00:00,55.878,55.998,55.769,55.998,171688,0
2017-10-19,18:00:00,56.008,56.328,55.948,56.118,501383,0
2017-10-19,19:00:00,56.128,56.478,56.018,56.448,227141,0
2017-10-19,20:00:00,56.458,56.658,56.438,56.573,270408,0
2017-10-19,21:00:00,56.588,56.788,56.548,56.733,135785,0
2017-10-19,22:00:00,56.738,56.898,56.653,56.718,726239,0
2017-10-20,16:00:00,57.747,57.967,56.968,57.083,251923,0
2017-10-20,17:00:00,57.053,57.627,56.988,57.617,233920,0
2017-10-20,18:00:00,57.617,57.652,57.338,57.438,254776,0
2017-10-20,19:00:00,57.418,57.468,57.223,57.233,236451,0
2017-10-20,20:00:00,57.228,57.488,57.228,57.448,158521,0
2017-10-20,21:00:00,57.448,57.687,57.388,57.542,336733,0
2017-10-20,22:00:00,57.547,57.557,57.278,57.468,639300,0
2017-10-23,16:00:00,57.368,57.567,57.208,57.528,117948,0
2017-10-23,17:00:00,57.518,57.687,57.416,57.557,166282,0
2017-10-23,18:00:00,57.557,57.797,57.508,57.757,137846,0
2017-10-23,19:00:00,57.757,57.877,57.632,57.677,170730,0
2017-10-23,20:00:00,57.697,57.707,57.218,57.218,293965,0
2017-10-23,21:00:00,57.218,57.388,57.058,57.378,385775,0
2017-10-23,22:00:00,57.378,57.498,57.128,57.268,642891,0
2017-10-24,16:00:00,57.318,57.727,57.318,57.557,184092,0
2017-10-24,17:00:00,57.567,57.857,57.363,57.767,300978,0
2017-10-24,18:00:00,57.777,57.837,57.498,57.577,102170,0
2017-10-24,19:00:00,57.577,57.907,57.557,57.867,101909,0
2017-10-24,20:00:00,57.887,57.907,57.657,57.747,124051,0
2017-10-24,21:00:00,57.767,57.962,57.687,57.832,279888,0
2017-10-24,22:00:00,57.837,58.097,57.767,57.977,965460,0
2017-10-25,16:00:00,58.557,58.697,58.132,58.357,149372,0
2017-10-25,17:00:00,58.397,58.927,58.137,58.177,280404,0
2017-10-25,18:00:00,58.167,58.197,57.867,58.117,205951,0
2017-10-25,19:00:00,58.107,58.165,57.867,58.027,104043,0
2017-10-25,20:00:00,58.027,58.237,57.907,58.167,133000,0
2017-10-25,21:00:00,58.157,58.377,58.087,58.127,313037,0
2017-10-25,22:00:00,58.122,58.162,57.807,57.907,1081023,0
2017-10-26,16:00:00,58.177,58.347,58.077,58.117,63590,0
2017-10-26,17:00:00,58.107,58.347,57.957,58.247,169823,0
2017-10-26,18:00:00,58.237,58.377,58.097,58.377,250318,0
2017-10-26,19:00:00,58.387,58.492,58.097,58.137,220043,0
2017-10-26,20:00:00,58.127,58.287,58.112,58.217,126972,0
2017-10-26,21:00:00,58.227,58.427,58.167,58.427,172244,0
2017-10-26,22:00:00,58.427,58.577,58.407,58.427,413464,0
2017-10-27,16:00:00,58.407,58.607,57.847,57.857,53111,0
2017-10-27,17:00:00,57.897,58.407,57.897,58.407,133434,0
2017-10-27,18:00:00,58.367,58.437,58.197,58.277,127978,0
2017-10-27,19:00:00,58.287,58.357,58.187,58.257,83706,0
2017-10-27,20:00:00,58.257,58.357,57.887,57.927,246798,0
2017-10-27,21:00:00,57.937,58.207,57.917,58.125,287570,0
2017-10-27,22:00:00,58.127,58.217,57.917,57.977,636470,0
2017-10-30,15:00:00,56.128,57.218,55.968,56.378,2292615,0
2017-10-30,16:00:00,56.358,56.718,55.828,56.268,1922986,0
2017-10-30,17:00:00,56.268,56.848,56.158,56.458,1258962,0
2017-10-30,18:00:00,56.448,56.458,55.669,55.689,933906,0
2017-10-30,19:00:00,55.679,56.038,55.649,55.659,645166,0
2017-10-30,20:00:00,55.659,55.988,55.489,55.898,913336,0
2017-10-30,21:00:00,55.908,55.908,55.599,55.649,2301527,0
2017-10-31,15:00:00,55.808,55.968,55.249,55.389,584503,0
2017-10-31,16:00:00,55.369,55.739,55.279,55.279,1131323,0
2017-10-31,17:00:00,55.279,55.459,55.119,55.129,694652,0
2017-10-31,18:00:00,55.124,55.369,54.879,55.294,848458,0
2017-10-31,19:00:00,55.294,55.669,55.169,55.429,828818,0
2017-10-31,20:00:00,55.424,55.534,55.149,55.449,1015568,0
2017-10-31,21:00:00,55.439,55.639,55.299,55.639,2143337,0
2017-11-01,15:00:00,56.058,56.058,55.429,55.619,367542,0
2017-11-01,16:00:00,55.619,56.168,55.519,55.948,1380174,0
2017-11-01,17:00:00,55.968,56.338,55.669,56.268,757572,0
2017-11-01,18:00:00,56.268,56.628,56.098,56.573,497898,0
2017-11-01,19:00:00,56.568,56.738,56.128,56.738,611102,0
2017-11-01,20:00:00,56.718,56.818,56.468,56.718,1014085,0
2017-11-01,21:00:00,56.708,56.948,56.648,56.928,1459006,0
2017-11-02,15:00:00,56.988,57.088,56.568,56.648,354646,0
2017-11-02,16:00:00,56.658,56.718,54.959,55.139,1759548,0
2017-11-02,17:00:00,55.139,55.379,55.059,55.269,572075,0
2017-11-02,18:00:00,55.269,55.818,55.239,55.649,289897,0
2017-11-02,19:00:00,55.639,55.719,55.369,55.579,361473,0
2017-11-02,20:00:00,55.579,55.709,55.029,55.07,412365,0
2017-11-02,21:00:00,55.079,55.169,54.869,55.069,1372322,0
2017-11-03,15:00:00,54.979,55.109,54.579,54.819,481068,0
