Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,45.731,45.91,45.721,45.88,28805,0
2017-09-05,17:00:00,45.87,45.9,45.552,45.562,167131,0
2017-09-05,18:00:00,45.552,45.622,45.334,45.582,162885,0
2017-09-05,19:00:00,45.592,45.632,45.383,45.393,222304,0
2017-09-05,20:00:00,45.393,45.413,45.244,45.314,134071,0
2017-09-05,21:00:00,45.314,45.353,45.244,45.264,94216,0
2017-09-05,22:00:00,45.264,45.443,45.264,45.423,154272,0
2017-09-06,16:00:00,45.423,45.488,44.867,44.887,29767,0
2017-09-06,17:00:00,44.956,45.006,44.708,44.907,128073,0
2017-09-06,18:00:00,44.907,44.912,44.807,44.877,119456,0
2017-09-06,19:00:00,44.887,44.956,44.827,44.887,80653,0
2017-09-06,20:00:00,44.897,44.976,44.847,44.912,37061,0
2017-09-06,21:00:00,44.917,44.956,44.867,44.887,81863,0
2017-09-06,22:00:00,44.887,45.125,44.887,45.006,178772,0
2017-09-07,16:00:00,45.075,45.264,44.837,45.026,29166,0
2017-09-07,17:00:00,45.055,45.075,44.907,44.986,39934,0
2017-09-07,18:00:00,45.006,45.036,44.947,45.016,138077,0
2017-09-07,19:00:00,44.986,45.026,44.728,44.832,109665,0
2017-09-07,20:00:00,44.832,45.006,44.827,44.976,59187,0
2017-09-07,21:00:00,44.976,45.055,44.966,44.996,115587,0
2017-09-07,22:00:00,44.996,44.996,44.956,44.966,139092,0
2017-09-08,16:00:00,44.897,45.195,44.609,45.045,28628,0
2017-09-08,17:00:00,45.075,45.244,44.996,45.125,45457,0
2017-09-08,18:00:00,45.145,45.582,44.976,45.353,128656,0
2017-09-08,19:00:00,45.363,45.363,45.109,45.264,37805,0
2017-09-08,20:00:00,45.274,45.294,45.135,45.246,39453,0
2017-09-08,21:00:00,45.264,45.264,45.045,45.175,63505,0
2017-09-08,22:00:00,45.165,45.264,45.031,45.125,209588,0
2017-09-11,16:00:00,45.353,45.681,45.165,45.597,34325,0
2017-09-11,17:00:00,45.582,45.81,45.443,45.552,93719,0
2017-09-11,18:00:00,45.542,45.562,45.443,45.483,37886,0
2017-09-11,19:00:00,45.502,45.612,45.453,45.562,31647,0
2017-09-11,20:00:00,45.572,45.582,45.363,45.463,27286,0
2017-09-11,21:00:00,45.458,45.522,45.334,45.383,95492,0
2017-09-11,22:00:00,45.398,45.398,45.22,45.314,187875,0
2017-09-12,16:00:00,45.353,45.562,45.195,45.522,38643,0
2017-09-12,17:00:00,45.562,45.602,45.463,45.532,75284,0
2017-09-12,18:00:00,45.527,45.582,45.244,45.334,66806,0
2017-09-12,19:00:00,45.334,45.572,45.274,45.572,91730,0
2017-09-12,20:00:00,45.562,45.691,45.393,45.502,182176,0
