Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,30.486,30.584,30.218,30.258,1237090,0
2017-09-06,17:00:00,30.263,30.476,30.189,30.397,1815903,0
2017-09-06,18:00:00,30.401,30.466,30.04,30.317,2698541,0
2017-09-06,19:00:00,30.322,30.97,30.248,30.852,1176223,0
2017-09-06,20:00:00,30.871,31.247,30.683,30.733,1444253,0
2017-09-06,21:00:00,30.733,31.178,30.693,31.049,904150,0
2017-09-06,22:00:00,31.049,31.841,31.02,31.386,8267570,0
2017-09-07,16:00:00,31.287,31.485,31.257,31.287,774860,0
2017-09-07,17:00:00,31.287,31.94,30.99,31.89,2107025,0
2017-09-07,18:00:00,31.89,32.108,31.692,31.712,1806782,0
2017-09-07,19:00:00,31.712,31.712,30.96,31.277,950476,0
2017-09-07,20:00:00,31.277,31.445,31.218,31.336,596213,0
2017-09-07,21:00:00,31.351,31.415,31.178,31.183,622125,0
2017-09-07,22:00:00,31.183,31.396,30.99,31.366,1647118,0
2017-09-08,16:00:00,31.455,31.682,31.396,31.41,1546041,0
2017-09-08,17:00:00,31.415,31.504,31.316,31.47,2214917,0
2017-09-08,18:00:00,31.475,31.682,31.297,31.298,1342355,0
2017-09-08,19:00:00,31.302,31.326,31.03,31.035,1127943,0
2017-09-08,20:00:00,31.035,31.039,30.664,30.763,1567240,0
2017-09-08,21:00:00,30.763,30.772,30.417,30.53,1769722,0
2017-09-08,22:00:00,30.525,30.812,30.525,30.654,3054192,0
2017-09-11,16:00:00,31.158,31.475,31.059,31.396,1147459,0
2017-09-11,17:00:00,31.396,31.504,31.084,31.148,1714148,0
2017-09-11,18:00:00,31.138,31.178,30.98,31.035,910050,0
2017-09-11,19:00:00,31.039,31.059,30.941,31.01,819640,0
2017-09-11,20:00:00,31.02,31.02,30.832,30.832,955670,0
2017-09-11,21:00:00,30.832,30.911,30.812,30.881,1245429,0
2017-09-11,22:00:00,30.881,31.148,30.871,31.138,1514830,0
2017-09-12,16:00:00,31.376,31.485,31.326,31.47,500088,0
2017-09-12,17:00:00,31.475,31.633,31.465,31.574,445362,0
2017-09-12,18:00:00,31.574,31.584,31.297,31.435,643338,0
2017-09-12,19:00:00,31.425,31.584,31.415,31.559,233519,0
2017-09-12,20:00:00,31.564,31.623,31.544,31.618,235378,0
2017-09-12,21:00:00,31.618,31.821,31.613,31.687,602180,0
2017-09-12,22:00:00,31.687,32.039,31.633,31.801,1175142,0
2017-09-13,16:00:00,31.732,31.781,31.574,31.633,423449,0
2017-09-13,17:00:00,31.628,31.682,31.593,31.653,309987,0
2017-09-13,18:00:00,31.643,31.707,31.623,31.648,321587,0
2017-09-13,19:00:00,31.648,31.692,31.643,31.648,118560,0
2017-09-13,20:00:00,31.653,31.673,31.633,31.658,172307,0
2017-09-13,21:00:00,31.663,31.702,31.653,31.653,282839,0
2017-09-13,22:00:00,31.658,31.663,31.613,31.623,640889,0
2017-09-14,16:00:00,31.959,31.959,31.702,31.836,333683,0
2017-09-14,17:00:00,31.831,31.91,31.821,31.831,522620,0
2017-09-14,18:00:00,31.841,31.959,31.821,31.865,418649,0
2017-09-14,19:00:00,31.87,31.87,31.801,31.86,251650,0
2017-09-14,20:00:00,31.86,31.88,31.851,31.856,616984,0
2017-09-14,21:00:00,31.856,31.87,31.826,31.86,259618,0
2017-09-14,22:00:00,31.865,31.87,31.821,31.841,698295,0
2017-09-15,16:00:00,32.197,32.276,32.029,32.078,453755,0
2017-09-15,17:00:00,32.068,32.315,31.94,32.246,981828,0
2017-09-15,18:00:00,32.238,32.251,32.098,32.207,410576,0
2017-09-15,19:00:00,32.207,32.207,32.098,32.157,172571,0
2017-09-15,20:00:00,32.147,32.276,32.137,32.236,202101,0
2017-09-15,21:00:00,32.236,32.266,32.187,32.266,185115,0
2017-09-15,22:00:00,32.256,32.315,32.157,32.172,377404,0
2017-09-18,16:00:00,32.296,32.414,32.276,32.414,123143,0
2017-09-18,17:00:00,32.414,32.444,32.335,32.355,294648,0
2017-09-18,18:00:00,32.365,32.385,32.236,32.251,382201,0
2017-09-18,19:00:00,32.256,32.256,32.098,32.187,263960,0
2017-09-18,20:00:00,32.197,32.286,32.197,32.256,86202,0
2017-09-18,21:00:00,32.256,32.256,32.048,32.108,310675,0
2017-09-18,22:00:00,32.098,32.167,32.068,32.078,588952,0
2017-09-19,16:00:00,32.78,32.83,32.622,32.632,242882,0
2017-09-19,17:00:00,32.632,32.721,32.573,32.667,529635,0
2017-09-19,18:00:00,32.667,32.731,32.642,32.686,486557,0
2017-09-19,19:00:00,32.686,32.721,32.681,32.711,88310,0
2017-09-19,20:00:00,32.711,32.721,32.681,32.691,309122,0
2017-09-19,21:00:00,32.691,32.701,32.672,32.677,295408,0
2017-09-19,22:00:00,32.672,32.78,32.672,32.741,350574,0
2017-09-20,16:00:00,32.691,32.731,32.642,32.701,222245,0
2017-09-20,17:00:00,32.711,32.721,32.652,32.681,458570,0
2017-09-20,18:00:00,32.691,32.706,32.642,32.691,209304,0
2017-09-20,19:00:00,32.686,32.691,32.681,32.681,66130,0
2017-09-20,20:00:00,32.686,32.691,32.681,32.691,82009,0
2017-09-20,21:00:00,32.681,32.691,32.498,32.543,338926,0
2017-09-20,22:00:00,32.538,32.543,32.464,32.464,431927,0
2017-09-21,16:00:00,32.424,32.444,32.385,32.424,129227,0
2017-09-21,17:00:00,32.424,32.434,32.315,32.355,192200,0
2017-09-21,18:00:00,32.355,32.395,32.276,32.306,287491,0
2017-09-21,19:00:00,32.306,32.315,32.266,32.286,56385,0
2017-09-21,20:00:00,32.276,32.296,32.207,32.207,60620,0
2017-09-21,21:00:00,32.217,32.256,32.187,32.217,105737,0
2017-09-21,22:00:00,32.217,32.325,32.197,32.197,390426,0
2017-09-22,16:00:00,32.533,32.553,32.419,32.474,131715,0
2017-09-22,17:00:00,32.484,32.513,32.424,32.494,337824,0
2017-09-22,18:00:00,32.523,32.553,32.454,32.548,83604,0
2017-09-22,19:00:00,32.553,32.563,32.464,32.484,68037,0
2017-09-22,20:00:00,32.474,32.543,32.474,32.538,56124,0
2017-09-22,21:00:00,32.533,32.533,32.464,32.513,239135,0
2017-09-22,22:00:00,32.513,32.543,32.494,32.494,573048,0
2017-09-25,16:00:00,32.691,32.8,32.691,32.691,142804,0
2017-09-25,17:00:00,32.696,32.82,32.572,32.632,506150,0
2017-09-25,18:00:00,32.632,32.632,32.513,32.543,275078,0
2017-09-25,19:00:00,32.543,32.553,32.375,32.543,97006,0
2017-09-25,20:00:00,32.538,32.543,32.454,32.513,183021,0
2017-09-25,21:00:00,32.518,32.583,32.494,32.583,75164,0
2017-09-25,22:00:00,32.583,32.652,32.573,32.583,261673,0
2017-09-26,16:00:00,32.345,32.424,32.296,32.306,90580,0
2017-09-26,17:00:00,32.306,32.315,32.118,32.147,86203,0
2017-09-26,18:00:00,32.147,32.187,32.039,32.058,126841,0
2017-09-26,19:00:00,32.058,32.167,32.024,32.154,38764,0
2017-09-26,20:00:00,32.147,32.157,32.068,32.118,50930,0
2017-09-26,21:00:00,32.128,32.157,32.039,32.137,56045,0
2017-09-26,22:00:00,32.108,32.345,32.108,32.217,249853,0
2017-09-27,16:00:00,32.197,32.256,32.108,32.108,72085,0
2017-09-27,17:00:00,32.108,32.167,32.097,32.147,115725,0
2017-09-27,18:00:00,32.152,32.187,32.068,32.078,57732,0
2017-09-27,19:00:00,32.098,32.167,32.048,32.098,33453,0
2017-09-27,20:00:00,32.108,32.157,32.019,32.019,76640,0
2017-09-27,21:00:00,32.019,32.118,32.019,32.058,129431,0
2017-09-27,22:00:00,32.058,32.103,31.969,31.969,574903,0
2017-09-28,16:00:00,31.821,31.89,31.608,31.623,265993,0
2017-09-28,17:00:00,31.623,31.811,31.623,31.742,261885,0
2017-09-28,18:00:00,31.732,31.742,31.366,31.366,504168,0
