Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-08,16:00:00,26.4635,26.465,26.4635,26.465,1320,0
2017-08-08,17:00:00,26.5,26.5,26.49,26.49,300,0
2017-08-08,18:00:00,26.53,26.53,26.53,26.53,167,0
2017-08-08,22:00:00,26.54,26.5425,26.33,26.33,2493,0
2017-08-09,16:00:00,26.33,26.33,25.71,25.94,21389,0
2017-08-09,17:00:00,25.96,26.18,25.96,26.12,11299,0
2017-08-09,19:00:00,26.0868,26.0868,25.97,25.97,4255,0
2017-08-09,20:00:00,26.1904,26.1904,25.96,25.96,700,0
2017-08-09,21:00:00,25.97,25.97,25.7999,25.8501,23967,0
2017-08-09,22:00:00,25.9273,25.989,25.7,25.73,14911,0
2017-08-10,16:00:00,25.73,25.73,25.5,25.65,14869,0
2017-08-10,17:00:00,25.65,25.69,25.53,25.69,8915,0
2017-08-10,18:00:00,25.69,25.69,25.6001,25.63,4699,0
2017-08-10,19:00:00,25.6,25.69,25.5812,25.5812,7372,0
2017-08-10,20:00:00,25.57,25.6513,25.57,25.591,2000,0
2017-08-10,21:00:00,25.6534,25.6534,25.6,25.62,2000,0
2017-08-10,22:00:00,25.6852,25.69,25.61,25.61,1599,0
2017-08-11,16:00:00,25.62,25.72,25.62,25.72,1362,0
2017-08-11,17:00:00,25.7858,26.07,25.75,25.798,10254,0
2017-08-11,19:00:00,25.75,25.8,25.7467,25.8,6007,0
2017-08-11,20:00:00,25.8,25.8,25.8,25.8,3500,0
2017-08-11,21:00:00,25.82,25.82,25.8,25.8,900,0
2017-08-11,22:00:00,25.8565,25.8565,25.765,25.83,2851,0
2017-08-14,16:00:00,25.83,25.86,25.83,25.85,1100,0
2017-08-14,17:00:00,25.85,25.92,25.85,25.89,6395,0
2017-08-14,18:00:00,25.87,25.9,25.87,25.87,3698,0
2017-08-14,19:00:00,25.87,25.8875,25.85,25.8875,1407,0
2017-08-14,20:00:00,25.9,25.9,25.8505,25.8505,2350,0
2017-08-14,21:00:00,25.87,25.8701,25.86,25.8701,517,0
2017-08-14,22:00:00,25.88,25.9,25.8382,25.89,9739,0
2017-08-15,16:00:00,25.9,25.9,25.9,25.9,609,0
2017-08-15,17:00:00,25.91,26.0048,25.91,26.0048,2000,0
2017-08-15,18:00:00,25.96,25.96,25.9,25.94,6100,0
2017-08-15,19:00:00,25.91,25.91,25.89,25.906,4107,0
2017-08-15,20:00:00,25.95,25.95,25.95,25.95,907,0
2017-08-15,21:00:00,25.95,25.98,25.92,25.95,3337,0
2017-08-15,22:00:00,25.89,25.9,25.83,25.83,6886,0
2017-08-16,16:00:00,26.08,26.15,26.07,26.15,3148,0
2017-08-16,17:00:00,26.475,26.475,26.07,26.07,4127,0
2017-08-16,21:00:00,26.136,26.136,26.104,26.104,1000,0
2017-08-16,22:00:00,26.07,26.08,26.07,26.08,200,0
2017-08-17,16:00:00,26.24,26.3,26.24,26.3,10718,0
2017-08-17,17:00:00,26.225,26.25,26.121,26.229,6970,0
2017-08-17,18:00:00,26.14,26.14,26.14,26.14,100,0
2017-08-17,19:00:00,26.16,26.16,26.16,26.16,100,0
2017-08-17,20:00:00,26.19,26.2,26.1208,26.2,375,0
2017-08-17,22:00:00,26.23,26.23,26.19,26.19,463,0
2017-08-18,16:00:00,26.4,26.4,26.3,26.3,9021,0
2017-08-18,17:00:00,26.33,26.33,26.2299,26.33,1237,0
2017-08-18,18:00:00,26.33,26.33,26.22,26.25,772,0
