Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-18,17:00:00,34.38,34.464,34.221,34.361,3100,0
2017-08-18,18:00:00,34.355,34.582,34.314,34.582,2095,0
2017-08-18,19:00:00,34.548,34.803,34.548,34.803,791,0
2017-08-18,20:00:00,34.851,34.931,34.782,34.844,7482,0
2017-08-18,21:00:00,34.786,34.786,34.772,34.772,257,0
2017-08-18,22:00:00,34.792,34.792,34.716,34.716,214,0
2017-08-21,16:00:00,34.847,34.847,34.52,34.52,504,0
2017-08-21,17:00:00,34.37,34.37,33.899,33.912,2934,0
2017-08-21,18:00:00,33.908,33.996,33.735,33.735,3750,0
2017-08-21,19:00:00,33.732,33.732,33.659,33.669,3238,0
2017-08-21,20:00:00,33.678,33.71,33.53,33.53,545,0
2017-08-21,21:00:00,33.426,33.481,33.426,33.481,423,0
2017-08-21,22:00:00,33.541,33.697,33.514,33.697,2780,0
2017-08-22,16:00:00,33.903,33.903,33.903,33.903,107,0
2017-08-22,18:00:00,34.052,34.052,34.052,34.052,206,0
2017-08-22,19:00:00,34.333,34.52,34.333,34.52,1175,0
2017-08-22,20:00:00,34.501,34.51,34.501,34.51,214,0
2017-08-22,21:00:00,34.819,34.819,34.819,34.819,107,0
2017-08-22,22:00:00,34.721,34.81,34.708,34.782,2370,0
2017-08-23,17:00:00,35.171,35.171,35.171,35.171,1256,0
2017-08-23,18:00:00,35.558,35.568,35.287,35.287,6200,0
2017-08-23,19:00:00,35.465,35.521,35.465,35.521,703,0
2017-08-23,20:00:00,35.624,36.063,35.512,36.028,7389,0
2017-08-23,22:00:00,35.829,35.829,35.829,35.829,107,0
2017-08-24,21:00:00,36.063,36.063,36.035,36.035,320,0
2017-08-24,22:00:00,35.97,35.97,35.934,35.934,428,0
2017-08-25,16:00:00,35.951,35.951,35.951,35.951,107,0
2017-08-25,17:00:00,36.035,36.111,36.009,36.009,3527,0
2017-08-25,18:00:00,36.136,36.176,36.106,36.157,3100,0
2017-08-25,20:00:00,36.287,36.344,36.287,36.344,2031,0
2017-08-25,21:00:00,36.69,36.728,36.578,36.578,2780,0
2017-08-25,22:00:00,36.578,36.653,36.456,36.456,1069,0
2017-08-28,16:00:00,36.718,36.728,36.718,36.728,10679,0
2017-08-28,17:00:00,36.232,36.232,36.12,36.12,642,0
2017-08-28,18:00:00,35.846,35.846,35.846,35.846,171,0
2017-08-28,19:00:00,35.764,35.764,35.558,35.558,984,0
2017-08-28,20:00:00,35.463,35.558,35.463,35.558,1283,0
2017-08-28,21:00:00,35.549,35.549,35.549,35.549,112,0
2017-08-29,16:00:00,35.456,35.474,35.315,35.315,10555,0
2017-08-29,17:00:00,35.175,35.175,35.156,35.156,535,0
2017-08-29,19:00:00,35.222,35.315,35.222,35.315,1459,0
2017-08-29,20:00:00,35.633,35.643,35.604,35.643,3818,0
2017-08-29,21:00:00,35.764,35.98,35.718,35.978,2138,0
2017-08-29,22:00:00,35.914,35.914,35.829,35.874,3742,0
2017-08-30,16:00:00,35.736,35.839,35.736,35.839,855,0
2017-08-30,17:00:00,35.624,35.718,35.624,35.698,428,0
2017-08-30,18:00:00,35.736,35.811,35.736,35.811,214,0
2017-08-30,21:00:00,36.148,36.148,36.148,36.148,107,0
2017-08-30,22:00:00,36.419,36.419,36.382,36.382,214,0
2017-08-31,17:00:00,36.793,37.167,36.793,37.144,3875,0
2017-08-31,18:00:00,37.276,37.308,37.271,37.308,642,0
2017-08-31,19:00:00,37.551,37.869,37.551,37.869,642,0
2017-08-31,20:00:00,37.972,38.053,37.916,37.935,2672,0
2017-08-31,21:00:00,38.14,38.14,38.14,38.14,131,0
2017-08-31,22:00:00,38.169,38.234,38.169,38.234,320,0
2017-09-01,16:00:00,38.169,38.169,38.169,38.169,107,0
2017-09-01,17:00:00,37.943,38.542,37.935,38.533,4055,0
2017-09-01,18:00:00,38.627,38.758,38.14,38.14,2780,0
2017-09-01,19:00:00,37.953,37.953,37.935,37.935,535,0
2017-09-01,20:00:00,38.028,38.038,38.017,38.028,642,0
2017-09-01,21:00:00,38.056,38.308,38.056,38.308,320,0
2017-09-01,22:00:00,38.449,38.468,38.449,38.468,214,0
2017-09-05,16:00:00,38.935,38.935,38.795,38.906,2406,0
2017-09-05,17:00:00,38.786,38.814,38.603,38.603,2458,0
2017-09-05,18:00:00,38.374,38.374,38.225,38.225,263,0
2017-09-05,19:00:00,38.206,38.206,37.925,38.084,2802,0
2017-09-05,20:00:00,38.066,38.066,37.981,37.981,1684,0
2017-09-05,21:00:00,38.14,38.14,38.122,38.122,748,0
2017-09-05,22:00:00,37.981,37.981,37.822,37.916,2672,0
2017-09-06,16:00:00,38.147,38.147,38.104,38.104,428,0
2017-09-06,17:00:00,38.066,38.066,38.019,38.019,320,0
2017-09-06,18:00:00,38.057,38.057,38.057,38.057,267,0
2017-09-06,19:00:00,38.131,38.131,38.122,38.122,428,0
2017-09-06,20:00:00,38.308,38.308,38.308,38.308,214,0
2017-09-06,21:00:00,38.262,38.262,38.103,38.128,6277,0
2017-09-06,22:00:00,38.197,38.215,38.084,38.084,6702,0
2017-09-07,16:00:00,37.89,37.89,37.794,37.794,1389,0
2017-09-07,17:00:00,37.888,37.888,37.888,37.888,214,0
2017-09-07,18:00:00,37.794,37.794,37.794,37.794,3084,0
2017-09-07,21:00:00,38.047,38.047,38.047,38.047,107,0
2017-09-07,22:00:00,38.074,38.169,38.074,38.169,2138,0
2017-09-08,16:00:00,38.169,38.169,38.056,38.056,267,0
2017-09-08,17:00:00,37.907,37.907,37.794,37.794,240,0
2017-09-08,19:00:00,37.485,37.485,37.439,37.485,540,0
2017-09-08,20:00:00,37.439,37.439,37.235,37.235,1817,0
2017-09-08,21:00:00,37.261,37.271,37.251,37.251,2993,0
2017-09-08,22:00:00,37.429,37.56,37.402,37.402,5130,0
2017-09-11,16:00:00,37.86,37.86,37.86,37.86,415,0
2017-09-11,17:00:00,37.935,38.009,37.841,37.841,451,0
2017-09-11,18:00:00,38.15,38.15,38.057,38.057,535,0
2017-09-11,19:00:00,38.066,38.066,38.066,38.066,107,0
2017-09-11,21:00:00,38.009,38.009,38.009,38.009,214,0
2017-09-12,16:00:00,38.07,38.07,38.07,38.07,320,0
2017-09-12,19:00:00,38.206,38.206,38.187,38.187,214,0
2017-09-12,22:00:00,38.131,38.131,38.131,38.131,1326,0
2017-09-13,16:00:00,38.534,38.673,38.388,38.673,2138,0
2017-09-13,17:00:00,38.608,38.608,38.573,38.608,2138,0
2017-09-13,19:00:00,38.59,38.645,38.537,38.645,1122,0
2017-09-13,20:00:00,38.665,38.665,38.665,38.665,161,0
2017-09-14,17:00:00,39.104,39.216,39.104,39.126,748,0
2017-09-14,18:00:00,39.246,39.254,39.244,39.254,748,0
2017-09-14,19:00:00,39.132,39.132,38.959,38.959,802,0
2017-09-14,20:00:00,38.973,38.973,38.973,38.973,107,0
2017-09-14,21:00:00,39.02,39.048,39.02,39.038,1069,0
2017-09-14,22:00:00,39.151,39.151,39.151,39.151,107,0
2017-09-15,16:00:00,38.776,38.872,38.776,38.861,748,0
2017-09-15,17:00:00,38.655,38.655,38.655,38.655,107,0
2017-09-15,18:00:00,38.672,38.72,38.465,38.465,3020,0
2017-09-15,21:00:00,38.665,38.665,38.665,38.665,214,0
2017-09-15,22:00:00,38.562,38.562,38.552,38.552,214,0
2017-09-18,16:00:00,39.02,39.02,39.02,39.02,107,0
2017-09-18,17:00:00,38.73,38.758,38.711,38.711,535,0
2017-09-18,18:00:00,38.636,38.636,38.524,38.524,320,0
2017-09-18,20:00:00,38.59,38.617,38.439,38.449,1618,0
2017-09-18,22:00:00,38.599,38.748,38.599,38.748,239,0
2017-09-19,16:00:00,38.796,38.796,38.796,38.796,267,0
2017-09-19,17:00:00,38.645,38.645,38.332,38.374,1710,0
2017-09-19,19:00:00,38.58,38.58,38.58,38.58,134,0
2017-09-19,20:00:00,38.542,38.542,38.393,38.393,320,0
2017-09-19,21:00:00,38.374,38.411,38.308,38.308,3794,0
2017-09-19,22:00:00,38.272,38.272,38.267,38.272,666,0
2017-09-20,17:00:00,38.403,38.403,38.356,38.383,771,0
2017-09-20,18:00:00,38.308,38.459,38.308,38.386,2288,0
2017-09-20,19:00:00,38.374,38.374,38.29,38.29,748,0
2017-09-20,20:00:00,38.383,38.383,38.365,38.365,2085,0
2017-09-20,21:00:00,38.272,38.272,38.122,38.122,320,0
2017-09-20,22:00:00,38.103,38.103,38.103,38.103,214,0
2017-09-21,16:00:00,37.579,37.579,37.579,37.579,107,0
2017-09-21,17:00:00,37.71,37.71,37.542,37.57,962,0
2017-09-21,18:00:00,37.477,37.477,37.345,37.345,320,0
2017-09-21,20:00:00,37.244,37.345,37.243,37.345,4195,0
2017-09-21,21:00:00,37.289,37.289,37.289,37.289,107,0
2017-09-21,22:00:00,37.303,37.303,37.303,37.303,214,0
2017-09-22,16:00:00,37.606,37.606,37.606,37.606,107,0
2017-09-22,17:00:00,37.439,37.439,37.42,37.439,535,0
2017-09-22,18:00:00,37.251,37.251,37.251,37.251,320,0
2017-09-22,19:00:00,37.326,37.326,37.326,37.326,107,0
2017-09-22,20:00:00,37.326,37.448,37.322,37.448,8044,0
2017-09-22,21:00:00,37.626,37.626,37.626,37.626,214,0
2017-09-22,22:00:00,37.467,37.467,37.467,37.467,428,0
2017-09-25,16:00:00,37.776,38.28,37.776,38.15,855,0
2017-09-25,17:00:00,38.468,38.468,38.356,38.411,1497,0
2017-09-25,18:00:00,38.458,38.672,38.458,38.672,534,0
2017-09-25,19:00:00,38.768,38.796,38.748,38.768,781,0
2017-09-25,20:00:00,39.01,39.01,39.01,39.01,194,0
2017-09-25,21:00:00,39.066,39.282,39.02,39.282,1283,0
2017-09-25,22:00:00,39.322,39.322,39.169,39.198,1603,0
2017-09-26,17:00:00,38.86,38.889,38.378,38.378,9834,0
2017-09-26,18:00:00,38.561,38.645,38.561,38.645,428,0
2017-09-26,22:00:00,39.02,39.02,38.992,38.992,214,0
2017-09-27,17:00:00,38.421,38.421,38.421,38.421,107,0
2017-09-27,18:00:00,38.365,38.365,38.14,38.318,4310,0
2017-09-27,19:00:00,38.328,38.337,38.318,38.328,2031,0
2017-09-27,20:00:00,38.374,38.374,38.318,38.318,1330,0
2017-09-27,21:00:00,38.356,38.365,38.356,38.356,855,0
2017-09-27,22:00:00,38.356,38.411,38.356,38.382,1016,0
2017-09-28,16:00:00,38.496,38.496,38.074,38.074,1715,0
2017-09-28,17:00:00,38.074,38.084,38.074,38.084,214,0
2017-09-28,18:00:00,37.683,37.888,37.683,37.888,215,0
2017-09-28,19:00:00,37.935,37.935,37.935,37.935,149,0
2017-09-28,21:00:00,37.738,37.738,37.738,37.738,107,0
2017-09-29,16:00:00,38.804,39.151,38.804,39.151,308,0
2017-09-29,18:00:00,38.755,38.755,38.755,38.755,214,0
2017-10-02,17:00:00,38.449,38.449,38.449,38.449,214,0
2017-10-02,18:00:00,38.234,38.431,38.234,38.431,694,0
2017-10-02,19:00:00,38.431,38.59,38.431,38.59,535,0
2017-10-02,20:00:00,38.542,38.552,38.542,38.552,1069,0
2017-10-02,21:00:00,38.552,38.59,38.552,38.59,3240,0
2017-10-02,22:00:00,38.542,38.59,38.471,38.59,4468,0
2017-10-03,16:00:00,38.823,39.104,38.823,38.823,7520,0
2017-10-03,17:00:00,38.823,38.851,38.627,38.851,6452,0
2017-10-03,18:00:00,38.768,38.907,38.768,38.86,13319,0
2017-10-03,19:00:00,38.851,38.879,38.768,38.879,5226,0
2017-10-03,20:00:00,38.945,38.973,38.853,38.907,9172,0
2017-10-03,21:00:00,38.935,38.945,38.858,38.888,5229,0
2017-10-03,22:00:00,38.907,38.917,38.786,38.842,13975,0
2017-10-04,16:00:00,39.403,39.403,38.542,38.664,41431,0
2017-10-04,17:00:00,38.65,40.868,38.449,38.807,52690,0
2017-10-04,18:00:00,38.823,39.057,38.661,38.774,41480,0
2017-10-04,19:00:00,38.87,38.87,38.627,38.655,13685,0
2017-10-04,20:00:00,38.804,38.804,38.611,38.73,9548,0
2017-10-04,21:00:00,38.711,38.776,38.636,38.692,23111,0
2017-10-04,22:00:00,38.673,39.16,38.59,38.763,14287,0
2017-10-05,16:00:00,39.16,39.235,38.655,38.913,8409,0
2017-10-05,17:00:00,38.954,39.196,38.702,39.196,7422,0
2017-10-05,18:00:00,39.263,39.263,39.113,39.141,6414,0
2017-10-05,19:00:00,39.365,39.385,39.254,39.385,4265,0
2017-10-05,20:00:00,39.385,39.468,39.38,39.422,2587,0
2017-10-05,21:00:00,39.488,39.488,39.45,39.468,1283,0
2017-10-05,22:00:00,39.357,39.599,39.347,39.544,2041,0
2017-10-06,16:00:00,39.516,39.516,38.879,38.917,14382,0
2017-10-06,17:00:00,38.917,39.001,38.748,38.958,13528,0
2017-10-06,18:00:00,38.964,39.319,38.945,39.31,10517,0
2017-10-06,19:00:00,39.254,39.254,39.175,39.198,679,0
2017-10-06,20:00:00,39.488,39.516,39.385,39.413,2463,0
2017-10-06,21:00:00,39.421,39.468,39.338,39.338,2309,0
2017-10-06,22:00:00,39.45,39.497,39.441,39.497,2568,0
2017-10-09,16:00:00,40.114,40.114,39.599,39.656,4196,0
2017-10-09,17:00:00,39.665,39.73,39.525,39.702,20192,0
2017-10-09,18:00:00,39.665,39.712,39.525,39.665,20027,0
2017-10-09,19:00:00,39.599,39.674,39.591,39.597,2672,0
2017-10-09,20:00:00,39.581,39.581,39.46,39.46,8830,0
2017-10-09,21:00:00,39.468,39.468,39.269,39.299,9460,0
2017-10-09,22:00:00,39.291,39.291,38.964,39.066,12706,0
2017-10-10,16:00:00,39.46,39.674,39.46,39.674,214,0
2017-10-10,17:00:00,39.571,39.581,39.085,39.085,11374,0
2017-10-10,18:00:00,39.132,39.16,39.057,39.057,5826,0
2017-10-10,19:00:00,39.057,39.188,38.917,39.11,1844,0
2017-10-10,20:00:00,39.179,39.244,39.142,39.203,2394,0
2017-10-10,21:00:00,39.16,39.207,39.085,39.163,3241,0
2017-10-10,22:00:00,39.16,39.16,38.992,39.095,2818,0
2017-10-11,16:00:00,39.104,39.272,39.104,39.123,2298,0
2017-10-11,17:00:00,39.244,39.478,39.244,39.385,2709,0
2017-10-11,18:00:00,39.478,39.478,39.385,39.385,535,0
2017-10-11,19:00:00,39.385,39.385,39.207,39.207,4009,0
2017-10-11,20:00:00,39.198,39.329,39.198,39.315,2430,0
2017-10-11,21:00:00,39.403,39.431,39.319,39.413,5706,0
2017-10-11,22:00:00,39.413,39.647,39.41,39.506,13469,0
2017-10-12,16:00:00,40.283,40.302,39.031,39.186,9282,0
2017-10-12,17:00:00,39.603,40.04,39.322,39.361,4650,0
2017-10-12,18:00:00,39.302,39.717,39.264,39.717,1288,0
2017-10-12,19:00:00,39.594,39.594,39.594,39.594,103,0
2017-10-12,20:00:00,39.331,39.331,39.312,39.312,464,0
2017-10-12,21:00:00,39.262,39.506,38.836,38.836,8771,0
2017-10-12,22:00:00,38.875,39.399,38.875,39.399,824,0
2017-10-13,16:00:00,39.06,39.06,38.089,38.254,5821,0
2017-10-13,17:00:00,38.419,38.448,38.264,38.312,2735,0
2017-10-13,18:00:00,38.244,38.244,38.05,38.108,4585,0
2017-10-13,19:00:00,38.099,38.108,37.969,37.973,8909,0
2017-10-13,20:00:00,37.982,37.982,37.866,37.866,2741,0
2017-10-13,21:00:00,37.866,37.934,37.856,37.905,3759,0
