Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,45.239,45.299,44.679,44.863,923958,0
2017-09-05,17:00:00,44.873,44.883,44.635,44.7,1357910,0
2017-09-05,18:00:00,44.695,44.804,44.635,44.729,1012271,0
2017-09-05,19:00:00,44.724,44.729,44.317,44.492,1410652,0
2017-09-05,20:00:00,44.497,44.635,44.322,44.635,974795,0
2017-09-05,21:00:00,44.635,44.714,44.377,44.397,877681,0
2017-09-05,22:00:00,44.387,44.53,44.307,44.497,2451196,0
2017-09-06,16:00:00,44.625,44.922,44.585,44.67,812854,0
2017-09-06,17:00:00,44.665,44.893,44.61,44.783,825597,0
2017-09-06,18:00:00,44.773,44.813,44.337,44.487,794520,0
2017-09-06,19:00:00,44.477,44.675,44.332,44.665,549102,0
2017-09-06,20:00:00,44.665,44.831,44.655,44.724,557811,0
2017-09-06,21:00:00,44.723,44.912,44.705,44.823,703605,0
2017-09-06,22:00:00,44.823,44.853,44.635,44.655,1491883,0
2017-09-07,16:00:00,44.714,44.714,44.288,44.312,666935,0
2017-09-07,17:00:00,44.312,44.312,43.619,43.872,2381563,0
2017-09-07,18:00:00,43.877,43.941,43.436,43.525,1879927,0
2017-09-07,19:00:00,43.525,43.679,43.505,43.619,1120350,0
2017-09-07,20:00:00,43.619,43.654,43.505,43.644,707248,0
2017-09-07,21:00:00,43.644,43.689,43.585,43.644,925259,0
2017-09-07,22:00:00,43.644,43.713,43.565,43.664,2880816,0
2017-09-08,16:00:00,43.783,44.307,43.664,44.264,896524,0
2017-09-08,17:00:00,44.259,44.397,44.085,44.119,1454082,0
2017-09-08,18:00:00,44.119,44.184,43.852,43.921,842045,0
2017-09-08,19:00:00,43.926,43.971,43.813,43.832,686549,0
2017-09-08,20:00:00,43.842,43.842,43.585,43.594,911169,0
2017-09-08,21:00:00,43.599,43.793,43.58,43.748,1052403,0
2017-09-08,22:00:00,43.753,43.773,43.545,43.604,2272816,0
2017-09-11,16:00:00,44.298,44.352,44.011,44.189,978163,0
2017-09-11,17:00:00,44.189,44.437,44.188,44.367,1236022,0
2017-09-11,18:00:00,44.367,44.685,44.337,44.605,833474,0
2017-09-11,19:00:00,44.615,44.883,44.535,44.774,851858,0
2017-09-11,20:00:00,44.773,44.912,44.748,44.798,582626,0
2017-09-11,21:00:00,44.803,44.838,44.705,44.743,651834,0
2017-09-11,22:00:00,44.743,44.833,44.675,44.743,2231381,0
2017-09-12,16:00:00,44.942,45.65,44.922,45.309,908061,0
2017-09-12,17:00:00,45.299,45.417,45.071,45.224,1189690,0
2017-09-12,18:00:00,45.219,45.378,45.135,45.318,791019,0
2017-09-12,19:00:00,45.318,45.427,45.299,45.381,788604,0
2017-09-12,20:00:00,45.378,45.492,45.368,45.388,800554,0
2017-09-12,21:00:00,45.388,45.427,45.209,45.358,877026,0
2017-09-12,22:00:00,45.358,45.393,45.229,45.328,2271895,0
2017-09-13,16:00:00,45.309,45.487,45.14,45.462,860418,0
2017-09-13,17:00:00,45.467,45.794,45.467,45.626,1189205,0
2017-09-13,18:00:00,45.621,45.734,45.586,45.636,575946,0
2017-09-13,19:00:00,45.626,45.705,45.556,45.596,459688,0
2017-09-13,20:00:00,45.586,45.655,45.507,45.646,433239,0
2017-09-13,21:00:00,45.646,45.764,45.591,45.744,487699,0
2017-09-13,22:00:00,45.744,45.834,45.695,45.794,2293442,0
2017-09-14,16:00:00,45.972,46.285,45.972,46.235,819876,0
2017-09-14,17:00:00,46.235,46.33,46.135,46.27,1261511,0
2017-09-14,18:00:00,46.27,46.33,45.942,45.942,1206441,0
2017-09-14,19:00:00,45.952,46.15,45.883,46.14,524033,0
2017-09-14,20:00:00,46.13,46.18,46.032,46.052,567310,0
