Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-06,16:00:00,10.975,10.975,10.833,10.891,2956,0
2017-07-06,17:00:00,10.883,11.008,10.833,10.905,3051,0
2017-07-06,18:00:00,10.975,10.975,10.928,10.975,2054,0
2017-07-06,19:00:00,10.933,10.933,10.933,10.933,247,0
2017-07-06,20:00:00,11.016,11.07,10.975,10.991,1069,0
2017-07-06,22:00:00,10.979,11.039,10.975,11.022,2905,0
2017-07-07,16:00:00,11.022,11.022,11.022,11.022,725,0
2017-07-07,17:00:00,10.858,10.858,10.858,10.858,109,0
2017-07-07,22:00:00,10.833,10.833,10.833,10.833,472,0
2017-07-10,16:00:00,10.975,10.975,10.975,10.975,120,0
2017-07-10,17:00:00,10.829,10.833,10.829,10.833,1499,0
2017-07-10,19:00:00,10.883,10.928,10.883,10.928,428,0
2017-07-10,20:00:00,10.961,10.975,10.899,10.975,2709,0
2017-07-10,21:00:00,10.883,10.928,10.883,10.928,536,0
2017-07-10,22:00:00,10.914,10.914,10.914,10.914,320,0
2017-07-11,16:00:00,10.833,10.833,10.833,10.833,355,0
2017-07-11,17:00:00,10.883,10.883,10.742,10.76,5775,0
2017-07-11,18:00:00,10.833,10.883,10.833,10.883,2141,0
2017-07-11,19:00:00,10.829,10.829,10.79,10.8,3704,0
2017-07-11,20:00:00,10.79,10.79,10.79,10.79,109,0
2017-07-11,21:00:00,10.742,10.833,10.742,10.833,642,0
2017-07-11,22:00:00,10.833,10.833,10.79,10.833,858,0
2017-07-12,16:00:00,10.79,10.833,10.75,10.79,2131,0
2017-07-12,17:00:00,10.747,10.829,10.747,10.829,1944,0
2017-07-12,21:00:00,10.928,10.953,10.888,10.888,1022,0
2017-07-12,22:00:00,10.883,10.928,10.883,10.928,1117,0
2017-07-13,20:00:00,10.883,10.883,10.883,10.883,214,0
2017-07-13,21:00:00,10.853,10.853,10.853,10.853,963,0
2017-07-13,22:00:00,10.883,10.883,10.79,10.79,642,0
2017-07-14,16:00:00,10.742,10.858,10.742,10.858,702,0
2017-07-14,17:00:00,10.924,10.924,10.883,10.883,750,0
2017-07-14,19:00:00,10.819,10.819,10.742,10.742,2051,0
2017-07-14,20:00:00,10.883,10.883,10.883,10.883,214,0
2017-07-14,21:00:00,10.79,10.79,10.79,10.79,109,0
2017-07-14,22:00:00,10.79,10.833,10.79,10.833,3331,0
2017-07-17,16:00:00,10.742,10.9,10.742,10.882,508,0
2017-07-17,17:00:00,10.833,10.833,10.742,10.742,1284,0
2017-07-17,21:00:00,10.833,10.833,10.833,10.833,536,0
2017-07-17,22:00:00,10.833,10.833,10.742,10.742,668,0
2017-07-18,17:00:00,10.79,10.79,10.79,10.79,109,0
2017-07-18,18:00:00,10.833,10.833,10.79,10.79,1427,0
2017-07-18,19:00:00,10.82,10.82,10.82,10.82,1069,0
2017-07-18,20:00:00,10.742,10.742,10.742,10.742,428,0
2017-07-18,22:00:00,10.79,10.79,10.79,10.79,109,0
2017-07-19,17:00:00,10.802,10.833,10.802,10.833,214,0
2017-07-19,18:00:00,10.833,10.833,10.819,10.819,428,0
2017-07-19,19:00:00,10.833,10.833,10.825,10.833,3772,0
2017-07-19,20:00:00,10.833,10.883,10.833,10.883,2677,0
2017-07-19,21:00:00,10.883,10.928,10.883,10.928,535,0
2017-07-19,22:00:00,10.928,10.928,10.883,10.883,19868,0
2017-07-20,16:00:00,11.022,11.069,10.883,11.069,4841,0
2017-07-20,17:00:00,11.115,11.396,11.076,11.396,7167,0
2017-07-20,18:00:00,11.301,11.301,11.301,11.301,428,0
2017-07-20,19:00:00,11.301,11.536,11.301,11.441,4766,0
2017-07-20,20:00:00,11.349,11.441,11.301,11.441,536,0
2017-07-20,21:00:00,11.49,11.49,11.301,11.396,5387,0
2017-07-20,22:00:00,11.396,11.396,11.301,11.301,1605,0
2017-07-21,16:00:00,11.582,11.722,11.527,11.676,3748,0
2017-07-21,17:00:00,11.77,12.143,11.77,11.77,1209,0
2017-07-21,18:00:00,11.88,12.033,11.77,11.77,4817,0
2017-07-21,19:00:00,11.825,11.846,11.77,11.825,3032,0
2017-07-21,20:00:00,11.788,11.859,11.788,11.859,1069,0
2017-07-21,21:00:00,11.862,11.956,11.862,11.956,1217,0
2017-07-21,22:00:00,11.816,11.862,11.816,11.816,1297,0
2017-07-24,16:00:00,11.956,11.956,11.816,11.816,3333,0
2017-07-24,17:00:00,11.816,11.816,11.816,11.816,536,0
2017-07-24,18:00:00,11.722,11.722,11.722,11.722,2236,0
2017-07-24,19:00:00,11.765,11.765,11.637,11.637,1852,0
2017-07-24,20:00:00,11.52,11.765,11.52,11.765,4707,0
2017-07-24,21:00:00,11.77,11.816,11.77,11.816,481,0
2017-07-24,22:00:00,11.722,11.722,11.722,11.722,109,0
2017-07-25,16:00:00,11.956,11.956,11.956,11.956,320,0
2017-07-25,17:00:00,11.858,11.867,11.858,11.867,590,0
2017-07-25,18:00:00,11.909,11.909,11.862,11.862,1176,0
2017-07-25,19:00:00,11.956,11.956,11.909,11.909,320,0
2017-07-25,20:00:00,11.908,11.908,11.908,11.908,109,0
2017-07-25,21:00:00,11.956,12.237,11.956,12.237,3608,0
2017-07-25,22:00:00,12.166,12.237,11.956,11.956,4865,0
2017-07-26,16:00:00,12.049,12.049,12.049,12.049,352,0
2017-07-26,17:00:00,12.097,12.19,12.097,12.097,2459,0
2017-07-26,18:00:00,12.19,12.19,12.19,12.19,109,0
2017-07-26,19:00:00,12.19,12.19,12.097,12.185,731,0
2017-07-26,20:00:00,12.19,12.19,11.722,11.734,5658,0
2017-07-26,21:00:00,11.933,12.19,11.933,12.19,214,0
2017-07-26,22:00:00,12.143,12.19,11.956,12.049,750,0
2017-07-27,17:00:00,12.21,12.269,11.879,11.879,2439,0
2017-07-27,18:00:00,12.24,12.24,11.974,11.974,424,0
2017-07-27,20:00:00,11.791,11.791,11.791,11.791,207,0
2017-07-28,22:00:00,12.115,12.115,12.115,12.115,636,0
2017-07-31,16:00:00,11.974,12.054,11.879,12.054,1707,0
2017-07-31,18:00:00,12.206,12.206,12.206,12.206,108,0
2017-07-31,19:00:00,11.997,11.997,11.997,11.997,393,0
2017-07-31,21:00:00,12.256,12.256,12.21,12.21,784,0
2017-07-31,22:00:00,12.069,12.069,11.932,11.974,1356,0
2017-08-01,16:00:00,12.021,12.021,11.974,11.974,320,0
2017-08-01,19:00:00,11.879,11.892,11.786,11.786,3571,0
2017-08-01,20:00:00,11.786,11.786,11.691,11.691,2082,0
2017-08-01,21:00:00,11.597,11.597,11.597,11.597,108,0
2017-08-01,22:00:00,11.738,11.738,11.549,11.549,2016,0
2017-08-02,17:00:00,11.71,11.71,11.554,11.622,3634,0
2017-08-02,19:00:00,11.549,11.549,11.549,11.549,108,0
2017-08-02,20:00:00,11.623,11.623,11.623,11.623,130,0
2017-08-02,21:00:00,11.549,11.549,11.549,11.549,187,0
2017-08-02,22:00:00,11.362,11.362,11.318,11.33,681,0
2017-08-03,16:00:00,11.362,11.362,11.362,11.362,108,0
2017-08-03,18:00:00,11.362,11.362,11.313,11.313,419,0
2017-08-03,20:00:00,11.362,11.362,11.362,11.362,108,0
2017-08-03,21:00:00,11.362,11.362,11.284,11.362,316,0
