Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,21.67,21.93,21.59,21.93,36876,0
2017-09-05,17:00:00,21.915,21.93,21.5458,21.65,74265,0
2017-09-05,18:00:00,21.66,21.67,21.56,21.62,64421,0
2017-09-05,19:00:00,21.63,21.63,21.43,21.59,54540,0
2017-09-05,20:00:00,21.58,21.66,21.49,21.65,37916,0
2017-09-05,21:00:00,21.6466,21.67,21.54,21.61,63158,0
2017-09-05,22:00:00,21.61,21.7,21.57,21.68,171287,0
2017-09-06,16:00:00,21.85,22.22,21.85,22.195,88441,0
2017-09-06,17:00:00,22.195,22.36,22.14,22.3,140219,0
2017-09-06,18:00:00,22.33,22.36,22.17,22.205,123545,0
2017-09-06,19:00:00,22.2,22.28,22.155,22.22,98061,0
2017-09-06,20:00:00,22.22,22.49,22.1968,22.48,124547,0
2017-09-06,21:00:00,22.47,22.52,22.38,22.4,105255,0
2017-09-06,22:00:00,22.395,22.53,22.33,22.45,334152,0
2017-09-07,16:00:00,22.54,22.59,22.25,22.28,42052,0
2017-09-07,17:00:00,22.28,22.51,22.2,22.43,86479,0
2017-09-07,18:00:00,22.43,22.44,22,22,100123,0
2017-09-07,19:00:00,21.99,22.3,21.98,22.25,66849,0
2017-09-07,20:00:00,22.25,22.42,22.24,22.35,85914,0
2017-09-07,21:00:00,22.35,22.375,22.12,22.16,77327,0
2017-09-07,22:00:00,22.16,22.265,22.13,22.23,191226,0
2017-09-08,16:00:00,22.2,22.2,22,22.05,13861,0
2017-09-08,17:00:00,22.06,22.09,21.9501,22.03,44814,0
2017-09-08,18:00:00,22.04,22.06,21.83,21.92,88850,0
2017-09-08,19:00:00,21.92,21.95,21.66,21.66,65462,0
2017-09-08,20:00:00,21.64,21.77,21.64,21.77,35052,0
2017-09-08,21:00:00,21.76,21.9,21.71,21.72,46327,0
2017-09-08,22:00:00,21.72,21.8,21.7,21.73,161885,0
2017-09-11,16:00:00,21.95,22.25,21.95,22.21,27729,0
2017-09-11,17:00:00,22.25,22.28,22.01,22.05,52691,0
2017-09-11,18:00:00,22.04,22.195,22.04,22.18,62953,0
2017-09-11,19:00:00,22.18,22.18,22.02,22.1,64871,0
2017-09-11,20:00:00,22.08,22.2,22.08,22.16,49491,0
2017-09-11,21:00:00,22.16,22.33,22.16,22.31,67531,0
2017-09-11,22:00:00,22.3,22.42,22.28,22.28,144689,0
2017-09-12,16:00:00,22.47,22.64,22.35,22.49,41404,0
2017-09-12,17:00:00,22.47,22.49,22.28,22.33,51616,0
2017-09-12,18:00:00,22.335,22.38,22.26,22.27,47230,0
2017-09-12,19:00:00,22.26,22.38,22.24,22.33,42885,0
2017-09-12,20:00:00,22.33,22.37,22.27,22.27,51135,0
2017-09-12,21:00:00,22.27,22.36,22.26,22.325,51635,0
2017-09-12,22:00:00,22.325,22.53,22.31,22.5,309715,0
2017-09-13,16:00:00,22.46,22.63,22.42,22.63,32574,0
