Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,1.4425,1.4425,1.3457,1.3747,247913,0
2017-09-05,17:00:00,1.3843,1.5006,1.3553,1.4425,940330,0
2017-09-05,18:00:00,1.4488,1.4618,1.4134,1.4485,257919,0
2017-09-05,19:00:00,1.4522,1.4522,1.4425,1.4512,144752,0
2017-09-05,20:00:00,1.4522,1.4522,1.3747,1.4221,154693,0
2017-09-05,21:00:00,1.4132,1.4328,1.4037,1.4183,49501,0
2017-09-05,22:00:00,1.4134,1.4231,1.3457,1.3457,411138,0
2017-09-06,16:00:00,1.3651,1.3941,1.3069,1.3359,201670,0
2017-09-06,17:00:00,1.3359,1.3989,1.3166,1.3941,173131,0
2017-09-06,18:00:00,1.4028,1.4328,1.3601,1.3989,151167,0
2017-09-06,19:00:00,1.4037,1.4328,1.3941,1.4231,56862,0
2017-09-06,20:00:00,1.4231,1.4328,1.4134,1.428,41833,0
2017-09-06,21:00:00,1.428,1.4425,1.4231,1.4231,50672,0
2017-09-06,22:00:00,1.428,1.4425,1.4134,1.4328,84117,0
2017-09-07,16:00:00,1.4328,1.4522,1.418,1.4231,86362,0
2017-09-07,17:00:00,1.4231,1.4328,1.4037,1.4282,41871,0
2017-09-07,18:00:00,1.428,1.4328,1.4037,1.4058,50173,0
2017-09-07,19:00:00,1.4037,1.4231,1.4037,1.4134,23055,0
2017-09-07,20:00:00,1.4134,1.4231,1.3263,1.3457,122733,0
2017-09-07,21:00:00,1.3467,1.3844,1.3467,1.3747,51425,0
2017-09-07,22:00:00,1.3795,1.3844,1.3359,1.3359,85090,0
2017-09-08,16:00:00,1.3553,1.3553,1.3263,1.3553,9549,0
2017-09-08,17:00:00,1.3553,1.4134,1.3457,1.3651,64748,0
2017-09-08,18:00:00,1.3651,1.4037,1.3553,1.3844,35092,0
2017-09-08,19:00:00,1.3893,1.3893,1.3457,1.3457,24493,0
2017-09-08,20:00:00,1.3457,1.3747,1.3457,1.3553,44534,0
2017-09-08,21:00:00,1.3553,1.3651,1.3457,1.3553,19927,0
2017-09-08,22:00:00,1.3601,1.3795,1.3359,1.3359,91145,0
2017-09-11,16:00:00,1.3553,1.3747,1.3457,1.3651,26559,0
2017-09-11,17:00:00,1.3563,1.3844,1.3563,1.3747,64667,0
2017-09-11,18:00:00,1.3699,1.4037,1.3553,1.3747,84473,0
2017-09-11,19:00:00,1.3747,1.3844,1.3747,1.3795,29872,0
2017-09-11,20:00:00,1.3747,1.3952,1.3747,1.3941,58940,0
2017-09-11,21:00:00,1.3941,1.4037,1.3893,1.4037,27623,0
2017-09-11,22:00:00,1.3941,1.3989,1.3747,1.3941,65642,0
2017-09-12,16:00:00,1.4037,1.4328,1.4037,1.4328,46800,0
2017-09-12,17:00:00,1.4283,1.4812,1.4231,1.4439,255924,0
2017-09-12,18:00:00,1.4497,1.549,1.4425,1.4897,279723,0
2017-09-12,19:00:00,1.4813,1.5296,1.4618,1.5102,154332,0
2017-09-12,20:00:00,1.515,1.52,1.4812,1.4958,73507,0
2017-09-12,21:00:00,1.4908,1.5006,1.4618,1.5006,96881,0
2017-09-12,22:00:00,1.4908,1.5006,1.4618,1.4715,106834,0
2017-09-13,16:00:00,1.4812,1.4836,1.4522,1.4716,37752,0
2017-09-13,17:00:00,1.4812,1.5006,1.4812,1.5005,31037,0
2017-09-13,18:00:00,1.4908,1.5006,1.4328,1.4357,83373,0
2017-09-13,19:00:00,1.4328,1.4473,1.4328,1.4425,43201,0
2017-09-13,20:00:00,1.4521,1.4522,1.4425,1.4425,12748,0
2017-09-13,21:00:00,1.4522,1.4522,1.4425,1.4473,24324,0
2017-09-13,22:00:00,1.4473,1.4522,1.4425,1.4425,60076,0
2017-09-14,16:00:00,1.4618,1.4908,1.4618,1.4715,45448,0
2017-09-14,17:00:00,1.4653,1.4715,1.4328,1.4425,143282,0
2017-09-14,18:00:00,1.4484,1.4522,1.4425,1.4513,8556,0
2017-09-14,19:00:00,1.4487,1.4522,1.4425,1.4522,16612,0
2017-09-14,20:00:00,1.4473,1.4522,1.4425,1.4425,25667,0
2017-09-14,21:00:00,1.4474,1.4522,1.4425,1.4425,21725,0
2017-09-14,22:00:00,1.4488,1.4522,1.4425,1.4522,18379,0
2017-09-15,16:00:00,1.4522,1.4522,1.4231,1.4241,27014,0
2017-09-15,17:00:00,1.4231,1.4231,1.3553,1.3795,132000,0
2017-09-15,18:00:00,1.3795,1.3941,1.3747,1.3844,28276,0
2017-09-15,19:00:00,1.3844,1.4037,1.3844,1.3989,11544,0
2017-09-15,20:00:00,1.3941,1.4231,1.3941,1.3941,22836,0
2017-09-15,21:00:00,1.3941,1.4037,1.3941,1.3941,10490,0
2017-09-15,22:00:00,1.4037,1.4134,1.3941,1.3941,51336,0
2017-09-18,16:00:00,1.3941,1.4425,1.3941,1.4328,18922,0
2017-09-18,17:00:00,1.4329,1.4425,1.3941,1.4231,37840,0
2017-09-18,18:00:00,1.4183,1.428,1.4134,1.4175,12458,0
2017-09-18,19:00:00,1.4231,1.4231,1.4134,1.423,11587,0
2017-09-18,20:00:00,1.4135,1.4231,1.4134,1.4173,9404,0
2017-09-18,21:00:00,1.4192,1.4328,1.4134,1.4328,29668,0
2017-09-18,22:00:00,1.428,1.4328,1.4231,1.4328,20209,0
2017-09-19,16:00:00,1.4328,1.4618,1.4231,1.4231,34962,0
2017-09-19,17:00:00,1.4232,1.4522,1.4232,1.4328,41703,0
2017-09-19,18:00:00,1.4376,1.4419,1.385,1.3941,86163,0
2017-09-19,19:00:00,1.3969,1.4037,1.3941,1.4037,38354,0
2017-09-19,20:00:00,1.4037,1.4134,1.3941,1.4098,8210,0
2017-09-19,21:00:00,1.4086,1.4134,1.4037,1.4134,24901,0
2017-09-19,22:00:00,1.4134,1.4328,1.4134,1.4231,51607,0
2017-09-20,16:00:00,1.4231,1.4522,1.4231,1.4522,22298,0
2017-09-20,17:00:00,1.4521,1.4522,1.4381,1.4425,15462,0
2017-09-20,18:00:00,1.4425,1.4522,1.4231,1.4328,67266,0
2017-09-20,19:00:00,1.4425,1.4425,1.4328,1.4328,21019,0
2017-09-20,20:00:00,1.427,1.4425,1.4231,1.4328,76677,0
2017-09-20,21:00:00,1.4328,1.4328,1.4241,1.426,9600,0
2017-09-20,22:00:00,1.428,1.4425,1.4231,1.4425,32371,0
2017-09-21,16:00:00,1.4425,1.4522,1.4329,1.4338,18533,0
2017-09-21,17:00:00,1.4359,1.4425,1.4328,1.44,10291,0
2017-09-21,18:00:00,1.4367,1.4425,1.4328,1.4338,15792,0
2017-09-21,19:00:00,1.4425,1.4425,1.4339,1.4425,5345,0
2017-09-21,20:00:00,1.4425,1.4425,1.4328,1.4338,22543,0
2017-09-21,21:00:00,1.4415,1.4425,1.423,1.423,35952,0
2017-09-21,22:00:00,1.419,1.428,1.4134,1.4231,36117,0
2017-09-22,16:00:00,1.4231,1.4425,1.4231,1.4425,4005,0
2017-09-22,17:00:00,1.4425,1.4425,1.4037,1.4183,49828,0
2017-09-22,18:00:00,1.422,1.422,1.4037,1.4134,11777,0
2017-09-22,19:00:00,1.4086,1.4134,1.4086,1.4129,5813,0
2017-09-22,20:00:00,1.4099,1.423,1.4047,1.4183,8867,0
2017-09-22,21:00:00,1.4183,1.4231,1.4134,1.4134,5752,0
2017-09-22,22:00:00,1.4134,1.4231,1.4134,1.4231,10486,0
2017-09-25,16:00:00,1.4328,1.4328,1.4231,1.4255,15733,0
2017-09-25,17:00:00,1.428,1.428,1.4064,1.4094,14388,0
2017-09-25,18:00:00,1.4037,1.4134,1.3457,1.3505,167844,0
2017-09-25,19:00:00,1.3457,1.3553,1.3359,1.3493,37702,0
2017-09-25,20:00:00,1.3517,1.3553,1.3263,1.3553,87914,0
2017-09-25,21:00:00,1.3553,1.3795,1.3552,1.3747,46023,0
2017-09-25,22:00:00,1.3651,1.3699,1.3457,1.3553,83307,0
2017-09-26,16:00:00,1.3553,1.3651,1.3359,1.3447,19004,0
2017-09-26,17:00:00,1.3359,1.3721,1.3359,1.3651,64970,0
2017-09-26,18:00:00,1.3563,1.3651,1.3553,1.3651,8827,0
2017-09-26,19:00:00,1.3554,1.3581,1.3457,1.3467,10252,0
2017-09-26,20:00:00,1.3553,1.3553,1.3457,1.3553,6460,0
2017-09-26,21:00:00,1.3505,1.3553,1.3384,1.3553,30031,0
2017-09-26,22:00:00,1.3553,1.3747,1.3508,1.3747,18993,0
2017-09-27,16:00:00,1.3651,1.3748,1.3553,1.3651,19544,0
2017-09-27,17:00:00,1.3651,1.3747,1.3457,1.3651,13635,0
2017-09-27,18:00:00,1.3553,1.3564,1.3359,1.3457,37486,0
2017-09-27,19:00:00,1.3428,1.3457,1.3359,1.3359,12000,0
2017-09-27,20:00:00,1.3457,1.3457,1.3359,1.3409,18942,0
2017-09-27,21:00:00,1.3457,1.3457,1.3386,1.342,8808,0
2017-09-27,22:00:00,1.3457,1.3601,1.3457,1.3457,71430,0
2017-09-28,16:00:00,1.3359,1.3723,1.3359,1.3651,23865,0
2017-09-28,17:00:00,1.3726,1.3726,1.3456,1.3651,13226,0
2017-09-28,18:00:00,1.3563,1.3651,1.3166,1.3166,63342,0
2017-09-28,19:00:00,1.3166,1.3311,1.3166,1.3285,41744,0
2017-09-28,20:00:00,1.3263,1.3359,1.3263,1.3311,36509,0
2017-09-28,21:00:00,1.3264,1.3505,1.3263,1.3505,16619,0
2017-09-28,22:00:00,1.3497,1.3553,1.3359,1.3359,30045,0
2017-09-29,16:00:00,1.3359,1.3419,1.3263,1.3263,16997,0
2017-09-29,17:00:00,1.3359,1.3471,1.3359,1.3471,20670,0
2017-09-29,18:00:00,1.336,1.3515,1.3359,1.3401,24993,0
2017-09-29,19:00:00,1.3409,1.3457,1.3359,1.3453,9665,0
2017-09-29,20:00:00,1.3427,1.3553,1.3384,1.3505,25524,0
2017-09-29,21:00:00,1.3553,1.3651,1.3457,1.3505,11629,0
2017-09-29,22:00:00,1.3553,1.3651,1.3553,1.3651,10061,0
2017-10-02,16:00:00,1.3553,1.3643,1.3553,1.3553,2316,0
2017-10-02,17:00:00,1.3553,1.3553,1.3359,1.3359,18759,0
2017-10-02,18:00:00,1.3359,1.3553,1.3264,1.3456,23083,0
2017-10-02,19:00:00,1.3429,1.3429,1.3176,1.3325,40793,0
2017-10-02,20:00:00,1.3311,1.3359,1.3264,1.3359,17158,0
2017-10-02,21:00:00,1.3359,1.3359,1.3263,1.3263,3251,0
2017-10-02,22:00:00,1.3358,1.3359,1.3166,1.3166,56283,0
2017-10-03,16:00:00,1.3359,1.4618,1.3359,1.4589,491947,0
2017-10-03,17:00:00,1.4618,1.4618,1.3844,1.3941,295363,0
2017-10-03,18:00:00,1.3844,1.4135,1.3844,1.3978,49006,0
2017-10-03,19:00:00,1.4037,1.4134,1.3941,1.4037,66760,0
2017-10-03,20:00:00,1.4032,1.4037,1.3844,1.3844,58364,0
2017-10-03,21:00:00,1.3844,1.4037,1.3747,1.3747,36478,0
2017-10-03,22:00:00,1.3747,1.3844,1.3651,1.3747,75345,0
2017-10-04,16:00:00,1.4037,1.4328,1.3747,1.4058,58052,0
2017-10-04,17:00:00,1.4134,1.4231,1.4134,1.4198,76578,0
2017-10-04,18:00:00,1.4231,1.4231,1.4134,1.4184,8079,0
2017-10-04,19:00:00,1.423,1.4231,1.4134,1.4212,33684,0
2017-10-04,20:00:00,1.4183,1.4231,1.4134,1.4183,5799,0
2017-10-04,21:00:00,1.4173,1.4183,1.3747,1.4084,80646,0
2017-10-04,22:00:00,1.4134,1.4134,1.3651,1.3747,43357,0
2017-10-05,16:00:00,1.3941,1.4037,1.3845,1.4037,2883,0
2017-10-05,17:00:00,1.3941,1.4191,1.3774,1.4064,26291,0
2017-10-05,18:00:00,1.4037,1.4134,1.3844,1.3893,32166,0
2017-10-05,19:00:00,1.3844,1.3931,1.3747,1.3747,15392,0
2017-10-05,20:00:00,1.3844,1.4037,1.3747,1.3941,38547,0
2017-10-05,21:00:00,1.3989,1.4134,1.3941,1.3989,36148,0
2017-10-05,22:00:00,1.3977,1.4037,1.3941,1.4037,24720,0
2017-10-06,16:00:00,1.4037,1.4037,1.3942,1.3989,6991,0
2017-10-06,17:00:00,1.4037,1.4037,1.3942,1.4012,14881,0
2017-10-06,18:00:00,1.4037,1.4037,1.3941,1.4037,14773,0
2017-10-06,19:00:00,1.4037,1.4037,1.3942,1.3942,4110,0
2017-10-06,20:00:00,1.4037,1.4037,1.3941,1.4017,5022,0
2017-10-06,21:00:00,1.4036,1.4037,1.3942,1.4037,10666,0
2017-10-06,22:00:00,1.3976,1.4037,1.3941,1.3941,40047,0
2017-10-09,17:00:00,1.4165,1.4212,1.4037,1.4082,12601,0
2017-10-09,18:00:00,1.4125,1.4125,1.4037,1.4038,12418,0
2017-10-09,19:00:00,1.4049,1.4134,1.4037,1.4037,21531,0
2017-10-09,20:00:00,1.4037,1.4134,1.4037,1.4047,36463,0
2017-10-09,21:00:00,1.4134,1.4134,1.4037,1.4037,74244,0
2017-10-09,22:00:00,1.4091,1.4091,1.3747,1.3844,33362,0
2017-10-10,16:00:00,1.3941,1.4001,1.3941,1.3941,5035,0
2017-10-10,17:00:00,1.3941,1.4032,1.3844,1.3845,9232,0
2017-10-10,18:00:00,1.3844,1.3941,1.3844,1.3864,17039,0
2017-10-10,19:00:00,1.3897,1.3941,1.3845,1.388,8026,0
2017-10-10,20:00:00,1.3941,1.3941,1.3844,1.3941,7297,0
2017-10-10,21:00:00,1.394,1.4037,1.394,1.4037,14908,0
2017-10-10,22:00:00,1.4037,1.4037,1.3844,1.4037,56782,0
2017-10-11,16:00:00,1.4037,1.4328,1.3893,1.4328,49605,0
2017-10-11,17:00:00,1.4328,1.4522,1.4134,1.4231,118832,0
2017-10-11,18:00:00,1.4231,1.4231,1.4134,1.4231,11975,0
2017-10-11,19:00:00,1.4231,1.4425,1.4183,1.4425,95374,0
2017-10-11,20:00:00,1.4363,1.4425,1.4134,1.4231,26658,0
2017-10-11,21:00:00,1.4231,1.4328,1.4134,1.426,13920,0
2017-10-11,22:00:00,1.4231,1.4328,1.4231,1.4231,39728,0
2017-10-12,16:00:00,1.4037,1.4157,1.4037,1.4143,7592,0
2017-10-12,17:00:00,1.4037,1.4086,1.3941,1.3941,8117,0
2017-10-12,18:00:00,1.3967,1.4037,1.3941,1.402,12799,0
2017-10-12,19:00:00,1.4012,1.4134,1.3941,1.3995,14605,0
2017-10-12,20:00:00,1.4037,1.4037,1.3989,1.4037,1806,0
2017-10-12,21:00:00,1.3977,1.4037,1.3844,1.3888,25990,0
2017-10-12,22:00:00,1.3844,1.3989,1.3844,1.3893,19331,0
2017-10-13,16:00:00,1.3941,1.3969,1.3941,1.3969,1844,0
2017-10-13,17:00:00,1.3941,1.3941,1.3747,1.3775,22359,0
2017-10-13,18:00:00,1.3844,1.3941,1.3844,1.394,20499,0
2017-10-13,19:00:00,1.3893,1.3941,1.3867,1.3941,7025,0
2017-10-13,20:00:00,1.3844,1.3893,1.3844,1.3844,2887,0
2017-10-13,21:00:00,1.3941,1.3941,1.3889,1.3893,1829,0
2017-10-13,22:00:00,1.3913,1.3941,1.3844,1.3941,13786,0
2017-10-16,16:00:00,1.3747,1.3941,1.3747,1.394,8062,0
2017-10-16,17:00:00,1.3793,1.3844,1.3651,1.3838,16452,0
2017-10-16,18:00:00,1.3747,1.3844,1.3359,1.3457,117220,0
