Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,40.821,41.213,40.811,40.939,10078,0
2017-09-05,17:00:00,40.743,41.105,40.743,40.879,23816,0
2017-09-05,18:00:00,40.929,41.042,40.753,40.909,23182,0
2017-09-05,19:00:00,40.909,41.409,40.801,41.15,27984,0
2017-09-05,20:00:00,41.234,41.806,40.924,41.174,82372,0
2017-09-05,21:00:00,41.125,41.458,40.851,41.017,61520,0
2017-09-05,22:00:00,41.076,41.203,40.861,41.135,58141,0
2017-09-06,16:00:00,41.203,41.679,41.145,41.28,10667,0
2017-09-06,17:00:00,41.272,42.546,41.184,41.762,34102,0
2017-09-06,18:00:00,41.841,42.042,41.557,41.742,16241,0
2017-09-06,19:00:00,41.674,41.767,41.4,41.576,18640,0
2017-09-06,20:00:00,41.365,41.689,41.365,41.556,20486,0
2017-09-06,21:00:00,41.526,41.606,41.409,41.606,44404,0
2017-09-06,22:00:00,41.581,41.619,41.409,41.458,86258,0
2017-09-07,16:00:00,40.929,42.527,40.596,42.047,143578,0
2017-09-07,17:00:00,41.904,41.929,41.509,41.664,29011,0
2017-09-07,18:00:00,41.699,42.095,41.566,41.659,42577,0
2017-09-07,19:00:00,41.644,41.718,41.075,41.193,66247,0
2017-09-07,20:00:00,41.145,41.38,40.879,41.252,21270,0
2017-09-07,21:00:00,41.19,41.429,40.997,41.056,22505,0
2017-09-07,22:00:00,41.066,41.331,40.664,40.861,104052,0
2017-09-08,16:00:00,41.047,41.135,40.438,40.929,58465,0
2017-09-08,17:00:00,40.909,41.164,40.576,40.919,13006,0
2017-09-08,18:00:00,41.115,41.252,40.527,40.576,16668,0
2017-09-08,19:00:00,40.723,41.208,40.694,41.208,22286,0
2017-09-08,20:00:00,41.159,41.39,41.027,41.257,19407,0
2017-09-08,21:00:00,41.186,41.606,41.057,41.429,17039,0
2017-09-08,22:00:00,41.526,41.576,41.047,41.272,58507,0
2017-09-11,16:00:00,41.909,42.243,41.536,41.909,11897,0
2017-09-11,17:00:00,41.919,42.085,41.321,41.453,20248,0
2017-09-11,18:00:00,41.34,41.518,40.934,40.934,28210,0
2017-09-11,19:00:00,40.997,41.135,40.811,40.939,15136,0
2017-09-11,20:00:00,40.939,41.233,40.939,41.115,11879,0
2017-09-11,21:00:00,41.115,41.213,41.027,41.115,15285,0
2017-09-11,22:00:00,41.105,41.282,41.052,41.272,41587,0
2017-09-12,16:00:00,41.311,41.511,40.949,40.949,1972,0
2017-09-12,17:00:00,41.174,41.174,40.512,40.584,5939,0
2017-09-12,18:00:00,40.586,40.654,40.577,40.596,3928,0
2017-09-12,19:00:00,40.614,40.684,40.566,40.648,13271,0
2017-09-12,20:00:00,40.605,40.821,40.537,40.541,9433,0
2017-09-12,21:00:00,40.537,40.684,40.261,40.39,37583,0
2017-09-12,22:00:00,40.37,40.493,40.096,40.438,40838,0
2017-09-13,16:00:00,40.242,40.421,39.87,40.081,9791,0
2017-09-13,17:00:00,40.056,40.586,39.997,40.467,5932,0
