Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,63.91,64.05,63.5001,63.52,9115,0
2017-09-05,17:00:00,63.62,63.799,63.53,63.71,12989,0
2017-09-05,18:00:00,63.69,63.8298,63.435,63.7,8048,0
2017-09-05,19:00:00,63.68,63.68,63.12,63.19,8005,0
2017-09-05,20:00:00,63.19,63.36,62.86,63.32,11233,0
2017-09-05,21:00:00,63.33,63.45,63.09,63.125,7716,0
2017-09-05,22:00:00,63.16,63.16,62.93,62.99,46773,0
2017-09-06,16:00:00,63.17,63.17,62.81,62.9666,1063,0
2017-09-06,17:00:00,62.98,62.98,62.2,62.2,13131,0
2017-09-06,18:00:00,62.25,62.363,62.095,62.13,13928,0
2017-09-06,19:00:00,62.15,62.3,62.06,62.14,8268,0
2017-09-06,20:00:00,62.18,62.61,62.18,62.36,10191,0
2017-09-06,21:00:00,62.4,62.51,62.1058,62.16,13010,0
2017-09-06,22:00:00,62.18,62.28,62.03,62.05,35708,0
2017-09-07,16:00:00,62.1,63.06,61.84,61.99,13496,0
2017-09-07,17:00:00,61.92,62.01,61.2,61.24,26572,0
2017-09-07,18:00:00,61.19,61.24,60.9,61.08,39739,0
2017-09-07,19:00:00,61.11,61.31,61.05,61.18,18832,0
2017-09-07,20:00:00,61.24,61.73,61.17,61.73,37073,0
2017-09-07,21:00:00,62,62.1,61.65,61.76,16662,0
2017-09-07,22:00:00,61.76,61.88,61.56,61.75,50747,0
2017-09-08,16:00:00,61.68,62.15,61.02,61.19,4542,0
2017-09-08,17:00:00,61.01,61.71,61.01,61.71,11929,0
2017-09-08,18:00:00,61.76,61.935,61.39,61.66,18933,0
2017-09-08,19:00:00,61.66,62,61.5,61.99,6300,0
2017-09-08,20:00:00,61.83,61.83,61.33,61.4799,5137,0
2017-09-08,21:00:00,61.49,61.845,61.44,61.845,7523,0
2017-09-08,22:00:00,61.9,62.04,61.1,61.2,60707,0
2017-09-11,16:00:00,61.42,61.96,61.26,61.5606,13233,0
2017-09-11,17:00:00,61.62,61.64,61.19,61.33,10143,0
2017-09-11,18:00:00,61.3,61.3,60.92,61.1202,15392,0
2017-09-11,19:00:00,61.08,61.27,61.01,61.25,8568,0
2017-09-11,20:00:00,61.24,61.4,61.18,61.18,15018,0
2017-09-11,21:00:00,61.24,61.3,61.15,61.16,56700,0
2017-09-11,22:00:00,61.11,61.32,61.07,61.15,152256,0
2017-09-12,16:00:00,61.21,61.77,61.1,61.325,6262,0
2017-09-12,17:00:00,61.31,61.39,60.38,60.45,15969,0
2017-09-12,18:00:00,60.47,60.6912,60.39,60.39,13830,0
2017-09-12,19:00:00,60.3401,60.3899,59.9001,59.92,17051,0
2017-09-12,20:00:00,59.9101,60.36,59.9101,60.1,13830,0
2017-09-12,21:00:00,60.0501,60.23,59.82,59.875,21264,0
2017-09-12,22:00:00,59.93,60.4,59.89,60.23,94792,0
2017-09-13,16:00:00,60.15,61.1,60.09,60.45,11345,0
2017-09-13,17:00:00,60.33,60.33,60.0405,60.06,23297,0
2017-09-13,18:00:00,60.11,60.17,59.7,59.98,18814,0
2017-09-13,19:00:00,59.97,60.05,59.9,59.93,17222,0
2017-09-13,20:00:00,59.99,60.06,59.86,59.9081,25945,0
2017-09-13,21:00:00,59.95,60.04,59.66,59.77,18555,0
2017-09-13,22:00:00,59.815,59.85,59.67,59.77,58829,0
2017-09-14,16:00:00,59.69,59.97,59.67,59.75,9458,0
2017-09-14,17:00:00,59.83,59.83,59.66,59.69,17941,0
2017-09-14,18:00:00,59.7,59.7194,59.5,59.71,9054,0
2017-09-14,19:00:00,59.71,59.7499,59.65,59.68,22704,0
2017-09-14,20:00:00,59.685,59.73,59.6,59.61,9382,0
2017-09-14,21:00:00,59.62,59.65,59.42,59.46,7698,0
2017-09-14,22:00:00,59.435,59.53,59.36,59.52,50806,0
2017-09-15,16:00:00,59.64,59.655,59.32,59.61,72717,0
2017-09-15,17:00:00,59.645,59.71,59.32,59.61,15480,0
2017-09-15,18:00:00,59.62,59.69,59.46,59.57,18725,0
2017-09-15,19:00:00,59.56,59.67,59.29,59.29,28226,0
2017-09-15,20:00:00,59.32,59.36,58.79,58.79,13122,0
2017-09-15,21:00:00,58.8,59.03,58.8,59,52005,0
2017-09-15,22:00:00,59,59.41,58.9507,59.32,166772,0
2017-09-18,16:00:00,59.41,60,59.41,59.84,4638,0
2017-09-18,17:00:00,59.85,59.99,59.82,59.9,7640,0
2017-09-18,18:00:00,59.9,59.955,59.45,59.55,24174,0
2017-09-18,19:00:00,59.575,59.85,59.463,59.84,37429,0
2017-09-18,20:00:00,59.85,60.14,59.74,59.9,24121,0
2017-09-18,21:00:00,59.97,60.03,59.33,59.4,30081,0
2017-09-18,22:00:00,59.4,59.44,59.16,59.2,128926,0
2017-09-19,16:00:00,59.2,59.585,59.03,59.28,3887,0
2017-09-19,17:00:00,59.28,59.39,58.81,59.21,17962,0
2017-09-19,18:00:00,59.17,59.51,59.15,59.28,11661,0
2017-09-19,19:00:00,59.28,59.4,58.97,59.17,23035,0
2017-09-19,20:00:00,59.16,59.55,59.08,59.51,9987,0
2017-09-19,21:00:00,59.58,59.75,59.21,59.61,37684,0
2017-09-19,22:00:00,59.65,59.86,59.41,59.86,106833,0
2017-09-20,16:00:00,59.71,59.95,59.22,59.44,5820,0
2017-09-20,17:00:00,59.51,59.755,59.24,59.755,22230,0
2017-09-20,18:00:00,59.77,59.98,59.56,59.88,9454,0
2017-09-20,19:00:00,59.975,60.2899,59.71,60.215,7729,0
2017-09-20,20:00:00,60.26,60.36,60.115,60.24,25360,0
2017-09-20,21:00:00,60.195,60.49,59.93,60.49,24713,0
2017-09-20,22:00:00,60.455,60.49,60.04,60.23,62159,0
2017-09-21,16:00:00,60.43,61.34,60.22,61.3,18196,0
2017-09-21,17:00:00,61.3,61.95,60.96,61.405,37522,0
2017-09-21,18:00:00,61.315,61.72,61.315,61.52,29356,0
2017-09-21,19:00:00,61.435,61.66,61.3,61.43,46351,0
2017-09-21,20:00:00,61.46,61.78,61.44,61.64,34439,0
2017-09-21,21:00:00,61.65,61.78,61.46,61.68,16148,0
2017-09-21,22:00:00,61.75,61.82,61.52,61.75,87454,0
2017-09-22,16:00:00,61.48,61.63,60.81,60.9,9184,0
2017-09-22,17:00:00,60.76,61.47,60.76,61.47,13175,0
2017-09-22,18:00:00,61.5,61.7299,61.08,61.3499,13290,0
2017-09-22,19:00:00,61.33,61.35,61.11,61.35,7799,0
2017-09-22,20:00:00,61.34,61.6399,61.27,61.51,8817,0
2017-09-22,21:00:00,61.51,61.65,61.49,61.56,11561,0
2017-09-22,22:00:00,61.575,62,61.5096,61.82,71283,0
2017-09-25,16:00:00,61.75,61.75,60.6266,60.87,9535,0
2017-09-25,17:00:00,60.87,60.87,60.19,60.4,17767,0
2017-09-25,18:00:00,60.26,60.36,59.93,60.17,12711,0
2017-09-25,19:00:00,60.16,60.32,60.11,60.17,12865,0
2017-09-25,20:00:00,60.2,60.23,60.07,60.17,3506,0
2017-09-25,21:00:00,60.16,60.2,60.03,60.12,19037,0
2017-09-25,22:00:00,60.12,60.188,60.05,60.07,103351,0
2017-09-26,16:00:00,60.24,60.26,59.74,59.77,17760,0
2017-09-26,17:00:00,59.77,60.145,59.67,59.76,13207,0
2017-09-26,18:00:00,59.76,60.01,59.63,59.72,14658,0
2017-09-26,19:00:00,59.8,60.03,59.77,59.88,8901,0
2017-09-26,20:00:00,59.86,60.05,59.86,59.98,36585,0
2017-09-26,21:00:00,59.95,60.04,59.92,59.92,12446,0
2017-09-26,22:00:00,59.9,60.1,59.87,59.99,46512,0
2017-09-27,16:00:00,60.26,60.64,59.78,60.05,12275,0
2017-09-27,17:00:00,60.125,60.6,60,60.39,9370,0
2017-09-27,18:00:00,60.42,61.6,60.36,61.595,52952,0
2017-09-27,19:00:00,61.63,62.51,61.52,62.435,25771,0
2017-09-27,20:00:00,62.5,63.12,62.35,62.81,51238,0
2017-09-27,21:00:00,62.81,63.07,62.62,63.07,32846,0
2017-09-27,22:00:00,63.06,63.36,62.66,62.7,116135,0
2017-09-28,16:00:00,62.42,62.7,62.1801,62.57,10898,0
2017-09-28,17:00:00,62.48,63.45,62.46,63.31,22770,0
2017-09-28,18:00:00,63.365,63.77,62.97,62.97,26480,0
2017-09-28,19:00:00,62.97,62.99,62.34,62.4,27745,0
2017-09-28,20:00:00,62.4,62.62,62.09,62.62,14365,0
2017-09-28,21:00:00,62.63,62.67,62.32,62.5,15693,0
2017-09-28,22:00:00,62.5,62.68,62.46,62.5,52053,0
2017-09-29,16:00:00,63,63.65,62.38,62.58,13777,0
2017-09-29,17:00:00,62.68,62.9,62.51,62.67,24325,0
2017-09-29,18:00:00,62.655,62.68,62.46,62.51,28601,0
2017-09-29,19:00:00,62.51,62.555,62.42,62.51,19732,0
2017-09-29,20:00:00,62.5,62.505,62.27,62.28,16612,0
2017-09-29,21:00:00,62.27,62.63,62.1601,62.63,14283,0
2017-09-29,22:00:00,62.61,62.75,62.45,62.47,91918,0
2017-10-02,16:00:00,62.86,63.645,62.86,63.53,10258,0
2017-10-02,17:00:00,63.72,63.95,63.47,63.635,25686,0
2017-10-02,18:00:00,63.595,63.6699,63.39,63.52,36808,0
2017-10-02,19:00:00,63.42,63.72,63.39,63.59,32177,0
2017-10-02,20:00:00,63.57,64.3,63.43,64.2,29659,0
2017-10-02,21:00:00,64.17,64.21,63.91,63.98,40555,0
2017-10-02,22:00:00,63.975,64.89,63.95,64.89,113913,0
2017-10-03,16:00:00,64.91,65.25,64.57,65,6562,0
2017-10-03,17:00:00,64.97,64.97,64.49,64.56,13538,0
2017-10-03,18:00:00,64.56,64.57,64.22,64.32,20671,0
2017-10-03,19:00:00,64.36,64.39,63.95,64.04,14330,0
2017-10-03,20:00:00,64,64.25,63.9,64.25,18193,0
2017-10-03,21:00:00,64.25,64.48,64.19,64.22,39676,0
2017-10-03,22:00:00,64.2,64.629,64.09,64.62,80923,0
2017-10-04,16:00:00,64.71,64.98,64.61,64.77,2574,0
2017-10-04,17:00:00,64.51,64.73,64.28,64.505,28095,0
2017-10-04,18:00:00,64.54,64.61,64.39,64.46,15916,0
2017-10-04,19:00:00,64.47,64.66,64.43,64.645,8519,0
2017-10-04,20:00:00,64.645,64.78,64.25,64.3,6636,0
2017-10-04,21:00:00,64.35,64.81,64.3,64.75,13313,0
