Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,26.476,26.505,26.368,26.368,73685,0
2017-09-05,17:00:00,26.378,26.426,26.348,26.402,129005,0
2017-09-05,18:00:00,26.402,26.426,26.387,26.417,75237,0
2017-09-05,19:00:00,26.417,26.486,26.397,26.466,82017,0
2017-09-05,20:00:00,26.466,26.486,26.407,26.417,76283,0
2017-09-05,21:00:00,26.417,26.446,26.378,26.407,91803,0
2017-09-05,22:00:00,26.407,26.476,26.378,26.466,559167,0
2017-09-06,16:00:00,26.515,26.575,26.402,26.417,62629,0
2017-09-06,17:00:00,26.426,26.456,26.387,26.436,60260,0
2017-09-06,18:00:00,26.436,26.456,26.378,26.407,49959,0
2017-09-06,19:00:00,26.412,26.412,26.378,26.378,28995,0
2017-09-06,20:00:00,26.378,26.387,26.288,26.323,153944,0
2017-09-06,21:00:00,26.318,26.378,26.308,26.373,90493,0
2017-09-06,22:00:00,26.378,26.417,26.353,26.387,371075,0
2017-09-07,16:00:00,26.426,26.456,26.358,26.446,62630,0
2017-09-07,17:00:00,26.446,26.613,26.446,26.515,114563,0
2017-09-07,18:00:00,26.515,26.52,26.412,26.446,123556,0
2017-09-07,19:00:00,26.446,26.456,26.387,26.402,47937,0
2017-09-07,20:00:00,26.407,26.486,26.387,26.476,70000,0
2017-09-07,21:00:00,26.476,26.555,26.476,26.555,96764,0
2017-09-07,22:00:00,26.545,26.604,26.495,26.584,406871,0
2017-09-08,16:00:00,26.545,26.604,26.436,26.486,57642,0
2017-09-08,17:00:00,26.486,26.57,26.456,26.555,78105,0
2017-09-08,18:00:00,26.565,26.594,26.545,26.565,80632,0
2017-09-08,19:00:00,26.575,26.643,26.565,26.643,94177,0
2017-09-08,20:00:00,26.633,26.669,26.613,26.643,194872,0
2017-09-08,21:00:00,26.633,26.713,26.633,26.693,120289,0
2017-09-08,22:00:00,26.693,26.751,26.643,26.703,816901,0
2017-09-11,16:00:00,26.653,26.796,26.613,26.751,45168,0
2017-09-11,17:00:00,26.746,26.811,26.727,26.796,194165,0
2017-09-11,18:00:00,26.801,26.831,26.766,26.821,136775,0
2017-09-11,19:00:00,26.831,26.831,26.741,26.751,111766,0
2017-09-11,20:00:00,26.756,26.791,26.736,26.771,135635,0
2017-09-11,21:00:00,26.771,26.821,26.761,26.806,148574,0
2017-09-11,22:00:00,26.806,26.84,26.781,26.821,465237,0
2017-09-12,16:00:00,26.85,26.88,26.713,26.746,75117,0
2017-09-12,17:00:00,26.751,26.751,26.613,26.633,113741,0
2017-09-12,18:00:00,26.629,26.633,26.584,26.589,94967,0
2017-09-12,19:00:00,26.584,26.589,26.412,26.451,143085,0
2017-09-12,20:00:00,26.456,26.456,26.25,26.298,162378,0
2017-09-12,21:00:00,26.288,26.397,26.22,26.397,121159,0
2017-09-12,22:00:00,26.387,26.397,26.358,26.387,399312,0
2017-09-13,16:00:00,26.318,26.397,26.25,26.26,61475,0
2017-09-13,17:00:00,26.255,26.328,26.24,26.318,163075,0
2017-09-13,18:00:00,26.313,26.353,26.298,26.318,78051,0
2017-09-13,19:00:00,26.318,26.426,26.318,26.382,70645,0
2017-09-13,20:00:00,26.378,26.397,26.358,26.358,75439,0
2017-09-13,21:00:00,26.363,26.407,26.343,26.378,138583,0
2017-09-13,22:00:00,26.378,26.407,26.269,26.278,479504,0
2017-09-14,16:00:00,26.26,26.323,26.18,26.308,68012,0
2017-09-14,17:00:00,26.308,26.417,26.303,26.353,139031,0
2017-09-14,18:00:00,26.353,26.436,26.328,26.407,149845,0
2017-09-14,19:00:00,26.407,26.5,26.402,26.461,109665,0
2017-09-14,20:00:00,26.466,26.495,26.422,26.486,101924,0
2017-09-14,21:00:00,26.486,26.491,26.426,26.436,124499,0
2017-09-14,22:00:00,26.436,26.515,26.397,26.515,628933,0
2017-09-15,16:00:00,26.476,26.643,26.426,26.436,543661,0
2017-09-15,17:00:00,26.436,26.495,26.387,26.431,146922,0
2017-09-15,18:00:00,26.426,26.495,26.348,26.476,296136,0
2017-09-15,19:00:00,26.476,26.53,26.446,26.52,163326,0
2017-09-15,20:00:00,26.52,26.525,26.486,26.5,93331,0
2017-09-15,21:00:00,26.505,26.535,26.456,26.535,347829,0
2017-09-15,22:00:00,26.535,26.613,26.525,26.584,1528632,0
2017-09-18,16:00:00,26.584,26.584,26.407,26.486,78110,0
2017-09-18,17:00:00,26.476,26.486,26.288,26.338,149077,0
2017-09-18,18:00:00,26.34,26.407,26.26,26.318,542438,0
2017-09-18,19:00:00,26.318,26.318,26.102,26.131,190801,0
2017-09-18,20:00:00,26.141,26.24,26.052,26.052,316031,0
2017-09-18,21:00:00,26.042,26.121,25.993,26.092,315550,0
2017-09-18,22:00:00,26.092,26.16,26.072,26.141,604991,0
2017-09-19,16:00:00,26.18,26.23,26.052,26.052,90752,0
2017-09-19,17:00:00,26.042,26.062,25.954,25.988,208476,0
2017-09-19,18:00:00,25.988,26.033,25.954,25.959,151206,0
2017-09-19,19:00:00,25.959,25.964,25.924,25.939,133918,0
2017-09-19,20:00:00,25.934,26.013,25.934,26.003,96763,0
2017-09-19,21:00:00,25.998,26.042,25.973,26.008,130574,0
2017-09-19,22:00:00,26.013,26.062,25.993,26.003,479205,0
2017-09-20,16:00:00,26.092,26.17,25.983,26.013,40028,0
2017-09-20,17:00:00,26.018,26.042,25.915,26.033,124777,0
2017-09-20,18:00:00,26.033,26.033,25.915,25.954,90365,0
2017-09-20,19:00:00,25.954,25.978,25.915,25.924,58008,0
2017-09-20,20:00:00,25.92,25.983,25.915,25.954,66698,0
2017-09-20,21:00:00,25.954,25.954,25.697,25.787,586831,0
2017-09-20,22:00:00,25.787,25.865,25.757,25.797,700739,0
2017-09-21,16:00:00,25.787,25.9,25.678,25.885,63733,0
2017-09-21,17:00:00,25.885,25.929,25.835,25.865,93169,0
2017-09-21,18:00:00,25.865,25.91,25.797,25.815,81271,0
2017-09-21,19:00:00,25.815,25.815,25.737,25.747,58494,0
2017-09-21,20:00:00,25.752,25.807,25.717,25.782,67755,0
2017-09-21,21:00:00,25.787,25.787,25.722,25.737,84883,0
2017-09-21,22:00:00,25.742,25.767,25.717,25.727,358329,0
2017-09-22,16:00:00,25.767,25.797,25.639,25.688,61210,0
2017-09-22,17:00:00,25.668,25.668,25.334,25.432,455873,0
2017-09-22,18:00:00,25.432,25.471,25.334,25.412,211919,0
