Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-15,16:00:00,9.94,9.94,9.898,9.93,4014,0
2017-08-15,17:00:00,9.93,9.93,9.919,9.93,6535,0
2017-08-15,18:00:00,9.929,9.93,9.913,9.913,3523,0
2017-08-15,19:00:00,9.926,9.94,9.926,9.94,8903,0
2017-08-15,21:00:00,9.94,9.969,9.923,9.949,3452,0
2017-08-15,22:00:00,9.949,9.969,9.94,9.959,3534,0
2017-08-16,16:00:00,9.978,9.978,9.978,9.978,641,0
2017-08-16,17:00:00,9.959,9.959,9.959,9.959,207,0
2017-08-16,18:00:00,9.969,9.978,9.969,9.969,1139,0
2017-08-16,20:00:00,9.959,9.975,9.916,9.964,1961,0
2017-08-16,21:00:00,9.969,9.998,9.969,9.998,284,0
2017-08-16,22:00:00,10.008,10.018,10.008,10.018,1837,0
2017-08-17,16:00:00,10.008,10.018,9.969,9.969,760,0
2017-08-17,17:00:00,9.983,9.983,9.969,9.978,511,0
2017-08-17,19:00:00,9.988,9.988,9.969,9.969,5893,0
2017-08-17,20:00:00,9.978,9.978,9.977,9.977,1423,0
2017-08-17,21:00:00,9.992,10.007,9.978,9.998,10033,0
2017-08-17,22:00:00,9.996,9.998,9.996,9.998,3165,0
2017-08-18,16:00:00,10.018,10.018,9.981,9.981,1751,0
2017-08-18,17:00:00,9.998,9.998,9.988,9.988,207,0
2017-08-18,18:00:00,9.97,10.008,9.97,10.005,2544,0
2017-08-18,20:00:00,9.998,10.034,9.998,10.034,1562,0
2017-08-18,22:00:00,10.028,10.047,10.018,10.018,5311,0
2017-08-21,16:00:00,10.037,10.067,10.036,10.067,3340,0
2017-08-21,17:00:00,10.047,10.047,10.029,10.037,5497,0
2017-08-21,18:00:00,10.038,10.054,10.037,10.046,4129,0
2017-08-21,20:00:00,10.047,10.047,10.047,10.047,407,0
2017-08-21,21:00:00,10.056,10.057,10.056,10.057,1524,0
2017-08-21,22:00:00,10.067,10.076,10.067,10.076,1428,0
2017-08-22,16:00:00,10.057,10.057,10.057,10.057,427,0
2017-08-22,17:00:00,10.067,10.067,10.06,10.067,3872,0
2017-08-22,18:00:00,10.067,10.076,10.057,10.057,1111,0
2017-08-22,19:00:00,10.067,10.076,10.057,10.068,5883,0
2017-08-22,20:00:00,10.07,10.07,10.07,10.07,100,0
2017-08-22,21:00:00,10.076,10.101,10.076,10.101,1061,0
2017-08-22,22:00:00,10.096,10.096,10.076,10.076,6300,0
2017-08-23,16:00:00,10.076,10.076,10.076,10.076,412,0
2017-08-23,18:00:00,10.076,10.086,10.076,10.086,1677,0
2017-08-23,20:00:00,10.086,10.086,10.086,10.086,307,0
2017-08-23,21:00:00,10.106,10.108,10.099,10.108,1122,0
2017-08-23,22:00:00,10.134,10.154,10.096,10.106,7734,0
2017-08-24,16:00:00,10.124,10.124,10.124,10.124,336,0
2017-08-24,17:00:00,10.106,10.106,10.106,10.106,1941,0
2017-08-24,18:00:00,10.106,10.106,10.096,10.096,3371,0
2017-08-24,19:00:00,10.106,10.106,10.106,10.106,2247,0
2017-08-24,20:00:00,10.124,10.126,10.122,10.124,6561,0
2017-08-24,22:00:00,10.126,10.134,10.124,10.126,2398,0
2017-08-25,16:00:00,10.144,10.144,10.144,10.144,352,0
2017-08-25,18:00:00,10.096,10.096,10.096,10.096,614,0
2017-08-25,19:00:00,10.106,10.147,10.106,10.13,17449,0
2017-08-25,20:00:00,10.124,10.134,10.124,10.134,1408,0
2017-08-25,21:00:00,10.124,10.154,10.124,10.134,4317,0
2017-08-25,22:00:00,10.134,10.154,10.129,10.134,5121,0
2017-08-28,16:00:00,10.164,10.164,10.124,10.132,8766,0
2017-08-28,17:00:00,10.124,10.124,10.106,10.106,1021,0
2017-08-28,18:00:00,10.106,10.107,10.106,10.106,1224,0
2017-08-28,19:00:00,10.106,10.106,10.106,10.106,307,0
2017-08-28,20:00:00,10.106,10.111,10.106,10.106,1021,0
2017-08-28,21:00:00,10.106,10.106,10.067,10.067,1900,0
2017-08-28,22:00:00,10.068,10.075,10.067,10.067,1635,0
