Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,76.797,77.043,76.549,76.845,2283,0
2017-09-05,17:00:00,76.797,76.845,76.449,76.647,4440,0
2017-09-05,18:00:00,76.597,76.597,76.326,76.399,3388,0
2017-09-05,19:00:00,76.399,76.449,76.301,76.399,1917,0
2017-09-05,20:00:00,76.251,76.251,76.003,76.04,3574,0
2017-09-05,21:00:00,76.103,76.301,75.805,75.855,5426,0
2017-09-05,22:00:00,75.904,76.103,75.607,76.053,32535,0
2017-09-06,16:00:00,76.251,76.449,75.954,76.449,966,0
2017-09-06,17:00:00,76.545,76.82,76.301,76.82,5780,0
2017-09-06,18:00:00,76.767,76.797,76.595,76.747,6811,0
2017-09-06,19:00:00,76.647,76.747,76.597,76.697,10948,0
2017-09-06,20:00:00,76.697,76.797,76.549,76.722,4962,0
2017-09-06,21:00:00,76.797,77.143,76.797,77.143,5700,0
2017-09-06,22:00:00,77.143,77.539,77.143,77.5,20735,0
2017-09-07,16:00:00,77.539,77.539,76.845,76.895,567,0
2017-09-07,17:00:00,77.043,78.282,77.043,78.084,16449,0
2017-09-07,18:00:00,77.936,78.084,77.291,77.292,3715,0
2017-09-07,19:00:00,77.44,78.307,77.366,77.886,5848,0
2017-09-07,20:00:00,77.936,77.936,77.589,77.737,5457,0
2017-09-07,21:00:00,77.638,77.688,77.49,77.539,2422,0
2017-09-07,22:00:00,77.539,77.638,77.291,77.341,12949,0
2017-09-08,16:00:00,77.193,77.341,76.697,77.291,6441,0
2017-09-08,17:00:00,77.366,77.688,77.291,77.638,1480,0
2017-09-08,18:00:00,77.787,78.134,77.737,78.134,2119,0
2017-09-08,19:00:00,77.936,78.184,77.787,78.035,1494,0
2017-09-08,20:00:00,77.936,78.134,77.837,77.837,706,0
2017-09-08,21:00:00,77.936,78.084,77.787,77.936,2119,0
2017-09-08,22:00:00,78.035,78.282,77.886,78.282,17328,0
2017-09-11,16:00:00,78.63,78.63,78.282,78.282,2140,0
2017-09-11,17:00:00,78.382,78.48,78.134,78.134,4462,0
2017-09-11,18:00:00,78.184,78.655,78.01,78.605,2523,0
2017-09-11,19:00:00,78.53,78.778,78.53,78.778,1817,0
2017-09-11,20:00:00,78.803,79.026,78.728,78.728,2677,0
2017-09-11,21:00:00,78.778,78.778,78.58,78.58,6257,0
2017-09-11,22:00:00,78.63,78.728,78.382,78.431,18612,0
2017-09-12,16:00:00,78.58,78.976,78.58,78.778,1879,0
2017-09-12,17:00:00,78.58,78.728,78.409,78.53,3530,0
2017-09-12,18:00:00,78.58,78.678,78.58,78.63,656,0
2017-09-12,19:00:00,78.63,78.63,78.382,78.48,1715,0
2017-09-12,20:00:00,78.53,78.53,78.184,78.184,1260,0
2017-09-12,21:00:00,78.109,78.678,78.084,78.63,2589,0
2017-09-12,22:00:00,78.63,78.655,78.431,78.58,13691,0
2017-09-13,16:00:00,78.382,78.63,77.787,78.63,652,0
2017-09-13,17:00:00,78.678,78.778,78.035,78.431,4036,0
2017-09-13,18:00:00,78.431,78.58,78.233,78.58,1211,0
2017-09-13,19:00:00,78.53,78.828,78.48,78.828,5633,0
2017-09-13,20:00:00,78.778,78.877,78.431,78.877,4056,0
2017-09-13,21:00:00,79.026,79.026,78.53,78.678,2654,0
2017-09-13,22:00:00,78.678,78.778,78.53,78.728,42223,0
2017-09-14,16:00:00,78.58,78.63,78.48,78.63,593,0
2017-09-14,17:00:00,78.778,78.926,78.778,78.828,608,0
2017-09-14,18:00:00,78.877,79.076,78.877,79.076,1416,0
2017-09-14,19:00:00,79.076,79.719,79.001,79.719,12036,0
2017-09-14,20:00:00,79.62,79.62,79.274,79.274,2448,0
2017-09-14,21:00:00,79.224,79.224,79.026,79.026,706,0
2017-09-14,22:00:00,79.001,79.571,78.926,79.422,28914,0
2017-09-15,16:00:00,79.521,79.769,78.728,79.719,32337,0
2017-09-15,17:00:00,79.472,80.215,79.472,80.017,3431,0
