Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-23,21:00:00,25.186,25.186,25.186,25.186,812,0
2017-02-03,16:00:00,25.186,25.186,25.186,25.186,100,0
2017-02-03,22:00:00,25.186,25.186,25.186,25.186,0,0
2017-02-06,16:00:00,25.646,25.646,25.646,25.646,200,0
2017-02-10,16:00:00,26.035,26.035,25.915,25.915,200,0
2017-02-27,19:00:00,26.434,26.434,26.434,26.434,658,0
2017-02-28,20:00:00,26.185,26.185,26.185,26.185,100,0
2017-03-03,22:00:00,26.504,26.504,26.504,26.504,1602,0
2017-03-06,21:00:00,26.265,26.594,26.265,26.583,2766,0
2017-03-06,22:00:00,26.584,26.584,26.584,26.584,582,0
2017-03-07,16:00:00,26.095,26.095,26.095,26.095,2103,0
2017-03-07,17:00:00,26.095,26.095,26.095,26.095,596,0
2017-03-14,15:00:00,26.135,26.135,26.135,26.135,100,0
2017-03-14,16:00:00,26.095,26.095,26.095,26.095,484,0
2017-03-14,17:00:00,26.165,26.165,26.165,26.165,100,0
2017-03-14,18:00:00,26.125,26.125,26.125,26.125,100,0
2017-03-14,19:00:00,26.125,26.155,26.125,26.155,201,0
2017-03-20,15:00:00,26.341,26.341,26.341,26.341,155,0
2017-03-20,16:00:00,26.348,26.348,26.348,26.348,104,0
2017-03-27,22:00:00,26.175,26.175,26.175,26.175,199,0
2017-03-29,21:00:00,26.377,26.377,26.377,26.377,3920,0
2017-03-30,16:00:00,26.375,26.375,26.375,26.375,100,0
2017-03-31,22:00:00,26.365,26.365,26.365,26.365,658,0
2017-04-05,16:00:00,26.464,26.464,26.464,26.464,2906,0
2017-04-05,20:00:00,26.235,26.235,26.235,26.235,100,0
2017-04-05,21:00:00,26.215,26.215,26.205,26.205,2981,0
2017-04-05,22:00:00,25.945,25.955,25.914,25.955,4475,0
2017-04-07,19:00:00,25.949,25.949,25.949,25.949,225,0
2017-04-12,21:00:00,25.865,25.865,25.865,25.865,701,0
2017-04-13,16:00:00,25.965,25.965,25.965,25.965,110,0
2017-04-17,18:00:00,25.825,25.825,25.8,25.8,645,0
2017-04-19,19:00:00,25.994,25.994,25.994,25.994,322,0
2017-04-20,17:00:00,26.065,26.065,26.045,26.045,401,0
2017-04-20,18:00:00,26.135,26.135,26.135,26.135,100,0
2017-04-20,20:00:00,26.175,26.194,26.175,26.194,232,0
2017-04-24,21:00:00,26.424,26.424,26.424,26.424,531,0
2017-04-26,17:00:00,26.714,26.714,26.714,26.714,300,0
2017-04-28,19:00:00,26.454,26.454,26.454,26.454,143,0
2017-05-05,20:00:00,26.594,26.594,26.535,26.535,379,0
2017-05-08,17:00:00,26.624,26.624,26.624,26.624,100,0
2017-05-08,18:00:00,26.584,26.584,26.584,26.584,200,0
2017-05-08,19:00:00,26.574,26.574,26.574,26.574,236,0
2017-05-15,16:00:00,27.583,27.583,27.583,27.583,401,0
2017-05-16,22:00:00,26.438,26.438,26.438,26.438,190,0
2017-05-17,16:00:00,26.265,26.265,26.241,26.241,235,0
2017-05-17,17:00:00,26.185,26.185,26.185,26.185,430,0
2017-05-17,18:00:00,26.155,26.155,26.155,26.155,170,0
2017-05-22,21:00:00,26.484,26.484,26.46,26.46,251,0
2017-05-23,18:00:00,26.544,26.544,26.544,26.544,100,0
2017-05-23,19:00:00,26.502,26.502,26.502,26.502,307,0
2017-05-24,20:00:00,26.504,26.504,26.504,26.504,100,0
2017-05-24,21:00:00,26.494,26.494,26.494,26.494,273,0
2017-05-26,19:00:00,26.654,26.654,26.654,26.654,152,0
2017-05-26,22:00:00,26.575,26.575,26.575,26.575,106,0
2017-06-02,18:00:00,27.054,27.054,27.037,27.037,943,0
2017-06-05,16:00:00,27.153,27.153,27.153,27.153,200,0
2017-06-05,20:00:00,27.059,27.059,27.059,27.059,109,0
2017-06-06,17:00:00,26.994,26.994,26.854,26.854,2612,0
2017-06-09,21:00:00,26.984,26.984,26.984,26.984,591,0
2017-06-12,18:00:00,26.809,26.809,26.809,26.809,170,0
2017-06-13,17:00:00,27.014,27.014,27.014,27.014,941,0
2017-06-16,17:00:00,26.954,26.954,26.914,26.923,2066,0
2017-06-16,18:00:00,26.864,26.864,26.864,26.864,100,0
2017-06-16,19:00:00,26.914,26.914,26.914,26.914,100,0
2017-06-16,20:00:00,26.904,26.904,26.904,26.904,100,0
2017-06-19,19:00:00,27.193,27.193,27.149,27.149,222,0
2017-06-20,18:00:00,27.083,27.084,27.083,27.084,455,0
2017-06-21,22:00:00,26.974,26.974,26.974,26.974,365,0
2017-06-22,17:00:00,26.87,26.87,26.87,26.87,374,0
2017-06-22,19:00:00,27.112,27.112,27.112,27.112,215,0
2017-06-23,16:00:00,27.223,27.223,27.223,27.223,115,0
2017-06-23,21:00:00,27.233,27.233,27.233,27.233,643,0
2017-06-26,16:00:00,27.323,27.323,27.283,27.283,300,0
2017-06-26,17:00:00,27.293,27.293,27.188,27.213,1543,0
2017-06-26,18:00:00,27.203,27.203,27.203,27.203,100,0
2017-06-26,20:00:00,27.263,27.263,27.263,27.263,100,0
2017-06-26,21:00:00,27.263,27.263,27.263,27.263,100,0
2017-06-29,16:00:00,27.272,27.283,27.147,27.147,1433,0
2017-06-29,18:00:00,27.034,27.034,26.896,26.896,425,0
2017-06-29,19:00:00,26.907,26.907,26.907,26.907,140,0
2017-06-29,22:00:00,26.914,26.914,26.914,26.914,205,0
2017-06-30,17:00:00,27.034,27.034,27.034,27.034,100,0
2017-06-30,21:00:00,27.144,27.144,27.144,27.144,115,0
2017-07-03,17:00:00,27.243,27.243,27.243,27.243,100,0
2017-07-03,18:00:00,27.203,27.203,27.203,27.203,100,0
2017-07-03,19:00:00,27.134,27.163,27.134,27.163,1182,0
2017-07-03,20:00:00,27.163,27.163,27.163,27.163,0,0
2017-07-07,16:00:00,27.753,27.753,26.974,26.974,1954,0
2017-07-07,17:00:00,27.034,27.034,27.034,27.034,100,0
2017-07-07,18:00:00,27.024,27.054,27.004,27.054,4454,0
2017-07-11,18:00:00,27.044,27.044,27.044,27.044,181,0
2017-07-13,18:00:00,27.333,27.333,27.319,27.319,3073,0
2017-07-14,21:00:00,27.513,27.513,27.513,27.513,100,0
2017-07-17,17:00:00,27.513,27.513,27.513,27.513,100,0
2017-07-17,20:00:00,27.553,27.553,27.53,27.53,1219,0
2017-07-17,22:00:00,27.473,27.473,27.473,27.473,901,0
2017-07-18,17:00:00,27.443,27.443,27.373,27.393,300,0
2017-07-18,18:00:00,27.393,27.393,27.393,27.393,100,0
2017-07-18,19:00:00,27.393,27.393,27.393,27.393,100,0
2017-07-18,21:00:00,27.383,27.383,27.383,27.383,100,0
2017-07-18,22:00:00,27.403,27.403,27.403,27.403,114,0
2017-07-19,17:00:00,27.583,27.583,27.583,27.583,100,0
2017-07-20,21:00:00,27.603,27.603,27.603,27.603,669,0
2017-07-20,22:00:00,27.573,27.573,27.573,27.573,100,0
2017-07-21,16:00:00,27.643,27.643,27.643,27.643,115,0
2017-07-24,17:00:00,27.563,27.563,27.563,27.563,100,0
2017-07-26,21:00:00,27.483,27.483,27.483,27.483,109,0
2017-07-27,17:00:00,27.523,27.523,27.523,27.523,709,0
2017-07-27,18:00:00,27.533,27.533,27.533,27.533,100,0
2017-07-27,20:00:00,27.264,27.264,27.264,27.264,1302,0
2017-07-27,21:00:00,27.293,27.293,27.293,27.293,100,0
2017-07-28,17:00:00,27.363,27.363,27.363,27.363,630,0
2017-08-07,22:00:00,27.313,27.313,27.259,27.259,516,0
2017-08-10,21:00:00,26.484,26.484,26.484,26.484,320,0
2017-08-11,19:00:00,26.734,26.734,26.724,26.724,244,0
2017-08-14,21:00:00,26.824,26.824,26.824,26.824,100,0
2017-08-15,18:00:00,26.774,26.774,26.684,26.684,423,0
2017-08-15,22:00:00,26.774,26.774,26.774,26.774,100,0
2017-08-16,19:00:00,26.886,26.886,26.886,26.886,476,0
2017-08-18,20:00:00,26.494,26.494,26.494,26.494,118,0
2017-08-22,16:00:00,26.614,26.614,26.614,26.614,115,0
2017-08-23,22:00:00,26.684,26.684,26.642,26.642,770,0
2017-08-24,19:00:00,26.677,26.677,26.677,26.677,147,0
2017-08-28,18:00:00,26.724,26.724,26.7,26.7,295,0
2017-08-29,17:00:00,26.524,26.524,26.524,26.524,159,0
2017-08-29,22:00:00,26.674,26.704,26.674,26.704,300,0
2017-09-01,18:00:00,27.243,27.243,27.243,27.243,675,0
2017-09-05,21:00:00,27.114,27.114,27.084,27.084,566,0
2017-09-05,22:00:00,27.094,27.094,27.093,27.094,587,0
2017-09-06,20:00:00,27.163,27.163,27.148,27.163,1842,0
2017-09-07,17:00:00,27.125,27.134,27.125,27.134,14350,0
2017-09-08,17:00:00,27.173,27.173,27.173,27.173,100,0
2017-09-11,17:00:00,27.473,27.473,27.413,27.413,200,0
2017-09-11,19:00:00,27.463,27.463,27.463,27.463,100,0
2017-09-11,21:00:00,27.463,27.463,27.463,27.463,100,0
2017-09-12,16:00:00,27.503,27.503,27.503,27.503,100,0
2017-09-12,19:00:00,27.543,27.543,27.533,27.533,3805,0
2017-09-12,20:00:00,27.553,27.553,27.553,27.553,100,0
2017-09-12,21:00:00,27.543,27.543,27.533,27.533,1124,0
2017-09-13,17:00:00,27.533,27.533,27.533,27.533,100,0
2017-09-13,18:00:00,27.529,27.529,27.529,27.529,681,0
2017-09-14,17:00:00,27.523,27.523,27.523,27.523,100,0
2017-09-15,17:00:00,27.583,27.583,27.583,27.583,100,0
2017-09-18,16:00:00,27.593,27.593,27.593,27.593,100,0
2017-09-18,17:00:00,27.583,27.593,27.583,27.593,200,0
2017-09-18,18:00:00,27.603,27.603,27.603,27.603,100,0
2017-09-18,19:00:00,27.573,27.573,27.563,27.563,200,0
2017-09-18,20:00:00,27.563,27.563,27.563,27.563,100,0
2017-09-18,21:00:00,27.543,27.543,27.523,27.523,300,0
2017-09-19,17:00:00,27.503,27.503,27.503,27.503,100,0
2017-09-19,22:00:00,27.433,27.433,27.433,27.433,680,0
2017-09-20,17:00:00,27.473,27.473,27.473,27.473,100,0
2017-09-20,22:00:00,27.463,27.463,27.463,27.463,200,0
2017-09-21,16:00:00,27.663,27.663,27.663,27.663,115,0
2017-09-21,19:00:00,27.383,27.383,27.383,27.383,103,0
2017-09-22,17:00:00,27.443,27.443,27.443,27.443,100,0
2017-09-25,16:00:00,27.763,27.763,27.467,27.467,218,0
2017-09-25,17:00:00,27.443,27.443,27.443,27.443,300,0
2017-09-25,21:00:00,27.403,27.403,27.403,27.403,100,0
2017-09-26,17:00:00,27.463,27.463,27.463,27.463,100,0
2017-09-27,16:00:00,27.823,27.823,27.823,27.823,109,0
2017-09-27,22:00:00,27.628,27.633,27.628,27.633,389,0
2017-09-28,17:00:00,27.523,27.536,27.523,27.536,245,0
2017-09-29,17:00:00,27.673,27.673,27.673,27.673,100,0
