Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,10.016,10.036,10.006,10.024,19440,0
2017-09-05,17:00:00,10.036,10.086,10.016,10.085,127378,0
2017-09-05,18:00:00,10.086,10.086,10.056,10.06,32802,0
2017-09-05,19:00:00,10.056,10.066,10.051,10.051,22619,0
2017-09-05,20:00:00,10.056,10.096,10.051,10.096,54542,0
2017-09-05,21:00:00,10.076,10.096,10.076,10.076,20223,0
2017-09-05,22:00:00,10.086,10.096,10.056,10.056,37832,0
2017-09-06,16:00:00,10.046,10.116,10.046,10.09,24061,0
2017-09-06,17:00:00,10.096,10.106,10.086,10.102,30036,0
2017-09-06,18:00:00,10.096,10.116,10.086,10.096,17543,0
2017-09-06,19:00:00,10.096,10.116,10.086,10.116,33526,0
2017-09-06,20:00:00,10.116,10.116,10.106,10.107,9953,0
2017-09-06,21:00:00,10.115,10.126,10.11,10.116,43883,0
2017-09-06,22:00:00,10.12,10.136,10.116,10.136,43305,0
2017-09-07,16:00:00,10.146,10.146,10.116,10.127,10532,0
2017-09-07,17:00:00,10.116,10.156,10.116,10.156,30179,0
2017-09-07,18:00:00,10.156,10.156,10.116,10.138,35207,0
2017-09-07,19:00:00,10.132,10.165,10.132,10.146,43713,0
2017-09-07,20:00:00,10.146,10.155,10.126,10.138,12394,0
2017-09-07,21:00:00,10.126,10.138,10.106,10.106,24235,0
2017-09-07,22:00:00,10.106,10.126,10.096,10.116,21367,0
2017-09-08,16:00:00,10.106,10.146,10.106,10.116,41303,0
2017-09-08,17:00:00,10.136,10.146,10.106,10.112,110675,0
2017-09-08,18:00:00,10.116,10.12,10.098,10.114,35841,0
2017-09-08,19:00:00,10.096,10.116,10.056,10.066,123238,0
2017-09-08,20:00:00,10.066,10.086,10.038,10.066,96812,0
2017-09-08,21:00:00,10.061,10.076,10.056,10.061,34470,0
2017-09-08,22:00:00,10.066,10.066,10.056,10.056,44137,0
2017-09-11,16:00:00,10.086,10.096,10.065,10.083,19542,0
2017-09-11,17:00:00,10.096,10.106,10.076,10.106,11648,0
2017-09-11,18:00:00,10.096,10.106,10.093,10.106,39720,0
2017-09-11,19:00:00,10.099,10.106,10.036,10.049,58086,0
2017-09-11,20:00:00,10.056,10.076,10.048,10.076,10174,0
2017-09-11,21:00:00,10.076,10.076,10.056,10.066,18181,0
2017-09-11,22:00:00,10.066,10.066,10.036,10.066,48443,0
2017-09-12,16:00:00,10.046,10.086,10.046,10.086,8665,0
2017-09-12,17:00:00,10.086,10.096,10.076,10.096,10468,0
2017-09-12,18:00:00,10.085,10.096,10.078,10.096,13663,0
2017-09-12,19:00:00,10.096,10.115,10.087,10.106,22350,0
2017-09-12,20:00:00,10.106,10.106,10.096,10.097,30547,0
2017-09-12,21:00:00,10.097,10.106,10.056,10.056,33799,0
2017-09-12,22:00:00,10.056,10.066,10.036,10.066,41724,0
2017-09-13,16:00:00,10.056,10.106,10.056,10.106,14597,0
2017-09-13,17:00:00,10.106,10.106,10.07,10.098,48106,0
2017-09-13,18:00:00,10.104,10.106,10.086,10.086,4755,0
2017-09-13,19:00:00,10.086,10.086,10.076,10.076,16947,0
2017-09-13,20:00:00,10.083,10.086,10.076,10.076,11003,0
2017-09-13,21:00:00,10.082,10.086,10.076,10.086,6771,0
2017-09-13,22:00:00,10.081,10.116,10.066,10.066,71786,0
2017-09-14,16:00:00,10.116,10.126,10.096,10.106,68235,0
2017-09-14,17:00:00,10.096,10.126,10.087,10.107,74189,0
2017-09-14,18:00:00,10.116,10.136,10.106,10.125,55254,0
2017-09-14,19:00:00,10.126,10.136,10.116,10.136,47745,0
2017-09-14,20:00:00,10.146,10.165,10.136,10.156,63864,0
2017-09-14,21:00:00,10.156,10.165,10.146,10.156,30366,0
2017-09-14,22:00:00,10.156,10.165,10.136,10.165,64189,0
2017-09-15,16:00:00,10.165,10.251,10.136,10.156,74729,0
2017-09-15,17:00:00,10.156,10.171,10.146,10.163,111859,0
2017-09-15,18:00:00,10.161,10.175,10.146,10.167,38403,0
2017-09-15,19:00:00,10.17,10.175,10.146,10.163,39205,0
2017-09-15,20:00:00,10.157,10.165,10.116,10.116,66413,0
2017-09-15,21:00:00,10.116,10.116,10.076,10.086,135823,0
2017-09-15,22:00:00,10.086,10.106,10.076,10.086,48773,0
2017-09-18,16:00:00,10.076,10.091,10.056,10.076,47541,0
2017-09-18,17:00:00,10.068,10.116,10.068,10.116,28653,0
2017-09-18,18:00:00,10.116,10.126,10.106,10.11,44758,0
2017-09-18,19:00:00,10.116,10.116,10.106,10.109,19756,0
2017-09-18,20:00:00,10.106,10.116,10.076,10.101,47130,0
2017-09-18,21:00:00,10.099,10.116,10.086,10.091,25041,0
2017-09-18,22:00:00,10.09,10.116,10.09,10.116,19624,0
2017-09-19,16:00:00,10.146,10.155,10.126,10.136,23341,0
2017-09-19,17:00:00,10.129,10.135,10.116,10.117,21646,0
2017-09-19,18:00:00,10.126,10.156,10.116,10.156,22816,0
2017-09-19,19:00:00,10.151,10.16,10.146,10.16,21292,0
2017-09-19,20:00:00,10.165,10.165,10.146,10.146,5030,0
2017-09-19,21:00:00,10.151,10.156,10.116,10.116,24611,0
2017-09-19,22:00:00,10.116,10.146,10.096,10.146,73325,0
2017-09-20,16:00:00,10.116,10.136,10.116,10.136,7138,0
2017-09-20,17:00:00,10.136,10.136,10.116,10.136,21944,0
2017-09-20,18:00:00,10.118,10.136,10.116,10.116,15148,0
2017-09-20,19:00:00,10.116,10.116,10.096,10.106,22408,0
2017-09-20,20:00:00,10.096,10.106,10.096,10.096,12974,0
2017-09-20,21:00:00,10.096,10.096,10.056,10.065,60577,0
2017-09-20,22:00:00,10.056,10.066,10.046,10.046,63357,0
2017-09-21,16:00:00,10.106,10.106,10.076,10.076,16360,0
2017-09-21,17:00:00,10.07,10.076,10.046,10.055,30776,0
2017-09-21,18:00:00,10.048,10.056,10.016,10.016,28039,0
2017-09-21,19:00:00,10.016,10.03,9.997,10.006,30864,0
2017-09-21,20:00:00,10.013,10.016,9.977,9.977,28688,0
2017-09-21,21:00:00,9.987,10.026,9.967,10.016,35526,0
2017-09-21,22:00:00,10.016,10.046,10.006,10.046,41336,0
2017-09-22,16:00:00,10.076,10.076,10.017,10.066,15215,0
2017-09-22,17:00:00,10.056,10.076,10.046,10.056,35908,0
2017-09-22,18:00:00,10.046,10.056,10.026,10.049,30402,0
2017-09-22,19:00:00,10.056,10.066,10.046,10.056,29441,0
2017-09-22,20:00:00,10.051,10.072,10.047,10.058,41618,0
2017-09-22,21:00:00,10.062,10.086,10.056,10.086,17310,0
2017-09-22,22:00:00,10.085,10.096,10.056,10.056,16785,0
2017-09-25,16:00:00,10.076,10.096,10.074,10.074,11753,0
2017-09-25,17:00:00,10.076,10.126,10.076,10.126,46537,0
2017-09-25,18:00:00,10.116,10.122,10.096,10.097,30398,0
2017-09-25,19:00:00,10.101,10.106,10.071,10.071,25732,0
2017-09-25,20:00:00,10.073,10.076,10.058,10.066,12977,0
2017-09-25,21:00:00,10.076,10.076,10.049,10.065,27710,0
2017-09-25,22:00:00,10.066,10.116,10.066,10.116,68108,0
2017-09-26,16:00:00,10.136,10.136,10.106,10.114,16653,0
2017-09-26,17:00:00,10.116,10.116,10.076,10.088,20640,0
2017-09-26,18:00:00,10.086,10.104,10.076,10.076,11688,0
2017-09-26,19:00:00,10.096,10.111,10.096,10.096,20529,0
2017-09-26,20:00:00,10.086,10.122,10.076,10.122,32754,0
2017-09-26,21:00:00,10.121,10.136,10.106,10.121,33456,0
2017-09-26,22:00:00,10.121,10.165,10.106,10.126,80697,0
2017-09-27,16:00:00,10.086,10.096,10.046,10.054,54314,0
2017-09-27,17:00:00,10.056,10.056,10.006,10.006,30764,0
2017-09-27,18:00:00,10.016,10.026,10.006,10.019,43630,0
2017-09-27,19:00:00,10.021,10.056,10.016,10.016,26587,0
2017-09-27,20:00:00,10.026,10.066,10.026,10.047,34077,0
2017-09-27,21:00:00,10.047,10.047,10.016,10.016,51076,0
2017-09-27,22:00:00,10.016,10.036,10.006,10.036,37427,0
2017-09-28,16:00:00,10.016,10.026,9.997,10.006,50525,0
2017-09-28,17:00:00,10.01,10.016,9.997,10.002,14282,0
2017-09-28,18:00:00,9.997,10.006,9.977,9.987,18709,0
2017-09-28,19:00:00,9.987,10.016,9.977,10.007,27590,0
2017-09-28,20:00:00,10.016,10.026,10.006,10.016,32292,0
2017-09-28,21:00:00,10.026,10.026,9.997,10.016,51862,0
2017-09-28,22:00:00,10.015,10.036,10.006,10.016,43157,0
2017-09-29,16:00:00,10.016,10.04,10.008,10.008,42804,0
2017-09-29,17:00:00,10.006,10.026,10.006,10.023,13168,0
2017-09-29,18:00:00,10.025,10.046,10.016,10.016,13848,0
2017-09-29,19:00:00,10.026,10.036,10.026,10.036,16464,0
2017-09-29,20:00:00,10.036,10.046,10.026,10.036,14692,0
2017-09-29,21:00:00,10.041,10.046,10.016,10.036,34873,0
2017-09-29,22:00:00,10.036,10.046,10.036,10.036,28439,0
2017-10-02,16:00:00,10.036,10.066,10.033,10.052,24106,0
2017-10-02,17:00:00,10.056,10.066,10.036,10.056,33879,0
2017-10-02,18:00:00,10.056,10.056,10.026,10.036,19945,0
2017-10-02,19:00:00,10.036,10.046,10.026,10.038,17174,0
2017-10-02,20:00:00,10.038,10.039,10.026,10.036,45962,0
2017-10-02,21:00:00,10.026,10.046,10.026,10.045,12803,0
2017-10-02,22:00:00,10.036,10.056,10.026,10.046,40555,0
2017-10-03,16:00:00,10.076,10.076,10.026,10.045,27024,0
2017-10-03,17:00:00,10.051,10.059,10.026,10.026,38718,0
2017-10-03,18:00:00,10.046,10.066,10.026,10.066,33103,0
2017-10-03,19:00:00,10.046,10.076,10.046,10.075,13534,0
2017-10-03,20:00:00,10.066,10.076,10.046,10.066,25614,0
2017-10-03,21:00:00,10.066,10.076,10.036,10.042,25940,0
2017-10-03,22:00:00,10.056,10.076,10.056,10.076,40733,0
2017-10-04,16:00:00,10.046,10.071,10.046,10.049,20267,0
2017-10-04,17:00:00,10.051,10.056,10.036,10.036,26576,0
2017-10-04,18:00:00,10.036,10.046,10.026,10.045,27677,0
2017-10-04,19:00:00,10.039,10.056,10.039,10.044,20284,0
2017-10-04,20:00:00,10.051,10.066,10.048,10.061,15710,0
2017-10-04,21:00:00,10.056,10.066,10.046,10.052,21742,0
2017-10-04,22:00:00,10.046,10.066,10.036,10.036,28407,0
