Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,44.183,44.183,43.795,43.843,14604,0
2017-09-05,17:00:00,43.843,44.329,43.747,43.843,20177,0
2017-09-05,18:00:00,43.843,43.989,43.698,43.795,24001,0
2017-09-05,19:00:00,43.795,43.795,43.48,43.548,20372,0
2017-09-05,20:00:00,43.505,43.65,43.505,43.553,13495,0
2017-09-05,21:00:00,43.553,43.795,43.553,43.698,9857,0
2017-09-05,22:00:00,43.606,43.747,43.455,43.601,32690,0
2017-09-06,16:00:00,43.505,43.748,43.505,43.65,12422,0
2017-09-06,17:00:00,43.698,43.698,43.553,43.553,17445,0
2017-09-06,18:00:00,43.553,43.65,43.534,43.577,31940,0
2017-09-06,19:00:00,43.601,43.65,43.553,43.65,46253,0
2017-09-06,20:00:00,43.65,43.698,43.558,43.625,24261,0
2017-09-06,21:00:00,43.65,43.747,43.625,43.698,16365,0
2017-09-06,22:00:00,43.706,43.747,43.65,43.65,49983,0
2017-09-07,16:00:00,43.553,43.698,43.553,43.625,8097,0
2017-09-07,17:00:00,43.601,43.698,43.533,43.673,12593,0
2017-09-07,18:00:00,43.698,43.698,43.553,43.601,8410,0
2017-09-07,19:00:00,43.553,43.698,43.553,43.65,37970,0
2017-09-07,20:00:00,43.682,43.763,43.601,43.65,30026,0
2017-09-07,21:00:00,43.688,43.717,43.601,43.65,33882,0
2017-09-07,22:00:00,43.65,43.698,43.606,43.65,80561,0
2017-09-08,16:00:00,43.65,43.795,43.65,43.65,6368,0
2017-09-08,17:00:00,43.723,43.723,43.577,43.636,8635,0
2017-09-08,18:00:00,43.698,43.742,43.601,43.673,10838,0
2017-09-08,19:00:00,43.601,43.698,43.601,43.673,4098,0
2017-09-08,20:00:00,43.667,43.698,43.65,43.65,5610,0
2017-09-08,21:00:00,43.673,43.698,43.601,43.67,15640,0
2017-09-08,22:00:00,43.65,43.689,43.505,43.505,26541,0
2017-09-11,16:00:00,43.65,43.893,43.581,43.843,11939,0
2017-09-11,17:00:00,43.859,44.038,43.795,43.934,19906,0
2017-09-11,18:00:00,43.941,44.038,43.843,43.941,60746,0
2017-09-11,19:00:00,43.843,44.038,43.843,43.984,22612,0
2017-09-11,20:00:00,43.989,44.086,43.843,43.893,84524,0
2017-09-11,21:00:00,43.893,44.002,43.893,43.941,14916,0
2017-09-11,22:00:00,43.941,43.989,43.843,43.893,65421,0
2017-09-12,16:00:00,43.941,44.086,43.843,44.038,70679,0
2017-09-12,17:00:00,43.989,43.989,43.843,43.893,41380,0
2017-09-12,18:00:00,43.929,43.989,43.893,43.893,11540,0
2017-09-12,19:00:00,43.941,43.965,43.893,43.941,11266,0
2017-09-12,20:00:00,43.941,43.989,43.897,43.941,8957,0
2017-09-12,21:00:00,43.962,44.038,43.893,43.893,38835,0
2017-09-12,22:00:00,43.941,43.989,43.747,43.795,56227,0
2017-09-13,16:00:00,43.893,43.893,43.65,43.689,23746,0
2017-09-13,17:00:00,43.65,43.904,43.65,43.893,113316,0
2017-09-13,18:00:00,43.941,43.941,43.843,43.904,28979,0
2017-09-13,19:00:00,43.904,43.941,43.795,43.795,13096,0
2017-09-13,20:00:00,43.838,43.843,43.698,43.843,7236,0
2017-09-13,21:00:00,43.834,43.893,43.795,43.795,5559,0
2017-09-13,22:00:00,43.843,43.893,43.747,43.747,39634,0
2017-09-14,16:00:00,43.747,43.883,43.747,43.883,4804,0
2017-09-14,17:00:00,43.825,43.989,43.795,43.834,14181,0
2017-09-14,18:00:00,43.815,43.893,43.795,43.843,17472,0
2017-09-14,19:00:00,43.843,43.893,43.795,43.795,10073,0
2017-09-14,20:00:00,43.893,43.893,43.795,43.843,6136,0
2017-09-14,21:00:00,43.843,43.893,43.795,43.843,22783,0
2017-09-14,22:00:00,43.843,43.989,43.795,43.843,51505,0
2017-09-15,16:00:00,43.795,43.893,43.698,43.843,6386,0
