Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,4.0068,4.0068,3.9882,3.9915,4914,0
2017-09-05,17:00:00,3.9975,3.9975,3.9133,3.9133,25492,0
2017-09-05,18:00:00,3.9168,3.9355,3.9133,3.9227,6789,0
2017-09-05,19:00:00,3.9321,3.9321,3.8852,3.8852,8758,0
2017-09-05,20:00:00,3.8852,3.8945,3.8852,3.8898,21516,0
2017-09-05,21:00:00,3.8936,3.9067,3.8852,3.8945,7556,0
2017-09-05,22:00:00,3.8945,3.9321,3.8852,3.9227,28428,0
2017-09-06,16:00:00,3.96,3.96,3.9321,3.96,14936,0
2017-09-06,17:00:00,3.9694,4.0256,3.96,3.96,14690,0
2017-09-06,18:00:00,3.96,3.9694,3.8992,3.9039,37807,0
2017-09-06,19:00:00,3.8852,3.8945,3.8852,3.8944,4443,0
2017-09-06,20:00:00,3.8945,3.8945,3.8852,3.8921,5796,0
2017-09-06,21:00:00,3.8945,3.8945,3.8852,3.8898,14966,0
2017-09-06,22:00:00,3.8945,3.9039,3.8852,3.8945,21333,0
2017-09-07,16:00:00,3.9039,3.9694,3.9039,3.9259,12976,0
2017-09-07,17:00:00,3.9133,3.9787,3.9086,3.9272,19387,0
2017-09-07,18:00:00,3.9272,3.9694,3.9167,3.9591,21997,0
2017-09-07,19:00:00,3.9466,3.9507,3.9039,3.9133,7642,0
2017-09-07,20:00:00,3.9133,3.9405,3.8945,3.9405,16983,0
2017-09-07,21:00:00,3.9309,3.9507,3.9227,3.9414,9170,0
2017-09-07,22:00:00,3.9507,3.9694,3.9227,3.96,26046,0
2017-09-08,16:00:00,4.0068,4.0502,3.968,3.9998,38148,0
2017-09-08,17:00:00,3.9996,4.0025,3.961,3.9787,18135,0
2017-09-08,18:00:00,3.9694,3.9694,3.96,3.9694,6398,0
2017-09-08,19:00:00,3.9694,3.9694,3.9507,3.9507,9127,0
2017-09-08,20:00:00,3.9414,3.9507,3.9321,3.9321,7323,0
2017-09-08,21:00:00,3.9366,3.9507,3.9039,3.9127,7342,0
2017-09-08,22:00:00,3.913,3.9414,3.9039,3.9227,22690,0
2017-09-11,16:00:00,3.9787,3.9989,3.9227,3.96,9528,0
2017-09-11,17:00:00,3.96,3.9694,3.96,3.9694,14719,0
2017-09-11,18:00:00,3.9693,3.9694,3.96,3.9649,10984,0
2017-09-11,19:00:00,3.9694,3.9694,3.96,3.9694,9505,0
2017-09-11,20:00:00,3.9689,3.9694,3.9321,3.96,18069,0
2017-09-11,21:00:00,3.96,3.9882,3.9507,3.9787,26418,0
2017-09-11,22:00:00,3.9694,3.9694,3.96,3.96,9475,0
2017-09-12,16:00:00,3.9694,4.0508,3.9414,3.9787,42492,0
2017-09-12,17:00:00,3.9946,4.0912,3.9694,4.0631,35278,0
2017-09-12,18:00:00,4.035,4.0819,4.035,4.035,36907,0
2017-09-12,19:00:00,4.0443,4.0631,4.0443,4.0631,23640,0
2017-09-12,20:00:00,4.0606,4.0606,4.0443,4.0443,2936,0
2017-09-12,21:00:00,4.0443,4.0536,4.035,4.035,15833,0
2017-09-12,22:00:00,4.035,4.0443,4.0256,4.0256,11952,0
2017-09-13,16:00:00,4.0631,4.0631,4.035,4.035,14431,0
2017-09-13,17:00:00,4.035,4.0455,4.0068,4.0068,20407,0
2017-09-13,18:00:00,4.0162,4.0631,4.0068,4.0536,9411,0
2017-09-13,19:00:00,4.0724,4.0725,4.0443,4.0443,9259,0
2017-09-13,20:00:00,4.035,4.0443,4.0256,4.0256,12688,0
2017-09-13,21:00:00,4.0257,4.0443,4.0256,4.0443,22754,0
2017-09-13,22:00:00,4.0443,4.0536,4.035,4.035,58311,0
2017-09-14,16:00:00,4.0633,4.0633,3.9975,4.0287,8882,0
2017-09-14,17:00:00,4.035,4.035,4.0255,4.035,8148,0
2017-09-14,18:00:00,4.0291,4.0291,3.9781,4.0035,22349,0
2017-09-14,19:00:00,4.0034,4.0255,3.997,4.0019,5446,0
2017-09-14,20:00:00,3.9984,4.016,3.9984,4.0073,9470,0
2017-09-14,21:00:00,3.998,4.0065,3.997,4.0065,6613,0
2017-09-14,22:00:00,4.0127,4.016,3.997,3.997,28158,0
2017-09-15,16:00:00,3.997,3.997,3.9781,3.9861,4882,0
2017-09-15,17:00:00,3.9876,3.9876,3.9781,3.9781,10406,0
2017-09-15,18:00:00,3.9781,3.9869,3.9592,3.9686,8323,0
2017-09-15,19:00:00,3.963,3.9686,3.9592,3.964,14941,0
2017-09-15,20:00:00,3.9607,3.9686,3.955,3.9686,3810,0
2017-09-15,21:00:00,3.9592,3.9686,3.9592,3.9686,4114,0
2017-09-15,22:00:00,3.9592,3.9876,3.9592,3.9876,62653,0
2017-09-18,16:00:00,3.9497,4.0625,3.9497,4.0552,27571,0
2017-09-18,17:00:00,4.0584,4.0729,4.035,4.0595,40121,0
2017-09-18,18:00:00,4.0538,4.1202,4.0538,4.1012,23875,0
2017-09-18,19:00:00,4.0824,4.1202,4.0824,4.1012,23378,0
2017-09-18,20:00:00,4.1012,4.1107,4.0824,4.1107,32281,0
2017-09-18,21:00:00,4.1107,4.1177,4.0633,4.0633,25476,0
2017-09-18,22:00:00,4.0729,4.0932,4.0444,4.0538,30346,0
2017-09-19,16:00:00,4.0919,4.0919,4.0633,4.0633,4018,0
2017-09-19,17:00:00,4.0634,4.0729,4.0633,4.0729,31303,0
2017-09-19,18:00:00,4.0681,4.0729,4.0633,4.0633,3394,0
2017-09-19,19:00:00,4.0587,4.0824,4.0587,4.069,4540,0
2017-09-19,20:00:00,4.0633,4.0729,4.0538,4.0633,7247,0
2017-09-19,21:00:00,4.0729,4.0729,4.0633,4.0633,3643,0
2017-09-19,22:00:00,4.0633,4.0633,4.035,4.035,20365,0
2017-09-20,16:00:00,4.0538,4.0729,4.0444,4.0697,10746,0
2017-09-20,17:00:00,4.0643,4.0729,4.035,4.0492,14260,0
2017-09-20,18:00:00,4.0516,4.0516,4.035,4.0407,18239,0
2017-09-20,19:00:00,4.0397,4.0443,4.0255,4.035,8268,0
2017-09-20,20:00:00,4.035,4.0405,4.035,4.0397,4341,0
2017-09-20,21:00:00,4.035,4.035,4.016,4.035,32075,0
2017-09-20,22:00:00,4.0255,4.0528,4.0065,4.016,32638,0
2017-09-21,16:00:00,4.0065,4.0274,3.997,4.0207,7442,0
2017-09-21,17:00:00,4.035,4.035,4.0065,4.016,9707,0
2017-09-21,18:00:00,4.016,4.0633,4.016,4.0444,21570,0
2017-09-21,19:00:00,4.0444,4.0444,4.0065,4.0065,3568,0
2017-09-21,20:00:00,4.0255,4.0255,4.016,4.016,1193,0
2017-09-21,21:00:00,4.0207,4.0255,3.9497,3.9592,50517,0
2017-09-21,22:00:00,3.9592,4.0064,3.9592,3.9876,9756,0
2017-09-22,16:00:00,3.9781,4.0065,3.9781,3.9971,2480,0
2017-09-22,17:00:00,4.0063,4.0065,3.9876,3.9924,19930,0
2017-09-22,18:00:00,3.9924,3.9924,3.9686,3.9734,19090,0
2017-09-22,19:00:00,3.9686,3.9829,3.9686,3.9781,6781,0
2017-09-22,20:00:00,3.9781,4.1392,3.9781,4.0672,30144,0
2017-09-22,21:00:00,4.0444,4.0484,4.0335,4.0409,3590,0
2017-09-22,22:00:00,4.035,4.0537,4.035,4.0444,10229,0
2017-09-25,16:00:00,4.0444,4.0633,3.997,4.0382,32047,0
2017-09-25,17:00:00,4.035,4.1012,4.035,4.1012,12813,0
2017-09-25,18:00:00,4.088,4.1012,4.088,4.1012,16088,0
2017-09-25,19:00:00,4.098,4.1012,4.0633,4.0633,20024,0
2017-09-25,20:00:00,4.0729,4.1012,4.0729,4.0919,896,0
2017-09-25,21:00:00,4.0747,4.1107,4.0747,4.0824,4607,0
2017-09-25,22:00:00,4.0824,4.1392,4.0824,4.1392,22343,0
2017-09-26,16:00:00,4.1392,4.2519,4.1298,4.2519,19069,0
2017-09-26,17:00:00,4.2243,4.2338,4.1591,4.1782,11944,0
2017-09-26,18:00:00,4.1866,4.1866,4.1676,4.1771,9908,0
2017-09-26,19:00:00,4.1771,4.1771,4.1581,4.1581,11972,0
2017-09-26,20:00:00,4.1581,4.1676,4.1486,4.1666,10524,0
2017-09-26,21:00:00,4.1581,4.1676,4.1581,4.1666,3538,0
2017-09-26,22:00:00,4.1666,4.1676,4.1581,4.1581,9612,0
2017-09-27,16:00:00,4.1297,4.1307,4.035,4.0729,41596,0
2017-09-27,17:00:00,4.0729,4.1107,4.0633,4.0919,31839,0
2017-09-27,18:00:00,4.0824,4.1015,4.0824,4.1015,2507,0
2017-09-27,19:00:00,4.0919,4.1581,4.0919,4.1486,7530,0
2017-09-27,20:00:00,4.1486,4.1581,4.1486,4.1486,1164,0
