Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,22.2,22.675,22.2,22.4,43470,0
2017-09-05,17:00:00,22.4,22.55,22.35,22.425,62072,0
2017-09-05,18:00:00,22.4,22.55,22.4,22.475,55200,0
2017-09-05,19:00:00,22.45,22.55,22.3,22.4,47008,0
2017-09-05,20:00:00,22.35,22.4,22.225,22.4,40622,0
2017-09-05,21:00:00,22.4,22.525,22.325,22.425,73007,0
2017-09-05,22:00:00,22.4,22.525,22.325,22.35,177930,0
2017-09-06,16:00:00,22.55,22.85,22.55,22.8,16080,0
2017-09-06,17:00:00,22.85,23.05,22.7285,23,54750,0
2017-09-06,18:00:00,23,23.05,22.8,22.85,54421,0
2017-09-06,19:00:00,22.85,22.875,22.725,22.75,55159,0
2017-09-06,20:00:00,22.725,22.975,22.725,22.775,82259,0
2017-09-06,21:00:00,22.75,22.825,22.65,22.75,39747,0
2017-09-06,22:00:00,22.75,22.775,22.6,22.6,165473,0
2017-09-07,16:00:00,22.6,22.85,22.55,22.55,26518,0
2017-09-07,17:00:00,22.55,22.575,22.325,22.475,90007,0
2017-09-07,18:00:00,22.45,22.6,22.425,22.55,79330,0
2017-09-07,19:00:00,22.55,22.85,22.525,22.85,34400,0
2017-09-07,20:00:00,22.825,22.875,22.65,22.725,58855,0
2017-09-07,21:00:00,22.75,22.8,22.7,22.775,56485,0
2017-09-07,22:00:00,22.775,22.85,22.65,22.7,128358,0
2017-09-08,16:00:00,22.65,22.725,22.55,22.6,12782,0
2017-09-08,17:00:00,22.6,22.7,22.375,22.45,95491,0
2017-09-08,18:00:00,22.45,22.65,22.425,22.475,36917,0
2017-09-08,19:00:00,22.5,22.5,22.3,22.325,37546,0
2017-09-08,20:00:00,22.3,22.35,22.125,22.15,40877,0
2017-09-08,21:00:00,22.2,22.45,22.175,22.425,60449,0
2017-09-08,22:00:00,22.425,22.5,22.35,22.45,210268,0
2017-09-11,16:00:00,22.5,22.75,22.3,22.375,21467,0
2017-09-11,17:00:00,22.35,22.85,22.35,22.825,74291,0
2017-09-11,18:00:00,22.85,22.875,22.65,22.825,52040,0
2017-09-11,19:00:00,22.85,23.125,22.85,23.1,82276,0
2017-09-11,20:00:00,23.1,23.375,23.1,23.35,115786,0
2017-09-11,21:00:00,23.35,23.5,23.3,23.35,125685,0
2017-09-11,22:00:00,23.375,23.5,23.375,23.4,275842,0
2017-09-12,16:00:00,23.45,23.6,23.4,23.45,22805,0
2017-09-12,17:00:00,23.45,23.825,23.45,23.8,127782,0
2017-09-12,18:00:00,23.8,24,23.75,23.9,246966,0
2017-09-12,19:00:00,23.95,24.05,23.85,23.975,138519,0
2017-09-12,20:00:00,23.975,24,23.8,23.925,79006,0
2017-09-12,21:00:00,23.95,24.15,23.925,24,113421,0
2017-09-12,22:00:00,24,24.1,23.95,24.05,350350,0
2017-09-13,16:00:00,24.1,24.55,23.95,24.55,71972,0
2017-09-13,17:00:00,24.6,24.7,24.2,24.475,150682,0
2017-09-13,18:00:00,24.5,24.85,24.45,24.75,172796,0
2017-09-13,19:00:00,24.75,24.75,24.6,24.7,95280,0
2017-09-13,20:00:00,24.7,24.75,24.6,24.7,77280,0
2017-09-13,21:00:00,24.65,24.75,24.55,24.725,119770,0
2017-09-13,22:00:00,24.75,24.75,24.5,24.6,272397,0
2017-09-14,16:00:00,24.8,25.2,24.65,25.2,46813,0
