Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-05,20:00:00,9.65,9.65,9.65,9.65,5914,0
2018-03-05,21:00:00,9.65,9.65,9.65,9.65,1986,0
2018-03-05,22:00:00,9.6,9.6,9.55,9.55,300299,0
2018-03-06,19:00:00,9.55,9.55,9.55,9.55,60000,0
2018-03-06,20:00:00,9.55,9.55,9.55,9.55,200000,0
2018-03-07,19:00:00,9.59,9.59,9.59,9.59,14430,0
2018-03-07,20:00:00,9.59,9.59,9.59,9.59,5000,0
2018-03-07,22:00:00,9.55,9.55,9.55,9.55,200,0
2018-03-08,17:00:00,9.59,9.6,9.59,9.6,5000,0
2018-03-08,18:00:00,9.59,9.59,9.59,9.59,100,0
2018-03-08,21:00:00,9.56,9.56,9.55,9.55,100200,0
2018-03-08,22:00:00,9.55,9.55,9.55,9.55,100900,0
2018-03-13,17:00:00,9.5699,9.57,9.5699,9.57,6000,0
2018-03-15,19:00:00,9.56,9.56,9.56,9.56,28100,0
2018-03-15,21:00:00,9.59,9.6,9.59,9.6,5000,0
2018-03-19,17:00:00,9.5699,9.57,9.5699,9.57,2000,0
2018-03-19,21:00:00,9.5799,9.59,9.5799,9.59,1205,0
2018-03-20,21:00:00,9.59,9.5901,9.59,9.5901,1230,0
2018-03-21,19:00:00,9.5799,9.58,9.57,9.57,3481,0
2018-03-22,16:00:00,9.57,9.57,9.57,9.57,7200,0
2018-03-22,21:00:00,9.56,9.57,9.56,9.57,1200,0
2018-03-23,16:00:00,9.58,9.58,9.58,9.58,100,0
2018-03-23,18:00:00,9.58,9.58,9.58,9.58,100,0
2018-03-23,19:00:00,9.58,9.58,9.58,9.58,100,0
2018-03-23,21:00:00,9.58,9.58,9.58,9.58,2200,0
2018-03-26,19:00:00,9.58,9.6,9.58,9.6,3300,0
2018-03-26,21:00:00,9.6,9.6,9.6,9.6,1700,0
2018-03-27,19:00:00,9.58,9.59,9.58,9.58,2700,0
2018-03-27,21:00:00,9.59,9.6,9.59,9.6,11200,0
2018-03-29,16:00:00,9.61,9.61,9.61,9.61,1000,0
2018-03-29,19:00:00,9.6299,9.65,9.6199,9.65,2850,0
2018-03-29,20:00:00,9.65,9.65,9.65,9.65,500,0
2018-03-29,21:00:00,9.65,9.65,9.6,9.6,5075,0
2018-03-29,22:00:00,9.6,9.6,9.55,9.55,4857,0
