Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,32.645,32.791,32.486,32.742,31392,0
2017-09-05,17:00:00,32.761,32.761,32.307,32.325,40702,0
2017-09-05,18:00:00,32.325,32.345,32.161,32.19,25030,0
2017-09-05,19:00:00,32.171,32.181,31.948,32.103,36967,0
2017-09-05,20:00:00,32.084,32.084,31.948,31.977,39282,0
2017-09-05,21:00:00,31.977,32.064,31.938,31.958,51623,0
2017-09-05,22:00:00,31.968,32.064,31.929,31.997,276727,0
2017-09-06,16:00:00,32.045,32.302,32.045,32.21,10649,0
2017-09-06,17:00:00,32.22,32.587,32.181,32.394,46461,0
2017-09-06,18:00:00,32.374,32.404,32.2,32.238,50832,0
2017-09-06,19:00:00,32.238,32.317,32.2,32.268,29175,0
2017-09-06,20:00:00,32.268,32.404,32.268,32.317,33678,0
2017-09-06,21:00:00,32.325,32.345,32.229,32.297,35399,0
2017-09-06,22:00:00,32.277,32.655,32.21,32.471,237456,0
2017-09-07,16:00:00,32.51,32.684,32.317,32.355,33748,0
2017-09-07,17:00:00,32.365,32.636,32.335,32.529,68710,0
2017-09-07,18:00:00,32.529,32.578,32.399,32.539,23167,0
2017-09-07,19:00:00,32.529,32.655,32.491,32.636,24577,0
2017-09-07,20:00:00,32.597,32.636,32.442,32.49,19375,0
2017-09-07,21:00:00,32.471,32.655,32.452,32.607,23277,0
2017-09-07,22:00:00,32.597,32.645,32.394,32.452,103311,0
2017-09-08,16:00:00,32.365,32.714,32.325,32.714,24096,0
2017-09-08,17:00:00,32.733,33.159,32.733,33.129,65130,0
2017-09-08,18:00:00,33.149,33.381,33.149,33.278,72082,0
2017-09-08,19:00:00,33.276,33.478,33.246,33.44,48837,0
2017-09-08,20:00:00,33.42,33.624,33.333,33.377,195858,0
2017-09-08,21:00:00,33.372,33.478,33.285,33.313,209255,0
2017-09-08,22:00:00,33.313,33.318,32.995,33.206,284134,0
2017-09-11,16:00:00,33.42,33.585,33.42,33.469,13287,0
2017-09-11,17:00:00,33.488,33.744,33.469,33.652,28055,0
2017-09-11,18:00:00,33.652,33.769,33.604,33.648,46108,0
2017-09-11,19:00:00,33.624,33.827,33.469,33.72,204544,0
2017-09-11,20:00:00,33.682,33.769,33.527,33.73,147484,0
2017-09-11,21:00:00,33.74,33.74,33.45,33.45,93368,0
2017-09-11,22:00:00,33.45,33.497,33.197,33.391,188646,0
2017-09-12,16:00:00,33.42,33.652,33.323,33.604,32336,0
2017-09-12,17:00:00,33.604,33.74,33.556,33.58,63761,0
2017-09-12,18:00:00,33.565,33.575,33.256,33.333,25572,0
2017-09-12,19:00:00,33.333,33.391,33.285,33.363,21423,0
2017-09-12,20:00:00,33.372,33.42,33.276,33.285,50329,0
2017-09-12,21:00:00,33.285,33.285,33.139,33.169,42601,0
2017-09-12,22:00:00,33.169,33.197,33.027,33.119,144364,0
2017-09-13,16:00:00,33.072,33.251,32.858,33.052,17742,0
2017-09-13,17:00:00,33.052,33.179,32.82,32.848,86421,0
2017-09-13,18:00:00,32.848,32.868,32.733,32.825,86159,0
2017-09-13,19:00:00,32.839,32.965,32.811,32.926,83618,0
2017-09-13,20:00:00,32.935,33.226,32.917,33.189,112042,0
2017-09-13,21:00:00,33.179,33.236,33.082,33.236,39764,0
2017-09-13,22:00:00,33.236,33.45,33.179,33.343,223887,0
2017-09-14,16:00:00,33.285,33.517,33.285,33.45,21283,0
2017-09-14,17:00:00,33.459,33.469,33.216,33.226,48983,0
2017-09-14,18:00:00,33.226,33.236,33.002,33.197,62302,0
2017-09-14,19:00:00,33.206,33.343,33.169,33.206,56644,0
2017-09-14,20:00:00,33.197,33.276,33.149,33.226,38382,0
2017-09-14,21:00:00,33.236,33.333,33.179,33.206,33681,0
2017-09-14,22:00:00,33.206,33.206,32.985,33.119,145473,0
2017-09-15,16:00:00,33.206,33.294,33.129,33.139,125430,0
2017-09-15,17:00:00,33.149,33.236,32.811,32.926,46793,0
2017-09-15,18:00:00,32.945,33.216,32.926,33.159,22723,0
2017-09-15,19:00:00,33.149,33.294,33.149,33.256,21312,0
2017-09-15,20:00:00,33.246,33.303,33.119,33.159,20555,0
2017-09-15,21:00:00,33.169,33.266,33.169,33.226,23495,0
