Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,5.06,5.06,5.0404,5.0491,159708,0
2017-09-05,17:00:00,5.0405,5.0501,5.0404,5.0491,39677,0
2017-09-05,18:00:00,5.0451,5.0501,5.0208,5.0208,62899,0
2017-09-05,19:00:00,5.0258,5.0308,5.0114,5.0308,74205,0
2017-09-05,20:00:00,5.0308,5.0308,5.0114,5.0209,78429,0
2017-09-05,21:00:00,5.0208,5.0298,5.016,5.016,32727,0
2017-09-05,22:00:00,5.0208,5.0286,5.0015,5.0114,153118,0
2017-09-06,16:00:00,5.0308,5.0308,5.0205,5.0258,25709,0
2017-09-06,17:00:00,5.0308,5.0404,5.0208,5.0404,36199,0
2017-09-06,18:00:00,5.0404,5.0404,5.0308,5.0345,26414,0
2017-09-06,19:00:00,5.0308,5.0404,5.0308,5.0308,39101,0
2017-09-06,20:00:00,5.0308,5.0404,5.0308,5.0308,64689,0
2017-09-06,21:00:00,5.0378,5.0382,5.0308,5.0378,28195,0
2017-09-06,22:00:00,5.0357,5.0501,5.0308,5.0501,77448,0
2017-09-07,16:00:00,5.0501,5.06,5.0339,5.0501,49468,0
2017-09-07,17:00:00,5.0476,5.0501,5.0404,5.0501,42693,0
2017-09-07,18:00:00,5.0501,5.06,5.0404,5.0551,62266,0
2017-09-07,19:00:00,5.0551,5.06,5.0501,5.0501,32262,0
2017-09-07,20:00:00,5.0501,5.06,5.0501,5.0501,23125,0
2017-09-07,21:00:00,5.0501,5.06,5.0501,5.0501,34829,0
2017-09-07,22:00:00,5.0501,5.06,5.0501,5.0501,41433,0
2017-09-08,16:00:00,5.0501,5.0696,5.0501,5.0679,108361,0
2017-09-08,17:00:00,5.0696,5.0696,5.0551,5.0696,48132,0
2017-09-08,18:00:00,5.0696,5.0696,5.06,5.0648,40774,0
2017-09-08,19:00:00,5.0628,5.0696,5.06,5.0648,50297,0
2017-09-08,20:00:00,5.0686,5.0696,5.06,5.0696,21854,0
2017-09-08,21:00:00,5.0672,5.0696,5.06,5.0696,31152,0
2017-09-08,22:00:00,5.0601,5.0696,5.06,5.06,58075,0
2017-09-11,16:00:00,5.0795,5.0795,5.0696,5.0795,47948,0
2017-09-11,17:00:00,5.0795,5.0795,5.0696,5.0696,39056,0
2017-09-11,18:00:00,5.0745,5.0892,5.0696,5.0828,84978,0
2017-09-11,19:00:00,5.0805,5.0892,5.0795,5.0834,23321,0
2017-09-11,20:00:00,5.0883,5.0892,5.0696,5.0785,27385,0
2017-09-11,21:00:00,5.0745,5.0765,5.06,5.06,92159,0
2017-09-11,22:00:00,5.0501,5.06,5.0501,5.0501,71065,0
2017-09-12,16:00:00,5.06,5.0696,5.06,5.0696,17704,0
2017-09-12,17:00:00,5.0637,5.0696,5.06,5.0696,36957,0
2017-09-12,18:00:00,5.0696,5.0795,5.06,5.0663,44674,0
2017-09-12,19:00:00,5.0696,5.0696,5.06,5.0696,8285,0
2017-09-12,20:00:00,5.0696,5.0696,5.06,5.0696,10083,0
2017-09-12,21:00:00,5.0648,5.0696,5.06,5.06,45493,0
2017-09-12,22:00:00,5.0696,5.0696,5.06,5.06,14642,0
2017-09-13,16:00:00,5.0696,5.0699,5.0648,5.0696,30900,0
2017-09-13,17:00:00,5.0696,5.0753,5.06,5.072,60301,0
2017-09-13,18:00:00,5.0707,5.0892,5.0696,5.0795,119686,0
2017-09-13,19:00:00,5.0805,5.0892,5.06,5.06,101707,0
