Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-08,20:00:00,12.316,12.316,12.316,12.316,102,0
2017-03-17,15:00:00,12.396,12.396,12.396,12.396,861,0
2017-04-04,22:00:00,12.366,12.366,12.366,12.366,1013,0
2017-07-03,20:00:00,12.366,12.366,12.366,12.366,0,0
2017-08-22,22:00:00,12.704,12.724,12.704,12.724,3466,0
2017-08-29,21:00:00,12.743,12.743,12.743,12.743,1449,0
2017-09-28,17:00:00,12.792,12.792,12.792,12.792,4685,0
2017-10-03,18:00:00,12.82,12.832,12.82,12.832,2343,0
2017-10-11,21:00:00,12.837,12.837,12.837,12.837,401,0
2017-10-13,18:00:00,12.881,12.881,12.867,12.867,624,0
2017-10-17,22:00:00,12.882,12.882,12.882,12.882,406,0
2017-10-18,22:00:00,12.882,12.882,12.865,12.865,1358,0
2017-10-19,21:00:00,12.892,12.892,12.892,12.892,126,0
2017-10-20,22:00:00,12.882,12.882,12.882,12.882,401,0
2017-10-24,20:00:00,12.882,12.882,12.882,12.882,1067,0
2017-10-24,22:00:00,12.882,12.882,12.882,12.882,1474,0
2017-10-30,18:00:00,12.882,12.882,12.882,12.882,100,0
2017-10-30,19:00:00,12.849,12.849,12.832,12.832,2029,0
2017-11-03,17:00:00,12.882,12.882,12.882,12.882,701,0
2017-11-07,19:00:00,12.872,12.872,12.872,12.872,300,0
2017-11-07,22:00:00,12.892,12.892,12.892,12.892,458,0
2017-11-09,18:00:00,12.872,12.872,12.872,12.872,697,0
2017-11-13,22:00:00,12.862,12.862,12.862,12.862,449,0
2017-11-15,17:00:00,12.842,12.842,12.842,12.842,100,0
2017-11-15,20:00:00,12.842,12.842,12.842,12.842,100,0
2017-11-15,21:00:00,12.842,12.842,12.842,12.842,100,0
2017-11-24,20:00:00,12.962,12.962,12.962,12.962,0,0
2017-12-11,16:00:00,12.951,12.951,12.951,12.951,501,0
2017-12-11,18:00:00,12.947,12.961,12.947,12.961,931,0
2017-12-13,20:00:00,12.948,12.948,12.948,12.948,1502,0
2017-12-18,22:00:00,12.838,12.838,12.838,12.838,1502,0
2017-12-22,20:00:00,12.817,12.817,12.817,12.817,576,0
2017-12-28,21:00:00,12.8562,12.8562,12.8549,12.8549,3000,0
2018-01-04,22:00:00,12.9,12.9,12.9,12.9,2100,0
2018-01-08,18:00:00,12.96,12.96,12.96,12.96,100,0
2018-01-08,19:00:00,12.96,12.96,12.88,12.88,687,0
2018-01-09,18:00:00,12.92,12.92,12.902,12.902,1400,0
2018-01-16,19:00:00,12.95,12.95,12.9398,12.9398,704,0
2018-01-22,17:00:00,12.94,12.94,12.94,12.94,100,0
2018-01-22,19:00:00,12.94,12.94,12.94,12.94,100,0
2018-01-22,20:00:00,12.94,12.94,12.94,12.94,100,0
2018-01-22,21:00:00,12.94,12.94,12.94,12.94,100,0
2018-01-22,22:00:00,12.94,12.94,12.94,12.94,130,0
2018-01-24,16:00:00,12.9,12.9,12.9,12.9,387,0
2018-01-29,19:00:00,12.94,12.94,12.935,12.935,200,0
2018-01-31,16:00:00,12.94,12.94,12.94,12.94,150,0
2018-02-05,18:00:00,12.82,12.82,12.82,12.82,400,0
2018-02-05,20:00:00,12.81,12.81,12.8075,12.8075,400,0
2018-02-06,16:00:00,12.82,12.82,12.82,12.82,100,0
2018-02-08,20:00:00,12.7072,12.7072,12.7072,12.7072,1170,0
2018-02-08,22:00:00,12.7,12.7,12.7,12.7,100,0
2018-02-13,20:00:00,12.6698,12.6698,12.6698,12.6698,200,0
2018-02-14,21:00:00,12.66,12.675,12.66,12.675,400,0
2018-02-16,16:00:00,12.68,12.68,12.68,12.68,400,0
2018-02-16,21:00:00,12.73,12.73,12.73,12.73,300,0
2018-02-20,22:00:00,12.81,12.81,12.7357,12.7357,414,0
2018-02-21,16:00:00,12.755,12.755,12.755,12.755,257,0
2018-02-26,16:00:00,12.76,12.76,12.76,12.76,100,0
2018-02-27,19:00:00,12.7856,12.8,12.7856,12.787,2189,0
2018-03-01,17:00:00,12.7535,12.7535,12.7535,12.7535,1820,0
2018-03-01,20:00:00,12.749,12.749,12.7365,12.7365,559,0
2018-03-05,22:00:00,12.7699,12.77,12.7699,12.77,606,0
2018-03-07,22:00:00,12.78,12.78,12.78,12.78,256,0
2018-03-09,19:00:00,12.87,12.87,12.87,12.87,275,0
2018-03-09,20:00:00,12.87,12.87,12.87,12.87,100,0
2018-03-14,15:00:00,12.84,12.84,12.84,12.84,1346,0
2018-03-14,21:00:00,12.82,12.82,12.81,12.82,11963,0
2018-03-19,19:00:00,12.75,12.75,12.75,12.75,1000,0
