Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-07,16:00:00,12.352,12.352,12.352,12.352,101,0
2017-03-07,17:00:00,12.352,12.352,12.352,12.352,304,0
2017-03-07,18:00:00,12.352,12.352,12.352,12.352,202,0
2017-03-07,19:00:00,12.352,12.352,12.352,12.352,202,0
2017-03-07,20:00:00,12.352,12.352,12.352,12.352,101,0
2017-03-08,22:00:00,12.312,12.312,12.312,12.312,101,0
2017-03-23,21:00:00,12.32,12.32,12.32,12.32,1012,0
2017-03-27,21:00:00,12.355,12.355,12.355,12.355,491,0
2017-04-04,22:00:00,12.378,12.378,12.372,12.374,1821,0
2017-05-05,22:00:00,12.559,12.559,12.543,12.543,2429,0
2017-05-11,22:00:00,12.501,12.501,12.501,12.501,101,0
2017-07-03,20:00:00,12.443,12.443,12.443,12.443,0,0
2017-07-25,22:00:00,12.796,12.796,12.796,12.796,391,0
2017-09-06,20:00:00,12.849,12.849,12.849,12.849,1012,0
2017-09-12,22:00:00,12.915,12.915,12.915,12.915,304,0
2017-09-21,16:00:00,12.927,12.927,12.927,12.927,159,0
2017-09-28,18:00:00,12.907,12.907,12.907,12.907,6202,0
2017-10-25,17:00:00,13.027,13.027,13.027,13.027,905,0
2017-11-07,22:00:00,13.076,13.076,13.056,13.056,1911,0
2017-11-08,22:00:00,13.086,13.086,13.065,13.066,956,0
2017-11-14,18:00:00,13.037,13.037,13.037,13.037,495,0
2017-11-14,22:00:00,13.027,13.027,13.012,13.012,201,0
2017-11-24,20:00:00,13.012,13.012,13.012,13.012,0,0
2017-12-11,22:00:00,13.175,13.175,13.175,13.175,402,0
2017-12-15,17:00:00,13.206,13.206,13.177,13.177,402,0
2017-12-20,20:00:00,13.051,13.051,13.051,13.051,603,0
2017-12-22,16:00:00,13.106,13.106,13.106,13.106,221,0
2017-12-27,22:00:00,13.131,13.131,13.131,13.131,609,0
2017-12-28,22:00:00,13.071,13.071,13.071,13.071,388,0
2018-01-02,16:00:00,14.396,14.396,13.809,13.809,1631,0
2018-01-02,20:00:00,13.121,13.121,13.121,13.121,301,0
2018-01-02,21:00:00,13.121,13.121,13.121,13.121,1004,0
2018-01-03,20:00:00,13.151,13.151,13.151,13.151,1171,0
2018-01-04,19:00:00,13.181,13.181,13.181,13.181,447,0
2018-01-04,21:00:00,13.191,13.191,13.191,13.191,420,0
2018-01-05,18:00:00,13.191,13.191,13.191,13.191,227,0
2018-01-10,22:00:00,13.191,13.191,13.191,13.191,434,0
2018-01-16,20:00:00,13.281,13.281,13.281,13.281,7580,0
2018-01-18,18:00:00,13.233,13.233,13.233,13.233,116,0
2018-01-22,22:00:00,13.301,13.301,13.287,13.287,1004,0
2018-01-23,21:00:00,13.315,13.315,13.315,13.315,351,0
2018-01-25,20:00:00,13.36,13.36,13.36,13.36,116,0
2018-01-26,20:00:00,13.37,13.37,13.37,13.37,100,0
2018-01-26,21:00:00,13.356,13.356,13.356,13.356,652,0
2018-01-29,22:00:00,13.35,13.35,13.35,13.35,357,0
2018-01-31,18:00:00,13.291,13.291,13.291,13.291,1236,0
2018-02-02,21:00:00,13.211,13.211,13.171,13.171,393,0
2018-02-09,18:00:00,12.743,12.743,12.743,12.743,502,0
2018-02-13,17:00:00,12.882,12.882,12.882,12.882,1004,0
2018-02-20,22:00:00,13.041,13.041,13.041,13.041,618,0
2018-02-26,21:00:00,13.131,13.131,13.131,13.131,100,0
2018-02-27,20:00:00,13.075,13.075,13.075,13.075,127,0
2018-02-27,22:00:00,13.131,13.131,13.131,13.131,301,0
2018-03-05,17:00:00,12.962,12.962,12.947,12.947,1004,0
2018-03-05,22:00:00,13.022,13.022,13.021,13.021,433,0
2018-03-06,17:00:00,13.015,13.015,13.015,13.015,419,0
2018-03-07,20:00:00,13.022,13.022,13.022,13.022,1204,0
2018-03-07,22:00:00,13.031,13.031,13.031,13.031,401,0
2018-03-09,21:00:00,13.171,13.171,13.171,13.171,100,0
2018-03-12,17:00:00,13.141,13.141,13.141,13.141,419,0
2018-03-13,17:00:00,13.141,13.141,13.141,13.141,412,0
2018-03-14,18:00:00,13.121,13.121,13.121,13.121,1310,0
2018-03-15,16:00:00,13.072,13.072,13.072,13.072,502,0
2018-03-16,17:00:00,13.121,13.121,13.121,13.121,100,0
2018-03-16,20:00:00,13.121,13.121,13.121,13.121,100,0
2018-03-19,16:00:00,13.1,13.1,13.0997,13.1,6820,0
2018-03-19,21:00:00,13.053,13.053,13.053,13.053,375,0
2018-03-21,17:00:00,13.05,13.05,13.05,13.05,100,0
2018-03-21,20:00:00,13.0399,13.04,13.0399,13.04,505,0
2018-03-22,16:00:00,12.9795,12.9795,12.9795,12.9795,106,0
2018-03-27,21:00:00,12.98,12.98,12.98,12.98,100,0
2018-03-29,18:00:00,12.95,12.9632,12.95,12.95,3470,0
