Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,26.365,26.365,26.257,26.335,4112,0
2017-09-05,17:00:00,26.338,26.355,26.256,26.279,8915,0
2017-09-05,18:00:00,26.246,26.28,26.246,26.276,3133,0
2017-09-05,19:00:00,26.246,26.265,26.127,26.146,5043,0
2017-09-05,20:00:00,26.039,26.107,26.028,26.098,17968,0
2017-09-05,21:00:00,26.134,26.165,26.134,26.16,1949,0
2017-09-05,22:00:00,26.16,26.196,26.117,26.196,11481,0
2017-09-06,16:00:00,26.305,26.305,26.196,26.196,5484,0
2017-09-06,17:00:00,26.266,26.286,26.187,26.187,17839,0
2017-09-06,18:00:00,26.196,26.236,26.177,26.236,15236,0
2017-09-06,19:00:00,26.185,26.266,26.185,26.266,3301,0
2017-09-06,20:00:00,26.281,26.286,26.226,26.281,2332,0
2017-09-06,21:00:00,26.223,26.296,26.223,26.273,11229,0
2017-09-06,22:00:00,26.271,26.296,26.26,26.295,24697,0
2017-09-07,16:00:00,26.256,26.404,26.226,26.266,3996,0
2017-09-07,17:00:00,26.236,26.285,26.196,26.285,4399,0
2017-09-07,18:00:00,26.266,26.266,26.246,26.265,2795,0
2017-09-07,19:00:00,26.204,26.236,26.167,26.236,1817,0
2017-09-07,20:00:00,26.241,26.246,26.196,26.229,6679,0
2017-09-07,21:00:00,26.246,26.256,26.196,26.226,18299,0
2017-09-07,22:00:00,26.226,26.255,26.196,26.206,29605,0
2017-09-08,16:00:00,26.325,26.325,26.184,26.226,12516,0
2017-09-08,17:00:00,26.236,26.246,26.194,26.236,4341,0
2017-09-08,18:00:00,26.246,26.266,26.216,26.259,9870,0
2017-09-08,19:00:00,26.246,26.25,26.216,26.216,8174,0
2017-09-08,20:00:00,26.196,26.259,26.196,26.259,4798,0
2017-09-08,21:00:00,26.246,26.246,26.196,26.216,17726,0
2017-09-08,22:00:00,26.207,26.214,26.157,26.196,7349,0
2017-09-11,16:00:00,26.444,26.444,26.346,26.434,2162,0
2017-09-11,17:00:00,26.404,26.424,26.366,26.399,6050,0
