Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,15.91,15.994,15.91,15.975,150115,0
2017-09-05,17:00:00,15.979,16.033,15.965,15.98,105198,0
2017-09-05,18:00:00,15.975,15.984,15.936,15.95,37543,0
2017-09-05,19:00:00,15.947,15.947,15.901,15.922,48686,0
2017-09-05,20:00:00,15.922,15.927,15.891,15.91,45301,0
2017-09-05,21:00:00,15.906,15.918,15.842,15.842,55904,0
2017-09-05,22:00:00,15.842,15.881,15.842,15.851,72528,0
2017-09-06,16:00:00,15.955,15.975,15.918,15.946,18825,0
2017-09-06,17:00:00,15.933,15.95,15.91,15.95,71127,0
2017-09-06,18:00:00,15.95,15.955,15.918,15.936,34320,0
2017-09-06,19:00:00,15.936,15.965,15.918,15.955,55874,0
2017-09-06,20:00:00,15.946,15.965,15.946,15.952,28988,0
2017-09-06,21:00:00,15.95,15.965,15.946,15.955,33474,0
2017-09-06,22:00:00,15.955,15.965,15.946,15.955,53064,0
2017-09-07,16:00:00,15.965,15.984,15.957,15.982,41232,0
2017-09-07,17:00:00,15.975,16.014,15.965,16.004,50619,0
2017-09-07,18:00:00,15.994,16.014,15.994,15.994,50558,0
2017-09-07,19:00:00,15.999,16.004,15.994,16.002,54992,0
2017-09-07,20:00:00,15.994,16.004,15.994,16,51101,0
2017-09-07,21:00:00,16.004,16.014,16.004,16.014,36240,0
2017-09-07,22:00:00,16.009,16.033,15.994,16.014,64844,0
2017-09-08,16:00:00,16.024,16.033,15.955,16.01,61819,0
2017-09-08,17:00:00,15.984,16.014,15.965,16.004,24571,0
2017-09-08,18:00:00,15.984,15.993,15.965,15.983,19014,0
2017-09-08,19:00:00,15.984,16.024,15.975,16.013,22804,0
2017-09-08,20:00:00,16.009,16.033,15.984,15.984,24310,0
2017-09-08,21:00:00,15.975,15.984,15.955,15.958,35749,0
2017-09-08,22:00:00,15.955,16.014,15.955,15.994,23429,0
2017-09-11,16:00:00,15.994,16.05,15.994,16.004,39503,0
2017-09-11,17:00:00,16.004,16.01,15.975,16.003,69511,0
2017-09-11,18:00:00,16.014,16.024,15.984,15.994,53049,0
2017-09-11,19:00:00,16.024,16.024,15.984,16.004,26117,0
2017-09-11,20:00:00,15.999,16.014,15.965,15.982,27077,0
2017-09-11,21:00:00,15.975,16.013,15.975,16.004,37335,0
2017-09-11,22:00:00,16.004,16.014,15.984,16.004,30902,0
2017-09-12,16:00:00,16.004,16.024,15.965,16.024,28943,0
2017-09-12,17:00:00,16.024,16.033,15.994,16.014,39445,0
2017-09-12,18:00:00,16.027,16.033,15.935,15.953,57267,0
2017-09-12,19:00:00,15.955,15.975,15.935,15.945,31740,0
2017-09-12,20:00:00,15.945,15.963,15.935,15.955,13401,0
2017-09-12,21:00:00,15.955,15.975,15.955,15.965,28736,0
2017-09-12,22:00:00,15.955,15.994,15.945,15.994,31979,0
2017-09-13,16:00:00,15.955,15.994,15.935,15.964,9561,0
2017-09-13,17:00:00,15.984,15.984,15.967,15.984,9753,0
2017-09-13,18:00:00,15.984,16.004,15.975,15.975,18130,0
2017-09-13,19:00:00,15.983,16.024,15.983,16.021,42288,0
2017-09-13,20:00:00,16.019,16.024,15.994,16.002,15501,0
2017-09-13,21:00:00,16.014,16.024,16.006,16.012,15124,0
2017-09-13,22:00:00,16.005,16.033,16.004,16.004,31530,0
2017-09-14,16:00:00,15.984,16.014,15.909,15.975,24188,0
2017-09-14,17:00:00,16.004,16.004,15.955,15.965,13305,0
2017-09-14,18:00:00,15.965,15.975,15.955,15.955,42118,0
2017-09-14,19:00:00,15.965,15.984,15.955,15.965,11227,0
2017-09-14,20:00:00,15.965,15.982,15.955,15.982,19487,0
2017-09-14,21:00:00,15.975,15.984,15.965,15.975,18769,0
2017-09-14,22:00:00,15.977,16.004,15.965,15.965,30015,0
2017-09-15,16:00:00,15.917,15.961,15.89,15.909,84110,0
2017-09-15,17:00:00,15.913,15.935,15.87,15.935,111891,0
2017-09-15,18:00:00,15.927,15.927,15.851,15.868,50348,0
2017-09-15,19:00:00,15.87,15.909,15.851,15.898,41157,0
2017-09-15,20:00:00,15.894,15.897,15.87,15.888,31285,0
2017-09-15,21:00:00,15.883,15.921,15.87,15.91,52624,0
2017-09-15,22:00:00,15.917,15.935,15.88,15.903,52111,0
2017-09-18,16:00:00,15.935,15.955,15.917,15.955,41278,0
2017-09-18,17:00:00,15.955,15.969,15.909,15.909,43056,0
2017-09-18,18:00:00,15.909,15.935,15.89,15.926,43445,0
2017-09-18,19:00:00,15.917,15.955,15.917,15.946,24688,0
2017-09-18,20:00:00,15.941,15.955,15.935,15.94,19103,0
2017-09-18,21:00:00,15.945,15.945,15.917,15.926,30215,0
2017-09-18,22:00:00,15.94,15.955,15.926,15.926,20289,0
2017-09-19,16:00:00,15.935,15.975,15.926,15.94,6991,0
2017-09-19,17:00:00,15.944,15.954,15.926,15.935,50489,0
2017-09-19,18:00:00,15.942,15.955,15.935,15.955,24682,0
2017-09-19,19:00:00,15.945,15.955,15.927,15.945,30209,0
2017-09-19,20:00:00,15.945,15.954,15.935,15.945,11349,0
2017-09-19,21:00:00,15.949,15.955,15.935,15.935,27342,0
2017-09-19,22:00:00,15.944,15.955,15.935,15.945,35338,0
2017-09-20,16:00:00,15.965,15.965,15.935,15.935,17090,0
2017-09-20,17:00:00,15.935,15.943,15.91,15.926,52163,0
2017-09-20,18:00:00,15.937,15.975,15.935,15.948,46251,0
2017-09-20,19:00:00,15.955,15.975,15.945,15.945,29584,0
2017-09-20,20:00:00,15.939,15.945,15.926,15.926,23507,0
2017-09-20,21:00:00,15.924,15.954,15.89,15.9,55005,0
2017-09-20,22:00:00,15.895,15.926,15.86,15.926,64049,0
2017-09-21,16:00:00,15.9,15.926,15.9,15.917,4726,0
2017-09-21,17:00:00,15.918,15.955,15.909,15.948,33026,0
2017-09-21,18:00:00,15.935,15.955,15.9,15.913,32995,0
2017-09-21,19:00:00,15.909,15.926,15.909,15.917,22848,0
2017-09-21,20:00:00,15.917,15.955,15.909,15.935,37534,0
2017-09-21,21:00:00,15.935,15.945,15.909,15.926,16424,0
2017-09-21,22:00:00,15.909,15.921,15.87,15.87,45528,0
2017-09-22,16:00:00,15.87,15.935,15.86,15.935,34129,0
2017-09-22,17:00:00,15.926,15.965,15.926,15.945,31249,0
2017-09-22,18:00:00,15.945,15.965,15.89,15.909,72838,0
2017-09-22,19:00:00,15.905,15.917,15.9,15.909,16403,0
2017-09-22,20:00:00,15.909,15.945,15.9,15.935,38825,0
2017-09-22,21:00:00,15.917,15.926,15.893,15.921,32842,0
2017-09-22,22:00:00,15.919,15.935,15.911,15.926,19725,0
2017-09-25,16:00:00,15.917,15.975,15.914,15.946,28315,0
2017-09-25,17:00:00,15.965,15.984,15.9,15.965,100823,0
2017-09-25,18:00:00,15.956,15.975,15.94,15.955,23959,0
2017-09-25,19:00:00,15.945,15.975,15.917,15.92,36480,0
2017-09-25,20:00:00,15.917,15.955,15.917,15.935,48185,0
2017-09-25,21:00:00,15.926,15.965,15.92,15.965,33498,0
2017-09-25,22:00:00,15.965,15.984,15.935,15.975,51795,0
2017-09-26,16:00:00,15.965,16.004,15.965,15.994,24912,0
2017-09-26,17:00:00,15.984,16.033,15.984,16.004,42496,0
2017-09-26,18:00:00,16.004,16.014,15.975,15.975,26983,0
2017-09-26,19:00:00,15.975,16.024,15.965,15.974,31155,0
2017-09-26,20:00:00,15.975,16.014,15.975,16.004,35450,0
2017-09-26,21:00:00,16.004,16.024,15.984,16.024,45270,0
2017-09-26,22:00:00,16.02,16.024,16.004,16.014,52653,0
2017-09-27,16:00:00,16.024,16.024,15.935,15.975,18363,0
2017-09-27,17:00:00,15.97,15.975,15.935,15.945,42544,0
2017-09-27,18:00:00,15.955,15.984,15.955,15.984,10452,0
2017-09-27,19:00:00,15.975,15.975,15.945,15.945,18803,0
2017-09-27,20:00:00,15.955,15.984,15.945,15.975,25934,0
2017-09-27,21:00:00,15.975,15.975,15.955,15.956,10019,0
2017-09-27,22:00:00,15.965,15.965,15.935,15.945,36363,0
2017-09-28,16:00:00,15.965,15.965,15.917,15.963,25960,0
2017-09-28,17:00:00,15.96,15.975,15.945,15.975,9806,0
2017-09-28,18:00:00,15.97,15.975,15.935,15.945,33753,0
2017-09-28,19:00:00,15.956,16.004,15.952,15.989,25229,0
2017-09-28,20:00:00,15.975,16.004,15.965,15.965,27670,0
2017-09-28,21:00:00,15.984,15.984,15.945,15.96,26669,0
2017-09-28,22:00:00,15.955,15.984,15.955,15.984,21949,0
2017-09-29,16:00:00,15.984,15.989,15.945,15.966,23882,0
2017-09-29,17:00:00,15.975,16.014,15.955,16.014,49712,0
2017-09-29,18:00:00,16.014,16.014,15.98,16,14646,0
2017-09-29,19:00:00,16.004,16.024,15.994,16.024,40237,0
2017-09-29,20:00:00,16.024,16.05,16.014,16.022,59372,0
2017-09-29,21:00:00,16.014,16.033,16.014,16.024,35994,0
2017-09-29,22:00:00,16.024,16.059,15.994,16.014,86185,0
2017-10-02,16:00:00,16.033,16.05,16.014,16.033,45137,0
2017-10-02,17:00:00,16.042,16.069,16.033,16.069,61550,0
2017-10-02,18:00:00,16.059,16.079,16.059,16.069,53388,0
2017-10-02,19:00:00,16.059,16.066,16.024,16.05,68286,0
2017-10-02,20:00:00,16.05,16.059,16.033,16.033,51414,0
2017-10-02,21:00:00,16.033,16.047,16.024,16.039,25653,0
2017-10-02,22:00:00,16.033,16.089,16.014,16.024,103331,0
2017-10-03,16:00:00,16.069,16.128,16.05,16.092,73129,0
2017-10-03,17:00:00,16.092,16.148,16.089,16.103,66526,0
2017-10-03,18:00:00,16.105,16.108,16.084,16.103,41262,0
2017-10-03,19:00:00,16.099,16.128,16.069,16.113,86493,0
2017-10-03,20:00:00,16.113,16.118,16.069,16.079,54260,0
2017-10-03,21:00:00,16.08,16.128,16.069,16.099,32768,0
2017-10-03,22:00:00,16.089,16.118,16.069,16.089,176974,0
2017-10-04,16:00:00,16.118,16.125,16.089,16.114,24735,0
2017-10-04,17:00:00,16.113,16.118,16.079,16.099,39797,0
2017-10-04,18:00:00,16.084,16.111,16.079,16.108,34078,0
2017-10-04,19:00:00,16.113,16.128,16.108,16.108,53751,0
2017-10-04,20:00:00,16.108,16.128,16.099,16.099,37376,0
2017-10-04,21:00:00,16.099,16.104,16.079,16.099,31341,0
2017-10-04,22:00:00,16.108,16.157,16.099,16.138,69310,0
2017-10-05,16:00:00,16.148,16.166,16.118,16.15,23202,0
2017-10-05,17:00:00,16.157,16.173,16.138,16.166,29620,0
2017-10-05,18:00:00,16.166,16.175,16.157,16.174,37231,0
2017-10-05,19:00:00,16.166,16.174,16.157,16.157,41146,0
2017-10-05,20:00:00,16.166,16.203,16.157,16.176,72110,0
2017-10-05,21:00:00,16.178,16.183,16.167,16.175,57140,0
2017-10-05,22:00:00,16.174,16.223,16.166,16.203,67629,0
2017-10-06,16:00:00,16.203,16.213,16.157,16.162,39085,0
2017-10-06,17:00:00,16.166,16.166,16.148,16.148,48320,0
2017-10-06,18:00:00,16.138,16.213,16.108,16.203,69196,0
2017-10-06,19:00:00,16.202,16.213,16.183,16.183,37834,0
2017-10-06,20:00:00,16.184,16.192,16.108,16.128,80852,0
2017-10-06,21:00:00,16.118,16.138,16.114,16.129,21994,0
2017-10-06,22:00:00,16.138,16.166,16.118,16.166,76626,0
2017-10-09,17:00:00,16.183,16.193,16.183,16.193,9278,0
2017-10-09,18:00:00,16.183,16.193,16.174,16.193,32868,0
2017-10-09,19:00:00,16.183,16.203,16.183,16.186,27423,0
2017-10-09,20:00:00,16.189,16.213,16.183,16.193,23350,0
2017-10-09,21:00:00,16.183,16.203,16.183,16.183,40200,0
2017-10-09,22:00:00,16.183,16.193,16.174,16.183,43430,0
2017-10-10,16:00:00,16.166,16.209,16.166,16.206,20649,0
2017-10-10,17:00:00,16.203,16.213,16.174,16.193,38907,0
2017-10-10,18:00:00,16.206,16.212,16.193,16.212,35455,0
2017-10-10,19:00:00,16.203,16.213,16.193,16.207,17145,0
2017-10-10,20:00:00,16.213,16.213,16.203,16.203,6178,0
2017-10-10,21:00:00,16.208,16.223,16.183,16.194,65816,0
2017-10-10,22:00:00,16.188,16.213,16.183,16.213,46718,0
2017-10-11,16:00:00,16.223,16.262,16.193,16.201,50198,0
2017-10-11,17:00:00,16.201,16.272,16.174,16.26,26243,0
2017-10-11,18:00:00,16.253,16.272,16.229,16.243,23629,0
2017-10-11,19:00:00,16.239,16.243,16.221,16.232,32610,0
2017-10-11,20:00:00,16.228,16.245,16.223,16.236,26077,0
