Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-14,16:00:00,9.598,9.608,9.598,9.608,3704,0
2017-08-14,18:00:00,9.598,9.598,9.588,9.598,910,0
2017-08-14,19:00:00,9.588,9.589,9.567,9.567,1920,0
2017-08-14,20:00:00,9.57,9.57,9.563,9.569,1536,0
2017-08-14,21:00:00,9.563,9.578,9.563,9.578,7681,0
2017-08-14,22:00:00,9.574,9.658,9.569,9.588,4963,0
2017-08-15,16:00:00,9.539,9.598,9.539,9.598,1118,0
2017-08-15,17:00:00,9.529,9.529,9.527,9.527,817,0
2017-08-15,19:00:00,9.518,9.539,9.518,9.539,2812,0
2017-08-15,20:00:00,9.559,9.559,9.553,9.553,1011,0
2017-08-15,21:00:00,9.54,9.543,9.54,9.543,1199,0
2017-08-15,22:00:00,9.549,9.588,9.529,9.588,5128,0
2017-08-16,16:00:00,9.559,9.578,9.559,9.578,465,0
2017-08-16,17:00:00,9.567,9.588,9.559,9.578,1417,0
2017-08-16,18:00:00,9.578,9.578,9.578,9.578,707,0
2017-08-16,20:00:00,9.598,9.608,9.598,9.608,1112,0
2017-08-16,21:00:00,9.608,9.628,9.608,9.618,3030,0
2017-08-16,22:00:00,9.613,9.613,9.61,9.61,242,0
2017-08-17,17:00:00,9.58,9.58,9.58,9.58,303,0
2017-08-17,18:00:00,9.606,9.638,9.606,9.638,5668,0
2017-08-17,19:00:00,9.618,9.618,9.598,9.598,3638,0
2017-08-17,20:00:00,9.598,9.598,9.598,9.598,941,0
2017-08-17,22:00:00,9.573,9.588,9.529,9.588,1550,0
2017-08-18,16:00:00,9.529,9.575,9.528,9.539,9193,0
2017-08-18,17:00:00,9.519,9.529,9.519,9.524,2490,0
2017-08-18,18:00:00,9.529,9.529,9.529,9.529,472,0
2017-08-18,19:00:00,9.523,9.552,9.523,9.552,4885,0
2017-08-18,20:00:00,9.55,9.55,9.55,9.55,1025,0
2017-08-18,21:00:00,9.559,9.56,9.559,9.56,990,0
2017-08-18,22:00:00,9.575,9.608,9.569,9.569,4423,0
2017-08-21,16:00:00,9.56,9.56,9.559,9.559,9797,0
2017-08-21,18:00:00,9.542,9.542,9.542,9.542,401,0
2017-08-21,20:00:00,9.559,9.559,9.549,9.559,2686,0
2017-08-21,21:00:00,9.548,9.548,9.548,9.548,570,0
2017-08-21,22:00:00,9.553,9.553,9.53,9.539,3158,0
2017-08-22,16:00:00,9.519,9.539,9.519,9.539,2084,0
2017-08-22,17:00:00,9.578,9.578,9.578,9.578,202,0
2017-08-22,18:00:00,9.578,9.578,9.569,9.57,1718,0
2017-08-22,19:00:00,9.578,9.588,9.572,9.572,2530,0
2017-08-22,20:00:00,9.574,9.578,9.569,9.578,9333,0
2017-08-22,21:00:00,9.578,9.588,9.578,9.578,4146,0
2017-08-22,22:00:00,9.578,9.578,9.569,9.569,405,0
2017-08-23,16:00:00,9.529,9.598,9.529,9.549,1335,0
2017-08-23,17:00:00,9.598,9.598,9.549,9.588,1867,0
2017-08-23,19:00:00,9.582,9.582,9.578,9.578,1126,0
2017-08-23,20:00:00,9.588,9.588,9.588,9.588,266,0
2017-08-23,21:00:00,9.584,9.584,9.578,9.578,350,0
2017-08-23,22:00:00,9.584,9.584,9.584,9.584,606,0
2017-08-24,16:00:00,9.598,9.598,9.577,9.584,8792,0
2017-08-24,17:00:00,9.577,9.577,9.577,9.577,101,0
2017-08-24,18:00:00,9.578,9.578,9.569,9.569,534,0
