Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,19.738,19.777,19.512,19.56,362860,0
2017-09-05,17:00:00,19.56,19.57,19.334,19.435,407126,0
2017-09-05,18:00:00,19.43,19.45,19.392,19.41,192466,0
2017-09-05,19:00:00,19.41,19.41,19.15,19.189,165042,0
2017-09-05,20:00:00,19.18,19.184,19.122,19.136,250175,0
2017-09-05,21:00:00,19.131,19.294,19.131,19.252,177905,0
2017-09-05,22:00:00,19.247,19.334,19.203,19.334,739533,0
2017-09-06,16:00:00,19.42,19.709,19.362,19.526,333203,0
2017-09-06,17:00:00,19.535,19.623,19.512,19.623,433139,0
2017-09-06,18:00:00,19.623,19.738,19.603,19.623,333245,0
2017-09-06,19:00:00,19.632,19.662,19.623,19.642,180107,0
2017-09-06,20:00:00,19.637,19.825,19.637,19.742,239514,0
2017-09-06,21:00:00,19.742,19.757,19.699,19.747,223578,0
2017-09-06,22:00:00,19.742,19.796,19.729,19.796,655594,0
2017-09-07,16:00:00,19.815,19.825,19.405,19.425,92590,0
2017-09-07,17:00:00,19.425,19.55,19.42,19.526,336101,0
2017-09-07,18:00:00,19.531,19.535,19.464,19.482,327905,0
2017-09-07,19:00:00,19.482,19.642,19.464,19.603,177599,0
2017-09-07,20:00:00,19.613,19.623,19.507,19.526,194603,0
2017-09-07,21:00:00,19.516,19.574,19.516,19.555,154246,0
2017-09-07,22:00:00,19.555,19.652,19.545,19.642,608268,0
2017-09-08,16:00:00,19.787,19.858,19.729,19.85,279491,0
2017-09-08,17:00:00,19.854,20.162,19.854,20.162,526419,0
2017-09-08,18:00:00,20.172,20.321,20.172,20.282,460119,0
2017-09-08,19:00:00,20.282,20.297,20.065,20.215,879437,0
2017-09-08,20:00:00,20.215,20.355,20.189,20.33,256705,0
2017-09-08,21:00:00,20.335,20.451,20.297,20.451,270673,0
2017-09-08,22:00:00,20.451,20.474,20.109,20.316,1032108,0
2017-09-11,16:00:00,20.287,20.469,20.225,20.35,177924,0
2017-09-11,17:00:00,20.35,20.432,20.326,20.379,340541,0
2017-09-11,18:00:00,20.374,20.528,20.326,20.389,365861,0
2017-09-11,19:00:00,20.384,20.519,20.374,20.432,271904,0
2017-09-11,20:00:00,20.432,20.441,20.374,20.432,188116,0
2017-09-11,21:00:00,20.432,20.441,20.306,20.364,219556,0
2017-09-11,22:00:00,20.364,20.469,20.355,20.469,696867,0
2017-09-12,16:00:00,20.509,20.696,20.364,20.643,133412,0
2017-09-12,17:00:00,20.634,20.638,20.469,20.469,114586,0
2017-09-12,18:00:00,20.469,20.499,20.403,20.432,172908,0
2017-09-12,19:00:00,20.432,20.562,20.432,20.547,162690,0
2017-09-12,20:00:00,20.547,20.625,20.537,20.577,148527,0
