Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,44.024,44.094,43.796,43.936,18098,0
2017-09-05,17:00:00,43.916,44.154,43.916,44.134,36009,0
2017-09-05,18:00:00,44.134,44.183,44.064,44.154,47163,0
2017-09-05,19:00:00,44.124,44.144,43.876,43.955,45769,0
2017-09-05,20:00:00,43.936,43.951,43.826,43.826,38941,0
2017-09-05,21:00:00,43.831,43.965,43.831,43.95,32600,0
2017-09-05,22:00:00,43.95,44.024,43.866,43.974,138239,0
2017-09-06,16:00:00,44.094,44.094,43.965,44.054,13381,0
2017-09-06,17:00:00,44.074,44.074,43.776,43.776,27558,0
2017-09-06,18:00:00,43.776,43.786,43.617,43.727,33531,0
2017-09-06,19:00:00,43.757,43.955,43.757,43.945,75288,0
2017-09-06,20:00:00,43.945,43.994,43.886,43.965,52541,0
2017-09-06,21:00:00,43.965,44.049,43.916,44.024,74272,0
2017-09-06,22:00:00,44.034,44.104,43.994,44.084,124994,0
2017-09-07,16:00:00,44.064,44.164,43.866,44.154,31378,0
2017-09-07,17:00:00,44.154,44.243,44.074,44.174,67099,0
2017-09-07,18:00:00,44.178,44.213,44.104,44.114,40389,0
2017-09-07,19:00:00,44.104,44.109,43.965,44.004,23332,0
2017-09-07,20:00:00,43.994,44.154,43.994,44.144,16391,0
2017-09-07,21:00:00,44.134,44.193,44.114,44.154,31244,0
2017-09-07,22:00:00,44.154,44.174,44.124,44.154,148363,0
2017-09-08,16:00:00,44.054,44.054,43.727,43.796,13006,0
2017-09-08,17:00:00,43.846,44.253,43.846,44.233,26659,0
2017-09-08,18:00:00,44.213,44.342,44.124,44.243,45121,0
2017-09-08,19:00:00,44.233,44.292,44.144,44.253,44984,0
2017-09-08,20:00:00,44.253,44.263,44.084,44.164,21919,0
2017-09-08,21:00:00,44.144,44.223,44.114,44.193,22196,0
2017-09-08,22:00:00,44.204,44.292,44.193,44.292,214331,0
2017-09-11,16:00:00,44.481,44.561,44.322,44.491,25227,0
2017-09-11,17:00:00,44.501,44.541,44.114,44.134,60660,0
2017-09-11,18:00:00,44.144,44.203,44.134,44.183,46941,0
2017-09-11,19:00:00,44.164,44.213,44.124,44.183,41183,0
2017-09-11,20:00:00,44.174,44.233,44.126,44.223,34833,0
2017-09-11,21:00:00,44.223,44.253,44.144,44.253,57714,0
2017-09-11,22:00:00,44.253,44.312,44.144,44.213,169160,0
2017-09-12,16:00:00,44.243,44.243,44.134,44.193,19870,0
2017-09-12,17:00:00,44.205,44.205,44.049,44.064,17145,0
2017-09-12,18:00:00,44.062,44.114,43.965,44.044,20614,0
