Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,341.71,347.79,341.47,347.38,82122,0
2017-09-05,17:00:00,347.28,347.43,341.88,342.84,73400,0
2017-09-05,18:00:00,343.35,344.15,342.71,343.72,32587,0
2017-09-05,19:00:00,343.71,343.71,341.05,342.21,34245,0
2017-09-05,20:00:00,342.32,342.83,341.07,342.71,37298,0
2017-09-05,21:00:00,342.83,343.43,342.13,343.35,42839,0
2017-09-05,22:00:00,343.35,344.5,342.86,343.48,143770,0
2017-09-06,16:00:00,343.64,345.16,342.92,343.45,19988,0
2017-09-06,17:00:00,343.29,343.71,341.21,341.76,60176,0
2017-09-06,18:00:00,341.56,341.92,340.14,340.35,42111,0
2017-09-06,19:00:00,340.32,341.47,340.17,340.56,34121,0
2017-09-06,20:00:00,340.43,341.31,340.18,340.37,38839,0
2017-09-06,21:00:00,340.43,341.59,340.33,341.42,39132,0
2017-09-06,22:00:00,341.45,341.92,340.97,341.46,145446,0
2017-09-07,16:00:00,341.1,341.46,338.67,339.36,34729,0
2017-09-07,17:00:00,339.86,340.07,337.55,337.98,34562,0
2017-09-07,18:00:00,338.07,338.68,336.79,337.8,38764,0
2017-09-07,19:00:00,337.66,338.44,336.2,337.78,50716,0
2017-09-07,20:00:00,337.71,337.91,336.81,337.72,30017,0
2017-09-07,21:00:00,337.81,338.03,337.19,337.82,41561,0
2017-09-07,22:00:00,337.82,338.35,337.47,338.07,182694,0
2017-09-08,16:00:00,338.47,338.47,334.81,334.81,58987,0
2017-09-08,17:00:00,335.55,339.12,335.1,339.08,72742,0
2017-09-08,18:00:00,339.07,340.3,338.97,339.86,68645,0
2017-09-08,19:00:00,339.96,343.04,339.82,342.64,50316,0
2017-09-08,20:00:00,342.49,343.28,341.8,342.03,54572,0
2017-09-08,21:00:00,342.04,342.39,341.72,341.9,47478,0
2017-09-08,22:00:00,341.86,343.77,341.33,343.05,223250,0
