Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,41.568,41.697,41.331,41.43,22503,0
2017-09-05,17:00:00,41.42,41.42,41.221,41.251,61775,0
2017-09-05,18:00:00,41.241,41.361,41.173,41.241,37023,0
2017-09-05,19:00:00,41.236,41.236,40.867,40.896,51518,0
2017-09-05,20:00:00,40.896,40.896,40.728,40.857,33210,0
2017-09-05,21:00:00,40.857,40.876,40.668,40.678,42351,0
2017-09-05,22:00:00,40.682,40.737,40.486,40.619,463996,0
2017-09-06,16:00:00,40.896,40.925,40.579,40.925,106648,0
2017-09-06,17:00:00,40.916,41.114,40.896,40.974,65029,0
2017-09-06,18:00:00,40.974,40.984,40.678,40.757,48899,0
2017-09-06,19:00:00,40.757,40.896,40.648,40.876,65615,0
2017-09-06,20:00:00,40.881,41.044,40.881,40.935,69169,0
2017-09-06,21:00:00,40.945,40.964,40.638,40.708,218455,0
2017-09-06,22:00:00,40.698,40.787,40.658,40.708,441918,0
2017-09-07,16:00:00,40.668,40.787,40.491,40.501,69057,0
2017-09-07,17:00:00,40.511,40.53,39.888,40.233,149963,0
2017-09-07,18:00:00,40.214,40.322,39.818,39.906,87231,0
2017-09-07,19:00:00,39.898,40.164,39.888,40.144,53685,0
2017-09-07,20:00:00,40.139,40.139,39.906,39.926,55726,0
2017-09-07,21:00:00,39.936,40.114,39.888,40.095,60160,0
2017-09-07,22:00:00,40.1,40.114,39.986,40.065,161183,0
2017-09-08,16:00:00,40.036,40.431,39.986,40.351,48723,0
2017-09-08,17:00:00,40.371,40.579,40.243,40.461,147018,0
2017-09-08,18:00:00,40.451,40.589,40.376,40.431,73286,0
2017-09-08,19:00:00,40.431,40.609,40.381,40.569,44536,0
2017-09-08,20:00:00,40.54,40.629,40.471,40.629,43825,0
2017-09-08,21:00:00,40.619,40.837,40.619,40.718,77072,0
2017-09-08,22:00:00,40.737,40.787,40.557,40.718,598590,0
2017-09-11,16:00:00,41.331,41.805,41.231,41.697,131327,0
2017-09-11,17:00:00,41.697,42.072,41.647,41.914,157058,0
2017-09-11,18:00:00,41.964,42.21,41.844,42.152,101066,0
2017-09-11,19:00:00,42.137,42.26,42.023,42.033,70613,0
2017-09-11,20:00:00,42.063,42.112,41.919,41.974,78101,0
2017-09-11,21:00:00,41.974,42.122,41.924,41.984,136377,0
2017-09-11,22:00:00,41.974,42.162,41.964,42.092,372817,0
2017-09-12,16:00:00,42.28,42.795,42.245,42.428,76087,0
2017-09-12,17:00:00,42.428,42.607,42.389,42.527,88655,0
2017-09-12,18:00:00,42.527,42.645,42.428,42.557,85748,0
2017-09-12,19:00:00,42.557,42.695,42.557,42.645,60340,0
2017-09-12,20:00:00,42.65,42.755,42.65,42.655,70563,0
2017-09-12,21:00:00,42.645,42.715,42.517,42.715,74301,0
2017-09-12,22:00:00,42.715,42.805,42.626,42.665,215450,0
2017-09-13,16:00:00,42.617,42.795,42.517,42.636,47671,0
2017-09-13,17:00:00,42.665,42.903,42.65,42.805,39773,0
2017-09-13,18:00:00,42.795,42.814,42.695,42.71,32757,0
2017-09-13,19:00:00,42.705,42.785,42.705,42.735,35713,0
2017-09-13,20:00:00,42.735,42.755,42.577,42.636,38680,0
2017-09-13,21:00:00,42.636,42.873,42.617,42.843,48150,0
2017-09-13,22:00:00,42.843,42.843,42.755,42.785,198729,0
2017-09-14,16:00:00,42.805,43.032,42.755,42.824,51011,0
2017-09-14,17:00:00,42.795,42.883,42.725,42.775,47779,0
2017-09-14,18:00:00,42.765,42.805,42.577,42.612,51860,0
2017-09-14,19:00:00,42.61,42.65,42.527,42.547,41205,0
2017-09-14,20:00:00,42.527,42.527,42.28,42.3,45340,0
2017-09-14,21:00:00,42.3,42.448,42.3,42.359,53478,0
2017-09-14,22:00:00,42.35,42.428,42.22,42.27,224481,0
2017-09-15,16:00:00,42.24,42.438,42.191,42.404,98184,0
2017-09-15,17:00:00,42.428,42.607,42.359,42.409,40920,0
2017-09-15,18:00:00,42.404,42.527,42.379,42.399,44130,0
2017-09-15,19:00:00,42.389,42.389,42.27,42.369,40380,0
2017-09-15,20:00:00,42.359,42.418,42.33,42.379,17091,0
2017-09-15,21:00:00,42.389,42.448,42.35,42.379,38007,0
2017-09-15,22:00:00,42.379,42.577,42.35,42.527,213490,0
2017-09-18,16:00:00,42.645,42.843,42.645,42.785,25611,0
2017-09-18,17:00:00,42.814,42.932,42.745,42.865,86508,0
