Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-31,16:00:00,26.764,27.109,26.764,27.109,4784,0
2017-08-31,17:00:00,27.109,27.159,26.912,27.011,3746,0
2017-08-31,18:00:00,27.011,27.259,27.011,27.184,1417,0
2017-08-31,19:00:00,27.209,27.307,27.159,27.259,1519,0
2017-08-31,20:00:00,27.259,27.259,27.259,27.259,100,0
2017-08-31,21:00:00,27.326,27.406,27.307,27.406,9242,0
2017-08-31,22:00:00,27.406,27.456,27.356,27.456,3010,0
2017-09-01,16:00:00,27.553,27.653,27.505,27.653,7476,0
2017-09-01,17:00:00,27.653,27.703,27.603,27.653,2115,0
2017-09-01,18:00:00,27.653,27.703,27.553,27.703,2147,0
2017-09-01,19:00:00,27.653,27.703,27.603,27.703,506,0
2017-09-01,20:00:00,27.703,27.752,27.653,27.703,2025,0
2017-09-01,21:00:00,27.653,27.752,27.603,27.623,906,0
2017-09-01,22:00:00,27.703,27.703,27.553,27.653,1924,0
2017-09-05,16:00:00,27.505,27.752,27.505,27.603,5156,0
2017-09-05,17:00:00,27.653,27.752,27.603,27.703,5509,0
2017-09-05,18:00:00,27.703,27.752,27.603,27.648,2515,0
2017-09-05,19:00:00,27.553,27.553,27.307,27.406,4121,0
2017-09-05,20:00:00,27.356,27.456,27.356,27.456,606,0
2017-09-05,21:00:00,27.505,27.505,27.406,27.406,2564,0
2017-09-05,22:00:00,27.505,27.553,27.456,27.553,2120,0
2017-09-06,16:00:00,27.653,27.798,27.603,27.75,1918,0
2017-09-06,17:00:00,27.85,28.196,27.85,28.097,10954,0
2017-09-06,18:00:00,28.097,28.146,27.999,28.097,5366,0
2017-09-06,19:00:00,28.097,28.097,27.959,27.999,5165,0
2017-09-06,20:00:00,27.949,27.999,27.949,27.961,810,0
2017-09-06,21:00:00,27.999,27.999,27.9,27.949,1924,0
2017-09-06,22:00:00,27.924,27.999,27.9,27.949,2409,0
2017-09-07,16:00:00,28.048,28.146,27.703,27.752,3666,0
2017-09-07,17:00:00,27.85,27.999,27.85,27.949,1830,0
2017-09-07,18:00:00,27.999,28.038,27.949,27.949,1481,0
2017-09-07,19:00:00,28.048,28.048,27.949,27.949,1417,0
2017-09-07,20:00:00,27.949,27.999,27.949,27.949,1825,0
2017-09-07,21:00:00,27.949,27.999,27.9,27.974,1241,0
2017-09-07,22:00:00,27.999,28.097,27.949,28.048,5179,0
2017-09-08,16:00:00,28.097,28.097,27.9,27.949,1115,0
2017-09-08,17:00:00,27.85,27.85,27.703,27.752,2356,0
2017-09-08,18:00:00,27.752,27.752,27.752,27.752,1417,0
2017-09-08,19:00:00,27.801,27.9,27.603,27.9,608,0
2017-09-08,20:00:00,27.85,27.9,27.801,27.875,2437,0
2017-09-08,21:00:00,27.949,27.949,27.801,27.801,2243,0
2017-09-08,22:00:00,27.84,27.999,27.811,27.949,3001,0
2017-09-11,16:00:00,27.9,28.048,27.801,27.999,8631,0
2017-09-11,17:00:00,28.048,28.048,27.999,28.028,1519,0
2017-09-11,18:00:00,28.048,28.048,27.949,28.048,2298,0
2017-09-11,19:00:00,28.097,28.097,28.068,28.097,606,0
2017-09-11,20:00:00,28.196,28.196,28.097,28.146,810,0
2017-09-11,21:00:00,28.169,28.196,28.146,28.196,1721,0
2017-09-11,22:00:00,28.179,28.196,27.999,27.999,10225,0
