Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,91.83,92.394,91.75,92.394,202970,0
2017-09-05,17:00:00,92.414,92.573,91.84,91.938,250176,0
2017-09-05,18:00:00,91.938,92.068,91.76,91.879,157336,0
2017-09-05,19:00:00,91.87,91.87,91.056,91.334,188325,0
2017-09-05,20:00:00,91.329,91.671,91.046,91.641,201854,0
2017-09-05,21:00:00,91.641,91.84,91.334,91.364,266245,0
2017-09-05,22:00:00,91.344,91.404,90.769,90.997,905683,0
2017-09-06,16:00:00,91.423,91.691,91.294,91.651,54291,0
2017-09-06,17:00:00,91.602,91.686,90.888,91.017,163101,0
2017-09-06,18:00:00,90.997,91.106,90.273,90.58,214972,0
2017-09-06,19:00:00,90.575,91.146,90.462,91.096,143303,0
2017-09-06,20:00:00,91.126,91.364,90.412,90.947,221671,0
2017-09-06,21:00:00,90.962,91.096,90.789,90.828,215068,0
2017-09-06,22:00:00,90.838,91.017,90.759,90.838,580924,0
2017-09-07,16:00:00,90.848,91.017,90.095,90.214,148207,0
2017-09-07,17:00:00,90.273,90.352,89.232,90.288,413546,0
2017-09-07,18:00:00,90.273,90.442,89.46,89.579,202153,0
2017-09-07,19:00:00,89.589,90.045,89.569,89.976,115081,0
2017-09-07,20:00:00,89.976,90.154,89.857,90.055,123450,0
2017-09-07,21:00:00,90.025,90.154,89.936,90.105,96227,0
2017-09-07,22:00:00,90.105,90.214,89.936,90.184,641874,0
2017-09-08,16:00:00,90.293,91.354,90.224,91.225,67118,0
2017-09-08,17:00:00,91.284,92.028,91.235,91.899,150239,0
2017-09-08,18:00:00,91.914,92.078,91.482,91.71,142591,0
2017-09-08,19:00:00,91.715,91.86,91.686,91.78,82787,0
2017-09-08,20:00:00,91.75,91.85,91.463,91.79,171447,0
2017-09-08,21:00:00,91.775,92.058,91.73,91.919,144660,0
2017-09-08,22:00:00,91.879,91.899,91.622,91.701,834580,0
2017-09-11,16:00:00,92.84,93.346,92.612,93.248,164813,0
2017-09-11,17:00:00,93.286,93.604,93.228,93.584,195082,0
2017-09-11,18:00:00,93.594,93.852,93.486,93.524,173296,0
2017-09-11,19:00:00,93.524,93.762,93.476,93.644,102855,0
2017-09-11,20:00:00,93.644,93.802,93.584,93.704,81929,0
2017-09-11,21:00:00,93.704,93.742,93.416,93.446,147190,0
2017-09-11,22:00:00,93.446,93.604,93.416,93.514,534179,0
2017-09-12,16:00:00,94,94.446,93.604,94.17,100502,0
2017-09-12,17:00:00,94.17,94.199,93.734,94.08,122105,0
2017-09-12,18:00:00,94.06,94.566,93.912,94.446,99645,0
2017-09-12,19:00:00,94.456,94.566,94.358,94.417,100639,0
2017-09-12,20:00:00,94.408,94.516,94.238,94.248,93917,0
2017-09-12,21:00:00,94.248,94.318,94.03,94.288,120350,0
2017-09-12,22:00:00,94.298,94.363,94.06,94.14,554968,0
2017-09-13,16:00:00,93.762,93.762,93.153,93.248,77991,0
2017-09-13,17:00:00,93.178,93.724,92.89,93.654,310019,0
2017-09-13,18:00:00,93.654,93.694,93.168,93.238,186072,0
2017-09-13,19:00:00,93.218,93.316,92.97,93.238,104296,0
2017-09-13,20:00:00,93.238,93.268,93.113,93.178,110244,0
2017-09-13,21:00:00,93.188,93.426,93.168,93.406,123663,0
2017-09-13,22:00:00,93.396,93.457,93.248,93.456,561384,0
2017-09-14,16:00:00,93.396,93.684,93.049,93.574,81881,0
2017-09-14,17:00:00,93.564,93.669,93.078,93.093,250901,0
2017-09-14,18:00:00,93.108,93.436,93,93.336,157058,0
2017-09-14,19:00:00,93.336,93.579,93.286,93.496,99912,0
2017-09-14,20:00:00,93.466,93.505,93.248,93.306,123589,0
2017-09-14,21:00:00,93.306,93.564,93.306,93.401,164957,0
2017-09-14,22:00:00,93.406,93.456,93.248,93.286,998851,0
2017-09-15,16:00:00,93.346,93.98,93.268,93.912,359545,0
2017-09-15,17:00:00,93.927,94.01,93.366,93.426,125991,0
2017-09-15,18:00:00,93.396,93.486,93.039,93.059,103486,0
2017-09-15,19:00:00,93.049,93.336,92.94,93.306,106479,0
2017-09-15,20:00:00,93.316,93.336,92.97,92.97,113180,0
2017-09-15,21:00:00,92.955,93.138,92.93,93.049,164309,0
2017-09-15,22:00:00,93.044,93.356,93.044,93.228,3233615,0
2017-09-18,16:00:00,93.446,94.105,93.316,93.772,85211,0
2017-09-18,17:00:00,93.782,93.942,93.634,93.704,87645,0
2017-09-18,18:00:00,93.734,94.07,93.734,94.035,70168,0
2017-09-18,19:00:00,94.03,94.06,93.872,93.922,58767,0
2017-09-18,20:00:00,93.912,94.08,93.872,93.995,63254,0
2017-09-18,21:00:00,93.99,94.085,93.812,93.942,84620,0
2017-09-18,22:00:00,93.97,93.99,93.862,93.942,313187,0
