Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,51.008,51.211,50.911,51.066,8955,0
2017-09-05,17:00:00,50.998,51.066,50.602,50.669,18460,0
2017-09-05,18:00:00,50.631,50.844,50.495,50.582,29135,0
2017-09-05,19:00:00,50.612,50.612,50.021,50.041,23737,0
2017-09-05,20:00:00,50.07,50.075,49.759,50.021,28442,0
2017-09-05,21:00:00,50.002,50.148,49.906,50.108,48144,0
2017-09-05,22:00:00,50.099,50.341,50.07,50.176,279083,0
2017-09-06,16:00:00,50.282,50.602,50.041,50.602,20580,0
2017-09-06,17:00:00,50.65,51.462,50.65,51.356,41983,0
2017-09-06,18:00:00,51.337,51.337,50.931,50.988,42697,0
2017-09-06,19:00:00,50.96,51.125,50.941,50.941,14016,0
2017-09-06,20:00:00,50.931,51.279,50.931,51.066,16478,0
2017-09-06,21:00:00,51.048,51.298,51.048,51.298,36743,0
2017-09-06,22:00:00,51.25,51.356,51.048,51.172,160462,0
2017-09-07,16:00:00,51.211,51.472,50.988,51.085,10870,0
2017-09-07,17:00:00,51.162,51.492,50.699,50.709,29597,0
2017-09-07,18:00:00,50.727,51.056,50.679,50.931,34562,0
2017-09-07,19:00:00,50.873,50.931,50.622,50.853,50249,0
2017-09-07,20:00:00,50.853,50.863,50.476,50.612,62802,0
2017-09-07,21:00:00,50.602,50.747,50.592,50.669,67592,0
2017-09-07,22:00:00,50.679,50.719,50.495,50.65,167974,0
2017-09-08,16:00:00,50.592,50.887,50.341,50.641,20532,0
2017-09-08,17:00:00,50.699,50.911,50.669,50.766,50410,0
2017-09-08,18:00:00,50.756,50.883,50.65,50.659,52674,0
2017-09-08,19:00:00,50.659,50.689,50.456,50.567,41967,0
2017-09-08,20:00:00,50.56,50.641,50.466,50.525,43189,0
2017-09-08,21:00:00,50.53,50.796,50.505,50.612,55318,0
2017-09-08,22:00:00,50.641,50.719,50.544,50.689,109751,0
2017-09-11,16:00:00,50.766,51.333,50.766,51.028,20372,0
2017-09-11,17:00:00,51.066,51.308,50.979,51.085,138497,0
2017-09-11,18:00:00,51.105,51.303,50.844,51.139,46359,0
2017-09-11,19:00:00,51.139,51.279,51.048,51.105,44637,0
2017-09-11,20:00:00,51.066,51.172,50.931,50.951,33239,0
2017-09-11,21:00:00,50.96,51.048,50.852,50.883,38323,0
2017-09-11,22:00:00,50.884,50.96,50.766,50.844,81182,0
2017-09-12,16:00:00,50.659,51.269,50.418,51.061,51693,0
2017-09-12,17:00:00,51.061,51.472,50.65,50.65,79855,0
2017-09-12,18:00:00,50.645,50.805,50.254,50.562,48062,0
2017-09-12,19:00:00,50.562,50.844,50.525,50.631,42091,0
2017-09-12,20:00:00,50.641,50.824,50.592,50.727,40698,0
2017-09-12,21:00:00,50.709,50.709,50.225,50.235,55688,0
2017-09-12,22:00:00,50.235,50.282,49.993,50.215,138116,0
2017-09-13,16:00:00,50.195,50.602,50.079,50.389,11772,0
2017-09-13,17:00:00,50.379,50.674,50.215,50.408,38479,0
2017-09-13,18:00:00,50.369,50.669,50.369,50.544,59327,0
2017-09-13,19:00:00,50.582,50.931,50.505,50.863,46682,0
2017-09-13,20:00:00,50.863,51.028,50.699,50.737,51686,0
2017-09-13,21:00:00,50.679,50.709,50.495,50.592,49700,0
2017-09-13,22:00:00,50.631,50.747,50.572,50.602,146410,0
2017-09-14,16:00:00,50.597,51.184,50.597,51.048,18521,0
2017-09-14,17:00:00,51.067,51.252,51.008,51.204,62565,0
2017-09-14,18:00:00,51.204,51.684,51.126,51.654,94691,0
2017-09-14,19:00:00,51.654,51.869,51.332,51.35,63616,0
2017-09-14,20:00:00,51.35,51.781,51.224,51.703,52604,0
2017-09-14,21:00:00,51.664,51.811,51.302,51.596,74880,0
2017-09-14,22:00:00,51.586,51.899,51.458,51.86,179755,0
2017-09-15,16:00:00,51.831,51.831,51.508,51.508,54401,0
2017-09-15,17:00:00,51.537,51.556,50.744,50.988,46598,0
2017-09-15,18:00:00,50.979,51.262,50.93,50.93,35193,0
2017-09-15,19:00:00,50.969,51.527,50.93,51.322,54481,0
2017-09-15,20:00:00,51.302,51.37,51.146,51.224,38786,0
2017-09-15,21:00:00,51.224,51.37,51.155,51.282,62637,0
2017-09-15,22:00:00,51.262,51.615,51.204,51.42,399486,0
2017-09-18,16:00:00,49.872,50.577,49.54,50.401,110653,0
2017-09-18,17:00:00,50.386,50.499,49.643,49.657,112357,0
2017-09-18,18:00:00,49.705,50.098,49.51,49.97,98787,0
2017-09-18,19:00:00,50,50.147,49.706,49.834,92819,0
2017-09-18,20:00:00,49.853,49.912,49.736,49.902,59761,0
2017-09-18,21:00:00,49.872,50.019,49.774,49.774,69981,0
2017-09-18,22:00:00,49.774,49.892,49.711,49.755,294400,0
2017-09-19,16:00:00,49.774,49.843,49.011,49.059,26511,0
2017-09-19,17:00:00,49.05,49.471,48.815,49.226,78313,0
2017-09-19,18:00:00,49.236,49.402,48.835,49.129,75779,0
2017-09-19,19:00:00,49.129,49.236,49.011,49.011,38754,0
2017-09-19,20:00:00,49.021,49.064,48.903,48.991,46817,0
2017-09-19,21:00:00,48.981,49.158,48.953,49.079,92715,0
2017-09-19,22:00:00,49.079,49.079,48.943,49.011,413307,0
2017-09-20,16:00:00,48.913,49.197,48.873,49.099,46733,0
2017-09-20,17:00:00,49.079,49.207,48.747,48.961,58815,0
2017-09-20,18:00:00,48.991,49.011,48.649,48.776,45265,0
2017-09-20,19:00:00,48.747,48.933,48.6,48.845,52413,0
2017-09-20,20:00:00,48.845,49.138,48.845,49.001,50806,0
