Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-11,16:00:00,27.31,27.31,27.31,27.31,847,0
2017-08-11,18:00:00,26.9754,27.12,26.9754,27.12,430,0
2017-08-11,19:00:00,27.048,27.1663,27.048,27.1663,300,0
2017-08-11,20:00:00,27.0896,27.3,27.0896,27.26,1527,0
2017-08-11,21:00:00,27.2385,27.2598,27.16,27.25,2033,0
2017-08-11,22:00:00,27.06,27.2139,27.0501,27.0501,2041,0
2017-08-14,16:00:00,27.15,27.15,27.15,27.15,710,0
2017-08-14,17:00:00,27.26,27.279,27.06,27.279,3255,0
2017-08-14,18:00:00,27.27,27.28,27.26,27.26,764,0
2017-08-14,20:00:00,27.26,27.26,27.24,27.24,1094,0
2017-08-14,21:00:00,27.2,27.2,27.19,27.19,400,0
2017-08-14,22:00:00,27.19,27.19,27.11,27.11,3621,0
2017-08-15,16:00:00,27.39,27.39,27.09,27.09,5168,0
2017-08-15,17:00:00,27.3899,27.3899,27.1,27.37,980,0
2017-08-15,19:00:00,27.2363,27.2363,27.11,27.1355,1000,0
2017-08-15,20:00:00,27.13,27.16,27.1,27.16,1400,0
2017-08-15,21:00:00,27.16,27.275,27.16,27.275,920,0
2017-08-15,22:00:00,27.3158,27.3158,27.16,27.16,475,0
2017-08-16,16:00:00,27.29,27.32,27.25,27.32,4957,0
2017-08-16,18:00:00,27.2641,27.2641,27.2604,27.2604,566,0
2017-08-16,19:00:00,27.255,27.255,27.255,27.255,150,0
2017-08-16,21:00:00,27.2326,27.4,27.2326,27.2812,1320,0
2017-08-16,22:00:00,27.23,27.23,27.14,27.14,2372,0
2017-08-17,16:00:00,27.23,27.23,27.23,27.23,770,0
2017-08-17,17:00:00,27.2061,27.2061,27.12,27.1954,1430,0
2017-08-17,18:00:00,27.11,27.19,27.08,27.19,8005,0
2017-08-17,20:00:00,27.1851,27.2,27.1043,27.2,2957,0
2017-08-17,21:00:00,27.09,27.2671,27.09,27.2,3784,0
2017-08-17,22:00:00,27.145,27.28,27.09,27.27,6742,0
2017-08-18,16:00:00,27.27,27.27,27.27,27.27,1033,0
2017-08-18,17:00:00,27.285,27.29,27.19,27.29,3800,0
2017-08-18,19:00:00,27.19,27.3,27.19,27.2702,1360,0
2017-08-18,20:00:00,27.3,27.3,27.28,27.28,351,0
2017-08-18,21:00:00,27.3,27.3,27.1383,27.195,819,0
2017-08-18,22:00:00,27.3,27.42,27.1952,27.4,1260,0
2017-08-21,16:00:00,27.42,27.42,27.16,27.16,2591,0
2017-08-21,17:00:00,27.42,27.42,27.42,27.42,100,0
2017-08-21,18:00:00,27.4,27.4,27.4,27.4,200,0
2017-08-21,19:00:00,27.1795,27.3207,27.1795,27.3207,545,0
2017-08-21,20:00:00,27.4,27.4,27.39,27.4,700,0
2017-08-21,21:00:00,27.26,27.26,27.26,27.26,100,0
2017-08-21,22:00:00,27.4,27.4599,27.3822,27.41,2070,0
2017-08-22,16:00:00,27.47,27.47,27.47,27.47,1027,0
2017-08-22,17:00:00,27.45,27.47,27.45,27.45,1200,0
2017-08-22,18:00:00,27.45,27.46,27.401,27.401,1200,0
2017-08-22,19:00:00,27.4,27.469,27.4,27.469,1561,0
2017-08-22,20:00:00,27.4,27.41,27.4,27.4,428,0
2017-08-22,21:00:00,27.23,27.35,27.18,27.1801,4676,0
2017-08-22,22:00:00,27.265,27.35,27.25,27.35,1921,0
2017-08-23,16:00:00,27.32,27.32,27.32,27.32,1248,0
2017-08-23,17:00:00,27.3869,27.3869,27.3869,27.3869,470,0
2017-08-23,19:00:00,27.3939,27.3939,27.3301,27.35,7333,0
2017-08-23,20:00:00,27.385,27.385,27.32,27.33,2329,0
2017-08-23,22:00:00,27.33,27.33,27.3,27.3,1200,0
2017-08-24,16:00:00,27.41,27.41,27.41,27.41,765,0
2017-08-24,17:00:00,27.23,27.255,27.18,27.22,7744,0
2017-08-24,18:00:00,27.23,27.23,27.17,27.1864,1653,0
2017-08-24,19:00:00,27.2167,27.2167,27.2167,27.2167,117,0
2017-08-24,22:00:00,27.16,27.2112,27.14,27.14,3945,0
2017-08-25,16:00:00,27.2,27.215,27.17,27.215,3163,0
2017-08-25,17:00:00,27.2388,27.2388,27.2388,27.2388,115,0
2017-08-25,18:00:00,27.26,27.26,27.239,27.25,1437,0
2017-08-25,19:00:00,27.1976,27.208,27.1976,27.208,1749,0
2017-08-25,21:00:00,27.25,27.258,27.25,27.258,1049,0
2017-08-25,22:00:00,27.24,27.24,27.18,27.19,1860,0
2017-08-28,16:00:00,27.25,27.25,27.25,27.25,1270,0
2017-08-28,17:00:00,27.24,27.24,27.21,27.21,2467,0
2017-08-28,18:00:00,27.25,27.25,27.2,27.2277,730,0
2017-08-28,19:00:00,27.2,27.25,27.2,27.25,3400,0
2017-08-28,20:00:00,27.245,27.245,27.245,27.245,1000,0
2017-08-28,21:00:00,27.2697,27.2697,27.2315,27.2315,1620,0
2017-08-28,22:00:00,27.238,27.27,27.22,27.25,2387,0
2017-08-29,16:00:00,27.23,27.23,27.19,27.19,1267,0
2017-08-29,17:00:00,27.19,27.2,27.19,27.2,735,0
2017-08-29,18:00:00,27.2,27.2,27.1854,27.2,2277,0
2017-08-29,19:00:00,27.24,27.24,27.24,27.24,100,0
2017-08-29,20:00:00,27.2446,27.27,27.2049,27.24,1530,0
2017-08-29,21:00:00,27.24,27.267,27.2,27.2,4623,0
2017-08-29,22:00:00,27.17,27.27,27.13,27.27,6188,0
2017-08-30,16:00:00,26.99,26.99,26.99,26.99,989,0
2017-08-30,18:00:00,26.97,27.2,26.97,27.2,860,0
2017-08-30,19:00:00,26.87,26.9117,26.84,26.85,4800,0
2017-08-30,20:00:00,27.2,27.2,27.2,27.2,100,0
2017-08-30,21:00:00,26.98,27.14,26.86,27.01,4009,0
2017-08-30,22:00:00,27.11,27.17,26.89,27.09,3781,0
2017-08-31,16:00:00,27.05,27.05,27.05,27.05,855,0
2017-08-31,18:00:00,26.95,26.99,26.94,26.94,915,0
2017-08-31,19:00:00,27.03,27.03,27.03,27.03,100,0
2017-08-31,20:00:00,27.03,27.05,27,27.05,554,0
2017-08-31,21:00:00,27.03,27.05,26.93,27.03,2655,0
2017-08-31,22:00:00,27.03,27.05,26.91,27.04,7240,0
2017-09-01,16:00:00,27.06,27.06,27.0041,27.0041,884,0
2017-09-01,17:00:00,27.0041,27.0458,27.0008,27.0008,403,0
2017-09-01,18:00:00,26.941,26.9852,26.941,26.97,1338,0
2017-09-01,19:00:00,26.915,26.915,26.915,26.915,578,0
2017-09-01,20:00:00,26.89,26.89,26.89,26.89,450,0
2017-09-01,21:00:00,26.89,26.89,26.89,26.89,200,0
2017-09-01,22:00:00,26.8956,26.95,26.8956,26.95,326,0
2017-09-05,16:00:00,26.98,26.98,26.98,26.98,449,0
2017-09-05,17:00:00,26.82,26.9334,26.82,26.82,1480,0
2017-09-05,20:00:00,26.8991,26.8991,26.8991,26.8991,1000,0
2017-09-05,21:00:00,26.83,26.8597,26.83,26.8597,580,0
