Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,12.05,12.1,12.05,12.1,289,0
2017-09-01,17:00:00,12.15,12.5,12.15,12.5,18700,0
2017-09-01,18:00:00,12.5,12.5,12.45,12.475,5500,0
2017-09-01,19:00:00,12.45,12.45,12.25,12.25,11581,0
2017-09-01,20:00:00,12.25,12.25,12.075,12.1,11161,0
2017-09-01,21:00:00,12.1,12.2,12.1,12.2,15769,0
2017-09-01,22:00:00,12.2,12.2,12.125,12.15,22268,0
2017-09-05,16:00:00,12.2,12.25,12.15,12.175,6931,0
2017-09-05,17:00:00,12.2,12.2,12.125,12.125,10919,0
2017-09-05,18:00:00,12.15,12.15,12.05,12.1,2989,0
2017-09-05,19:00:00,12.05,12.15,12,12.15,7400,0
2017-09-05,20:00:00,12.05,12.075,11.975,11.975,3600,0
2017-09-05,21:00:00,12,12,11.975,12,8143,0
2017-09-05,22:00:00,12,12.2,11.975,12.1,15484,0
2017-09-06,16:00:00,12.15,12.15,12.05,12.125,4500,0
2017-09-06,17:00:00,12.15,12.15,12.075,12.075,7134,0
2017-09-06,18:00:00,12.1,12.15,12.05,12.1,6900,0
2017-09-06,19:00:00,12.05,12.05,12,12.05,2700,0
2017-09-06,20:00:00,12.05,12.05,12,12,1500,0
2017-09-06,21:00:00,12,12.05,11.95,12,4592,0
2017-09-06,22:00:00,12,12.1,11.95,12.05,13682,0
2017-09-07,16:00:00,12.1,12.15,12.1,12.1,19789,0
2017-09-07,17:00:00,12.1,12.2,12.1,12.15,20264,0
2017-09-07,18:00:00,12.15,12.2,12.1,12.175,22342,0
2017-09-07,19:00:00,12.175,12.25,12.125,12.25,32322,0
2017-09-07,20:00:00,12.2,12.25,12.175,12.25,5759,0
2017-09-07,21:00:00,12.312,12.55,12.312,12.55,2640,0
2017-09-07,22:00:00,12.6,12.75,12.6,12.7,7577,0
2017-09-08,16:00:00,12.5,12.575,12.45,12.55,6721,0
2017-09-08,17:00:00,12.55,12.6,12.525,12.55,4907,0
2017-09-08,18:00:00,12.6,12.6,12.5,12.55,4100,0
2017-09-08,19:00:00,12.6,12.7,12.5,12.5,5712,0
2017-09-08,20:00:00,12.4,12.425,12.3,12.4,8904,0
2017-09-08,21:00:00,12.4,12.5,12.4,12.5,2300,0
2017-09-08,22:00:00,12.5,12.5,12.45,12.5,7762,0
2017-09-11,16:00:00,12.3,12.4,12.15,12.2,32104,0
2017-09-11,17:00:00,12.2,12.5,12.2,12.5,6233,0
2017-09-11,18:00:00,12.5,12.75,12.5,12.7,2861,0
2017-09-11,19:00:00,12.75,12.85,12.7,12.85,6574,0
2017-09-11,20:00:00,12.75,12.85,12.75,12.8,1200,0
2017-09-11,21:00:00,12.85,12.85,12.75,12.85,6813,0
2017-09-11,22:00:00,12.85,12.85,12.8,12.85,7893,0
2017-09-12,16:00:00,12.85,12.85,12.7,12.75,4562,0
2017-09-12,17:00:00,12.7,12.75,12.65,12.65,1800,0
2017-09-12,18:00:00,12.65,12.7,12.65,12.7,1200,0
2017-09-12,19:00:00,12.7,12.75,12.7,12.75,4047,0
2017-09-12,20:00:00,12.75,12.75,12.6,12.6,13919,0
2017-09-12,21:00:00,12.65,12.65,12.6,12.6,300,0
2017-09-12,22:00:00,12.7,12.75,12.65,12.65,3702,0
2017-09-13,16:00:00,12.6,12.7,12.6,12.65,2694,0
2017-09-13,17:00:00,12.7,12.8,12.45,12.65,7618,0
2017-09-13,18:00:00,12.6,12.65,12.6,12.625,1100,0
2017-09-13,19:00:00,12.65,12.675,12.6,12.65,5300,0
2017-09-13,20:00:00,12.65,12.65,12.6,12.65,5500,0
2017-09-13,21:00:00,12.65,12.65,12.6,12.6,6499,0
2017-09-13,22:00:00,12.6,12.7,12.6,12.65,16163,0
2017-09-14,16:00:00,12.7,12.75,12.65,12.7,1800,0
2017-09-14,17:00:00,12.74,12.75,12.6,12.65,18346,0
2017-09-14,18:00:00,12.65,12.7,12.6,12.7,8799,0
2017-09-14,19:00:00,12.7,12.85,12.65,12.8,10500,0
2017-09-14,20:00:00,12.8,12.8,12.75,12.8,2399,0
2017-09-14,21:00:00,12.8,12.8,12.76,12.8,2500,0
2017-09-14,22:00:00,12.8,12.85,12.75,12.8,20239,0
2017-09-15,16:00:00,12.8,12.8,12.65,12.7,31998,0
2017-09-15,17:00:00,12.7,12.75,12.7,12.7,3200,0
2017-09-15,18:00:00,12.7,12.7,12.65,12.65,3905,0
2017-09-15,19:00:00,12.7,12.75,12.625,12.625,8682,0
2017-09-15,20:00:00,12.65,12.7,12.65,12.675,8400,0
