Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,15.26,15.719,15.21,15.71,462082,0
2017-09-05,17:00:00,15.71,15.745,15.645,15.72,413323,0
2017-09-05,18:00:00,15.715,15.81,15.67,15.679,348650,0
2017-09-05,19:00:00,15.67,15.67,15.42,15.44,311961,0
2017-09-05,20:00:00,15.43,15.61,15.43,15.55,332997,0
2017-09-05,21:00:00,15.56,15.65,15.56,15.5945,169975,0
2017-09-05,22:00:00,15.59,15.665,15.55,15.62,427248,0
2017-09-06,16:00:00,15.68,15.96,15.68,15.92,484751,0
2017-09-06,17:00:00,15.93,15.93,15.72,15.83,392957,0
2017-09-06,18:00:00,15.835,15.865,15.75,15.78,187286,0
2017-09-06,19:00:00,15.77,15.82,15.75,15.78,132024,0
2017-09-06,20:00:00,15.78,15.88,15.72,15.725,305895,0
2017-09-06,21:00:00,15.73,15.7655,15.68,15.75,184576,0
2017-09-06,22:00:00,15.75,15.845,15.74,15.8,565843,0
2017-09-07,16:00:00,15.86,16.01,15.8301,15.995,261812,0
2017-09-07,17:00:00,15.9932,16,15.86,15.91,299722,0
2017-09-07,18:00:00,15.9034,15.94,15.865,15.905,323398,0
2017-09-07,19:00:00,15.91,15.95,15.87,15.941,160399,0
2017-09-07,20:00:00,15.95,15.96,15.91,15.96,149534,0
2017-09-07,21:00:00,15.96,15.975,15.94,15.96,142859,0
2017-09-07,22:00:00,15.97,16.02,15.94,15.98,974972,0
2017-09-08,16:00:00,15.98,16.22,15.915,16.19,343277,0
2017-09-08,17:00:00,16.18,16.3,16.09,16.125,454444,0
2017-09-08,18:00:00,16.13,16.16,16.03,16.03,242113,0
2017-09-08,19:00:00,16.035,16.07,15.99,16.06,213437,0
2017-09-08,20:00:00,16.06,16.11,16.05,16.09,185135,0
2017-09-08,21:00:00,16.09,16.13,16.08,16.09,172263,0
2017-09-08,22:00:00,16.1,16.14,16.065,16.12,486132,0
2017-09-11,16:00:00,16.27,16.49,16.2,16.2738,324644,0
2017-09-11,17:00:00,16.28,16.3799,16.17,16.1838,420745,0
2017-09-11,18:00:00,16.19,16.305,16.15,16.2934,295236,0
2017-09-11,19:00:00,16.29,16.36,16.28,16.33,181731,0
2017-09-11,20:00:00,16.33,16.34,16.29,16.335,137199,0
2017-09-11,21:00:00,16.335,16.36,16.26,16.2702,308464,0
2017-09-11,22:00:00,16.2708,16.36,16.175,16.34,973143,0
2017-09-12,16:00:00,16.19,16.24,15.815,16.02,816929,0
2017-09-12,17:00:00,16.02,16.1293,15.9261,16.082,544769,0
2017-09-12,18:00:00,16.08,16.14,16.03,16.1048,247128,0
2017-09-12,19:00:00,16.1,16.2,16.09,16.1201,265687,0
2017-09-12,20:00:00,16.13,16.18,16.12,16.165,290985,0
2017-09-12,21:00:00,16.17,16.25,16.16,16.24,304792,0
2017-09-12,22:00:00,16.25,16.26,16.2,16.25,544718,0
2017-09-13,16:00:00,16.29,16.53,16.14,16.505,478401,0
2017-09-13,17:00:00,16.5,16.525,16.37,16.47,667727,0
2017-09-13,18:00:00,16.48,16.63,16.47,16.62,526320,0
2017-09-13,19:00:00,16.63,16.84,16.62,16.79,634405,0
2017-09-13,20:00:00,16.79,16.86,16.7434,16.85,368403,0
2017-09-13,21:00:00,16.86,16.89,16.82,16.8212,341774,0
2017-09-13,22:00:00,16.83,16.89,16.82,16.87,712525,0
2017-09-14,16:00:00,16.85,16.88,16.29,16.35,594489,0
