Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,108.83,109.2,108.49,108.9,33408,0
2017-09-05,17:00:00,108.92,109.38,108.54,108.88,74496,0
2017-09-05,18:00:00,108.86,108.94,108.34,108.39,56855,0
2017-09-05,19:00:00,108.37,108.52,107.95,108.04,27779,0
2017-09-05,20:00:00,108.03,108.29,107.89,107.96,35702,0
2017-09-05,21:00:00,107.94,108.06,107.67,107.78,51924,0
2017-09-05,22:00:00,107.77,107.92,107.68,107.86,190450,0
2017-09-06,16:00:00,108.39,108.39,106.33,106.78,66483,0
2017-09-06,17:00:00,106.77,107.94,106.62,107.53,83431,0
2017-09-06,18:00:00,107.48,107.76,107.04,107.12,38491,0
2017-09-06,19:00:00,107.13,107.59,107.12,107.45,31000,0
2017-09-06,20:00:00,107.44,107.56,107.05,107.34,31281,0
2017-09-06,21:00:00,107.39,107.39,107.07,107.23,35866,0
2017-09-06,22:00:00,107.23,107.46,107.23,107.28,135441,0
2017-09-07,16:00:00,107.27,109.46,107.27,109.31,140219,0
2017-09-07,17:00:00,109.32,110.28,109.17,110.01,167415,0
2017-09-07,18:00:00,110.1,110.31,109.78,110.29,86156,0
2017-09-07,19:00:00,110.29,110.53,109.91,110.49,68091,0
2017-09-07,20:00:00,110.45,110.58,109.63,109.72,157668,0
2017-09-07,21:00:00,109.75,110.22,109.75,110.14,58868,0
2017-09-07,22:00:00,110.12,110.18,109.53,109.86,271862,0
2017-09-08,16:00:00,109.33,110.07,108.99,110.07,32631,0
2017-09-08,17:00:00,110.18,110.18,109.65,109.98,30679,0
2017-09-08,18:00:00,109.98,110.11,109.78,110.02,30935,0
2017-09-08,19:00:00,110.03,110.2,109.84,110.12,24383,0
2017-09-08,20:00:00,110.07,110.07,109.77,110,28790,0
2017-09-08,21:00:00,109.99,110.38,109.92,110.3,27156,0
2017-09-08,22:00:00,110.28,110.64,110.22,110.31,138706,0
2017-09-11,16:00:00,111.25,112.57,110.25,111.71,51011,0
2017-09-11,17:00:00,111.78,111.95,111.45,111.77,41358,0
2017-09-11,18:00:00,111.73,112.37,111.64,112.37,52732,0
