Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,47.78,47.8,47.433,47.493,89814,0
2017-09-05,17:00:00,47.508,47.641,47.473,47.562,81933,0
2017-09-05,18:00:00,47.581,47.726,47.542,47.542,45166,0
2017-09-05,19:00:00,47.513,47.513,47.145,47.314,85929,0
2017-09-05,20:00:00,47.285,47.363,47.165,47.314,120240,0
2017-09-05,21:00:00,47.314,47.314,47.066,47.066,63176,0
2017-09-05,22:00:00,47.076,47.314,46.957,47.175,640056,0
2017-09-06,16:00:00,47.383,47.552,47.275,47.523,27269,0
2017-09-06,17:00:00,47.542,47.621,47.41,47.533,44999,0
2017-09-06,18:00:00,47.533,47.557,47.275,47.334,78564,0
2017-09-06,19:00:00,47.344,47.533,47.265,47.503,56216,0
2017-09-06,20:00:00,47.523,47.621,47.513,47.562,76023,0
2017-09-06,21:00:00,47.562,47.631,47.463,47.473,131778,0
2017-09-06,22:00:00,47.473,47.493,47.353,47.363,550706,0
2017-09-07,16:00:00,47.304,47.304,46.769,46.769,61492,0
2017-09-07,17:00:00,46.769,46.799,46.333,46.531,268217,0
2017-09-07,18:00:00,46.541,46.561,45.995,46.065,184285,0
2017-09-07,19:00:00,46.055,46.095,45.708,45.787,258894,0
2017-09-07,20:00:00,45.787,45.946,45.688,45.827,89563,0
2017-09-07,21:00:00,45.827,46.095,45.757,46.005,156572,0
2017-09-07,22:00:00,46.005,46.104,45.995,46.035,307356,0
2017-09-08,16:00:00,45.966,46.223,45.857,46.025,34486,0
2017-09-08,17:00:00,46.065,46.501,46.065,46.441,45935,0
2017-09-08,18:00:00,46.461,46.58,46.402,46.481,59408,0
2017-09-08,19:00:00,46.466,46.64,46.402,46.58,100330,0
2017-09-08,20:00:00,46.571,46.61,46.422,46.61,68749,0
2017-09-08,21:00:00,46.6,46.828,46.595,46.779,57223,0
2017-09-08,22:00:00,46.779,46.779,46.63,46.709,307237,0
2017-09-11,16:00:00,47.393,47.601,47.155,47.328,71284,0
2017-09-11,17:00:00,47.344,47.483,47.255,47.443,66218,0
2017-09-11,18:00:00,47.463,47.721,47.413,47.671,71912,0
2017-09-11,19:00:00,47.661,47.829,47.572,47.721,56468,0
2017-09-11,20:00:00,47.721,47.771,47.572,47.621,57021,0
2017-09-11,21:00:00,47.621,47.701,47.513,47.572,91671,0
2017-09-11,22:00:00,47.562,47.721,47.542,47.631,375494,0
2017-09-12,16:00:00,47.839,48.197,47.839,48.018,42285,0
2017-09-12,17:00:00,48.028,48.097,47.78,47.829,82729,0
2017-09-12,18:00:00,47.829,47.869,47.691,47.869,81647,0
2017-09-12,19:00:00,47.879,48.018,47.869,47.999,48543,0
2017-09-12,20:00:00,48.009,48.107,47.984,48.047,68864,0
2017-09-12,21:00:00,48.028,48.037,47.859,47.999,50767,0
2017-09-12,22:00:00,48.009,48.127,47.999,48.117,273480,0
2017-09-13,16:00:00,47.929,48.097,47.661,47.849,132071,0
2017-09-13,17:00:00,47.854,48.107,47.849,48.018,119734,0
2017-09-13,18:00:00,48.009,48.067,47.909,48.018,91827,0
2017-09-13,19:00:00,48.009,48.047,47.929,47.969,50803,0
2017-09-13,20:00:00,47.979,47.979,47.839,47.894,47475,0
2017-09-13,21:00:00,47.894,48.117,47.889,48.092,62714,0
2017-09-13,22:00:00,48.087,48.107,47.959,48.057,347966,0
2017-09-14,16:00:00,48.067,48.067,47.899,48.047,28974,0
2017-09-14,17:00:00,48.047,48.047,47.761,47.79,62599,0
2017-09-14,18:00:00,47.79,47.849,47.681,47.721,49223,0
2017-09-14,19:00:00,47.721,47.879,47.691,47.78,69730,0
2017-09-14,20:00:00,47.771,47.771,47.533,47.552,78700,0
2017-09-14,21:00:00,47.552,47.621,47.542,47.552,75620,0
2017-09-14,22:00:00,47.562,47.681,47.523,47.651,314148,0
2017-09-15,16:00:00,47.473,47.999,47.423,47.542,246656,0
2017-09-15,17:00:00,47.542,47.621,47.363,47.458,103073,0
2017-09-15,18:00:00,47.453,47.591,47.423,47.591,61885,0
2017-09-15,19:00:00,47.581,47.701,47.533,47.676,67641,0
2017-09-15,20:00:00,47.681,47.809,47.651,47.78,66218,0
2017-09-15,21:00:00,47.771,47.949,47.761,47.829,165510,0
2017-09-15,22:00:00,47.824,48.028,47.78,48.018,340457,0
2017-09-18,16:00:00,48.107,48.256,48.057,48.077,17619,0
2017-09-18,17:00:00,48.097,48.247,48.047,48.222,51637,0
2017-09-18,18:00:00,48.207,48.503,48.187,48.395,58939,0
2017-09-18,19:00:00,48.395,48.523,48.395,48.513,31102,0
2017-09-18,20:00:00,48.513,48.563,48.445,48.543,18346,0
2017-09-18,21:00:00,48.543,48.623,48.523,48.603,43380,0
2017-09-18,22:00:00,48.593,48.688,48.513,48.553,378815,0
2017-09-19,16:00:00,48.603,48.911,48.48,48.851,32137,0
2017-09-19,17:00:00,48.861,49.019,48.811,48.811,296371,0
2017-09-19,18:00:00,48.801,48.901,48.693,48.871,69469,0
2017-09-19,19:00:00,48.861,49.049,48.841,49.009,85776,0
2017-09-19,20:00:00,49.019,49.024,48.921,48.96,41908,0
2017-09-19,21:00:00,48.96,49.009,48.921,48.96,73556,0
2017-09-19,22:00:00,48.95,48.979,48.831,48.841,330991,0
2017-09-20,16:00:00,49.029,49.059,48.861,48.901,23679,0
2017-09-20,17:00:00,48.891,49.119,48.752,49.119,85607,0
2017-09-20,18:00:00,49.129,49.267,49.099,49.237,63027,0
2017-09-20,19:00:00,49.257,49.257,49.109,49.188,44455,0
2017-09-20,20:00:00,49.188,49.227,49.089,49.089,64384,0
2017-09-20,21:00:00,49.109,49.625,49.109,49.545,74486,0
2017-09-20,22:00:00,49.545,49.555,49.207,49.257,411184,0
2017-09-21,16:00:00,49.297,49.475,49.069,49.183,26268,0
2017-09-21,17:00:00,49.178,49.247,49.064,49.119,52912,0
2017-09-21,18:00:00,49.119,49.397,49.099,49.287,64943,0
2017-09-21,19:00:00,49.307,49.367,49.198,49.198,32349,0
2017-09-21,20:00:00,49.198,49.322,49.178,49.307,56091,0
2017-09-21,21:00:00,49.317,49.535,49.282,49.535,94484,0
2017-09-21,22:00:00,49.525,49.773,49.525,49.605,506401,0
2017-09-22,16:00:00,49.377,49.495,49.297,49.436,32521,0
2017-09-22,17:00:00,49.436,49.525,49.307,49.525,139375,0
2017-09-22,18:00:00,49.535,49.728,49.49,49.723,44330,0
2017-09-22,19:00:00,49.723,49.768,49.615,49.654,49716,0
2017-09-22,20:00:00,49.654,49.693,49.625,49.644,32797,0
2017-09-22,21:00:00,49.649,49.664,49.595,49.659,38347,0
2017-09-22,22:00:00,49.659,49.783,49.629,49.693,185712,0
2017-09-25,16:00:00,49.535,49.813,49.535,49.803,16557,0
2017-09-25,17:00:00,49.803,50.1,49.793,49.793,59470,0
2017-09-25,18:00:00,49.803,49.902,49.605,49.793,91205,0
2017-09-25,19:00:00,49.803,49.843,49.693,49.833,34626,0
