Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,5.3931,5.3931,5.3647,5.3807,111716,0
2017-09-05,17:00:00,5.3836,5.3837,5.3505,5.3553,234093,0
2017-09-05,18:00:00,5.3553,5.3553,5.3458,5.3458,32716,0
2017-09-05,19:00:00,5.3505,5.3552,5.3269,5.3269,110361,0
2017-09-05,20:00:00,5.3316,5.3364,5.3269,5.3363,67235,0
2017-09-05,21:00:00,5.3348,5.3348,5.3174,5.3174,98571,0
2017-09-05,22:00:00,5.3222,5.3269,5.3174,5.3269,97179,0
2017-09-06,16:00:00,5.3458,5.3458,5.339,5.3458,29956,0
2017-09-06,17:00:00,5.3458,5.3647,5.3365,5.3461,75518,0
2017-09-06,18:00:00,5.3471,5.3553,5.3458,5.3458,39594,0
2017-09-06,19:00:00,5.3553,5.3553,5.3458,5.3488,14978,0
2017-09-06,20:00:00,5.3505,5.3553,5.3458,5.3553,29354,0
2017-09-06,21:00:00,5.3553,5.3741,5.3505,5.3661,69145,0
2017-09-06,22:00:00,5.3695,5.3837,5.3647,5.3647,95055,0
2017-09-07,16:00:00,5.3837,5.3837,5.3683,5.3742,22958,0
2017-09-07,17:00:00,5.3647,5.3742,5.3553,5.3742,31121,0
2017-09-07,18:00:00,5.3742,5.3837,5.3647,5.3647,28081,0
2017-09-07,19:00:00,5.3726,5.3742,5.3647,5.3647,45863,0
2017-09-07,20:00:00,5.3695,5.3742,5.3647,5.3733,16067,0
2017-09-07,21:00:00,5.3695,5.3931,5.3647,5.3827,102719,0
2017-09-07,22:00:00,5.3789,5.3931,5.3742,5.3931,107197,0
2017-09-08,16:00:00,5.3837,5.3837,5.3647,5.3743,73748,0
2017-09-08,17:00:00,5.3742,5.3931,5.3742,5.3774,105465,0
2017-09-08,18:00:00,5.3837,5.3837,5.3742,5.3775,20934,0
2017-09-08,19:00:00,5.3742,5.3837,5.3742,5.3742,33042,0
2017-09-08,20:00:00,5.3837,5.3837,5.3742,5.3742,39813,0
2017-09-08,21:00:00,5.3837,5.3931,5.3742,5.3931,50916,0
2017-09-08,22:00:00,5.3868,5.3931,5.3837,5.3931,68132,0
2017-09-11,16:00:00,5.4215,5.431,5.412,5.4262,80010,0
2017-09-11,17:00:00,5.431,5.4404,5.4215,5.431,177550,0
2017-09-11,18:00:00,5.431,5.431,5.4121,5.431,131033,0
2017-09-11,19:00:00,5.431,5.4404,5.412,5.4188,69831,0
2017-09-11,20:00:00,5.4215,5.4215,5.412,5.4215,50409,0
2017-09-11,21:00:00,5.412,5.431,5.412,5.4277,81783,0
2017-09-11,22:00:00,5.4215,5.431,5.412,5.431,122094,0
2017-09-12,16:00:00,5.4404,5.4689,5.4404,5.4404,93640,0
2017-09-12,17:00:00,5.4499,5.4499,5.4404,5.4452,41999,0
2017-09-12,18:00:00,5.4452,5.4499,5.431,5.4381,53465,0
2017-09-12,19:00:00,5.4357,5.4404,5.431,5.431,20128,0
2017-09-12,20:00:00,5.431,5.4499,5.431,5.4499,35180,0
2017-09-12,21:00:00,5.4404,5.4499,5.4404,5.4404,45862,0
2017-09-12,22:00:00,5.4476,5.4593,5.431,5.4404,195402,0
2017-09-13,16:00:00,5.4404,5.4547,5.4404,5.4499,47462,0
2017-09-13,17:00:00,5.4499,5.4499,5.4405,5.4452,30744,0
2017-09-13,18:00:00,5.4452,5.4499,5.4404,5.4467,31225,0
2017-09-13,19:00:00,5.4414,5.4499,5.4404,5.4452,35350,0
2017-09-13,20:00:00,5.4498,5.4499,5.4404,5.4404,25280,0
2017-09-13,21:00:00,5.4499,5.4593,5.4404,5.4498,68890,0
2017-09-13,22:00:00,5.4452,5.4499,5.4404,5.4499,109930,0
2017-09-14,16:00:00,5.4499,5.4499,5.4404,5.4452,34453,0
2017-09-14,17:00:00,5.444,5.4499,5.4404,5.4404,47844,0
2017-09-14,18:00:00,5.4404,5.4499,5.4215,5.431,113858,0
2017-09-14,19:00:00,5.4215,5.4404,5.4215,5.4404,78123,0
2017-09-14,20:00:00,5.4404,5.4499,5.4404,5.4404,26975,0
2017-09-14,21:00:00,5.4404,5.4499,5.431,5.431,58002,0
2017-09-14,22:00:00,5.431,5.4499,5.4262,5.4499,107808,0
2017-09-15,16:00:00,5.4499,5.4499,5.4026,5.4452,88153,0
2017-09-15,17:00:00,5.4452,5.4499,5.4404,5.4404,37794,0
2017-09-15,18:00:00,5.4404,5.4493,5.431,5.431,54026,0
2017-09-15,19:00:00,5.431,5.4404,5.431,5.431,70270,0
2017-09-15,20:00:00,5.431,5.4404,5.4215,5.4215,51462,0
2017-09-15,21:00:00,5.4215,5.4499,5.4215,5.4452,72078,0
2017-09-15,22:00:00,5.4499,5.4499,5.4404,5.4499,36678,0
2017-09-18,16:00:00,5.4593,5.4689,5.4499,5.4526,60898,0
2017-09-18,17:00:00,5.4583,5.4593,5.4404,5.4404,75226,0
2017-09-18,18:00:00,5.4452,5.4593,5.4404,5.4452,45589,0
2017-09-18,19:00:00,5.4452,5.4499,5.4404,5.4404,50176,0
2017-09-18,20:00:00,5.4499,5.4593,5.4404,5.4539,56339,0
2017-09-18,21:00:00,5.4528,5.4593,5.4404,5.4452,51772,0
2017-09-18,22:00:00,5.4452,5.4593,5.4404,5.4593,140626,0
2017-09-19,16:00:00,5.5539,5.5635,5.5162,5.5351,903180,0
2017-09-19,17:00:00,5.5361,5.5445,5.5256,5.5351,696325,0
2017-09-19,18:00:00,5.5351,5.5539,5.5351,5.5493,301448,0
2017-09-19,19:00:00,5.5449,5.5539,5.5398,5.5445,132061,0
2017-09-19,20:00:00,5.5473,5.5635,5.5445,5.5445,350136,0
2017-09-19,21:00:00,5.5455,5.5539,5.5256,5.5445,200649,0
2017-09-19,22:00:00,5.5493,5.5635,5.5351,5.5445,345468,0
2017-09-20,16:00:00,5.5824,5.5918,5.5729,5.5918,448699,0
2017-09-20,17:00:00,5.5918,5.6004,5.5824,5.5824,334089,0
2017-09-20,18:00:00,5.5871,5.6022,5.5824,5.5997,303272,0
2017-09-20,19:00:00,5.5918,5.6108,5.5918,5.6012,465802,0
2017-09-20,20:00:00,5.6108,5.6108,5.5918,5.6012,215598,0
2017-09-20,21:00:00,5.6011,5.6012,5.5824,5.596,253887,0
2017-09-20,22:00:00,5.5919,5.606,5.5824,5.5918,326655,0
2017-09-21,16:00:00,5.6012,5.6108,5.5729,5.573,288693,0
2017-09-21,17:00:00,5.5635,5.5918,5.5635,5.5824,159012,0
2017-09-21,18:00:00,5.5824,5.6202,5.5729,5.6108,501556,0
2017-09-21,19:00:00,5.6046,5.6108,5.6012,5.6108,102927,0
2017-09-21,20:00:00,5.6047,5.6108,5.6012,5.6044,74136,0
2017-09-21,21:00:00,5.6012,5.6108,5.6012,5.606,43914,0
2017-09-21,22:00:00,5.6047,5.6108,5.5824,5.6012,230520,0
2017-09-22,16:00:00,5.6108,5.6202,5.5918,5.6202,92264,0
2017-09-22,17:00:00,5.6202,5.6391,5.6113,5.6249,336678,0
2017-09-22,18:00:00,5.6203,5.6391,5.6202,5.6258,205318,0
2017-09-22,19:00:00,5.627,5.6391,5.6202,5.6357,57920,0
2017-09-22,20:00:00,5.6297,5.6391,5.6297,5.6297,42399,0
2017-09-22,21:00:00,5.6344,5.6391,5.6297,5.6297,55998,0
2017-09-22,22:00:00,5.6344,5.6485,5.6297,5.6391,190249,0
2017-09-25,16:00:00,5.6485,5.6581,5.6202,5.6485,251613,0
2017-09-25,17:00:00,5.6485,5.6864,5.6447,5.6675,719032,0
2017-09-25,18:00:00,5.6582,5.6864,5.6581,5.6581,386640,0
2017-09-25,19:00:00,5.6628,5.6675,5.6581,5.6628,59145,0
2017-09-25,20:00:00,5.6631,5.677,5.6581,5.6581,212397,0
2017-09-25,21:00:00,5.6581,5.6675,5.6581,5.6581,104277,0
2017-09-25,22:00:00,5.6628,5.677,5.6581,5.677,194764,0
2017-09-26,16:00:00,5.6864,5.7054,5.6864,5.7006,194329,0
2017-09-26,17:00:00,5.7006,5.7054,5.677,5.6817,192159,0
2017-09-26,18:00:00,5.6817,5.6959,5.677,5.6863,176571,0
2017-09-26,19:00:00,5.6817,5.6863,5.6675,5.6675,74489,0
