Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-22,17:00:00,25.92,25.92,25.9,25.92,4036,0
2017-08-22,18:00:00,25.9195,25.93,25.91,25.93,2691,0
2017-08-22,19:00:00,25.94,25.94,25.94,25.94,100,0
2017-08-22,20:00:00,25.9499,25.9499,25.9499,25.9499,325,0
2017-08-22,21:00:00,25.9228,25.9446,25.9228,25.9446,225,0
2017-08-22,22:00:00,25.9196,25.92,25.91,25.91,1805,0
2017-08-23,16:00:00,25.91,25.9286,25.91,25.9286,1778,0
2017-08-23,17:00:00,25.9202,25.9353,25.9202,25.9353,542,0
2017-08-23,18:00:00,25.93,25.9309,25.9269,25.9309,484,0
2017-08-23,19:00:00,25.93,25.93,25.93,25.93,300,0
2017-08-23,20:00:00,25.9272,25.9272,25.9201,25.9201,525,0
2017-08-23,21:00:00,25.94,25.95,25.94,25.94,1337,0
2017-08-23,22:00:00,25.92,25.98,25.92,25.95,2540,0
2017-08-24,16:00:00,25.94,25.94,25.94,25.94,400,0
2017-08-24,17:00:00,25.93,25.95,25.93,25.95,529,0
2017-08-24,18:00:00,25.96,25.9885,25.95,25.98,3550,0
2017-08-24,19:00:00,25.9538,25.9538,25.9538,25.9538,153,0
2017-08-24,20:00:00,26,26.004,25.96,26,3620,0
2017-08-24,21:00:00,26.0196,26.03,25.97,25.97,663,0
2017-08-24,22:00:00,25.97,25.97,25.93,25.93,310,0
2017-08-25,16:00:00,25.94,25.9427,25.94,25.9427,510,0
2017-08-25,17:00:00,25.9427,25.98,25.9427,25.9557,1843,0
2017-08-25,18:00:00,25.96,25.96,25.96,25.96,448,0
2017-08-25,19:00:00,25.95,25.96,25.95,25.96,700,0
2017-08-25,20:00:00,25.97,25.9831,25.9521,25.96,1109,0
2017-08-25,21:00:00,25.9799,25.98,25.97,25.98,766,0
2017-08-25,22:00:00,25.99,26.02,25.93,25.93,1513,0
2017-08-28,16:00:00,25.95,25.95,25.95,25.95,219,0
2017-08-28,17:00:00,25.96,25.97,25.96,25.97,400,0
2017-08-28,19:00:00,25.98,25.98,25.98,25.98,100,0
2017-08-28,20:00:00,25.9637,25.97,25.95,25.96,7856,0
2017-08-28,21:00:00,25.96,25.97,25.96,25.97,200,0
2017-08-28,22:00:00,25.9506,25.97,25.9501,25.97,821,0
2017-08-29,16:00:00,25.96,25.96,25.93,25.93,1206,0
2017-08-29,17:00:00,25.95,26,25.95,26,2237,0
2017-08-29,18:00:00,25.9824,25.9824,25.96,25.96,4515,0
2017-08-29,19:00:00,25.9501,25.98,25.9501,25.9601,1507,0
2017-08-29,20:00:00,26,26,25.97,25.99,1700,0
2017-08-29,21:00:00,26,26,26,26,100,0
2017-08-29,22:00:00,25.97,25.98,25.95,25.95,19963,0
2017-08-30,16:00:00,25.95,25.9627,25.95,25.96,1654,0
2017-08-30,17:00:00,25.97,25.9988,25.9693,25.9706,1950,0
2017-08-30,18:00:00,25.9736,25.9736,25.9736,25.9736,400,0
2017-08-30,19:00:00,25.9651,26,25.9601,25.98,1322,0
2017-08-30,20:00:00,25.98,25.99,25.98,25.99,300,0
2017-08-30,21:00:00,26,26,25.98,25.98,600,0
2017-08-30,22:00:00,26,26.05,25.9701,26.04,2975,0
2017-08-31,16:00:00,26.02,26.02,26.02,26.02,243,0
2017-08-31,17:00:00,26.04,26.04,26.02,26.02,300,0
2017-08-31,18:00:00,26.02,26.06,26.02,26.06,1400,0
2017-08-31,19:00:00,26.05,26.05,26,26.04,1135,0
2017-08-31,20:00:00,26.04,26.07,26.04,26.045,2100,0
2017-08-31,21:00:00,26.08,26.08,26.0175,26.0603,2141,0
2017-08-31,22:00:00,26.09,26.13,26.06,26.13,8451,0
2017-09-01,16:00:00,26.1,26.1,26.07,26.07,636,0
2017-09-01,17:00:00,26.0996,26.1123,26.0996,26.1123,283,0
2017-09-01,18:00:00,26.1,26.1,26.09,26.09,2200,0
2017-09-01,19:00:00,26.09,26.09,26.09,26.09,200,0
2017-09-01,20:00:00,26.09,26.09,26.09,26.09,200,0
2017-09-01,21:00:00,26.09,26.1,26.09,26.1,700,0
2017-09-01,22:00:00,26.09,26.11,26.08,26.0837,1842,0
2017-09-05,16:00:00,26.08,26.08,26.08,26.08,1240,0
2017-09-05,17:00:00,26.07,26.07,26.07,26.07,100,0
2017-09-05,18:00:00,26.08,26.1,26.06,26.06,2028,0
2017-09-05,20:00:00,26.07,26.08,26.06,26.0754,3209,0
2017-09-05,21:00:00,26.08,26.1,26.07,26.0908,4788,0
2017-09-05,22:00:00,26.07,26.07,26.06,26.06,411,0
2017-09-06,16:00:00,26.06,26.06,26.0566,26.0566,406,0
2017-09-06,19:00:00,26.0809,26.0809,26.0809,26.0809,800,0
2017-09-06,21:00:00,26.0951,26.13,26.09,26.13,699,0
2017-09-06,22:00:00,26.1,26.17,26.1,26.17,1725,0
2017-09-07,16:00:00,26.14,26.14,26.14,26.14,268,0
2017-09-07,17:00:00,26.18,26.18,26.15,26.15,200,0
2017-09-07,19:00:00,26.1472,26.16,26.1472,26.16,1075,0
2017-09-07,20:00:00,26.1501,26.1501,26.1501,26.1501,160,0
2017-09-07,21:00:00,26.1678,26.18,26.1678,26.18,640,0
2017-09-07,22:00:00,26.1712,26.19,26.16,26.18,1585,0
2017-09-08,16:00:00,26.15,26.15,26.12,26.12,329,0
2017-09-08,17:00:00,26.18,26.18,26.15,26.15,1300,0
2017-09-08,18:00:00,26.17,26.17,26.13,26.13,1216,0
2017-09-08,19:00:00,26.13,26.14,26.13,26.14,1840,0
2017-09-08,20:00:00,26.1377,26.14,26.1377,26.14,231,0
2017-09-08,21:00:00,26.17,26.17,26.17,26.17,200,0
2017-09-08,22:00:00,26.17,26.189,26.13,26.1363,4327,0
2017-09-11,16:00:00,26.15,26.1999,26.15,26.1999,703,0
2017-09-11,17:00:00,26.17,26.1899,26.14,26.1899,1100,0
2017-09-11,18:00:00,26.1462,26.1858,26.1462,26.17,919,0
2017-09-11,19:00:00,26.15,26.16,26.15,26.16,4638,0
2017-09-11,20:00:00,26.15,26.16,26.14,26.16,11980,0
2017-09-11,21:00:00,26.15,26.16,26.1496,26.1496,7486,0
2017-09-11,22:00:00,26.1549,26.1549,26.15,26.15,563,0
2017-09-12,16:00:00,26.15,26.15,26.15,26.15,111,0
2017-09-12,17:00:00,26.16,26.16,26.15,26.16,2003,0
2017-09-12,18:00:00,26.16,26.16,26.16,26.16,100,0
2017-09-12,19:00:00,26.17,26.2204,26.162,26.2204,2400,0
2017-09-12,20:00:00,26.19,26.199,26.19,26.199,214,0
2017-09-12,21:00:00,26.19,26.19,26.19,26.19,1600,0
2017-09-12,22:00:00,26.19,26.19,26.17,26.17,2222,0
2017-09-13,16:00:00,26.18,26.2,26.18,26.2,414,0
2017-09-13,17:00:00,26.19,26.2099,26.19,26.2099,213,0
2017-09-13,19:00:00,26.21,26.21,26.19,26.19,4200,0
2017-09-13,20:00:00,26.18,26.2,26.1786,26.19,3000,0
2017-09-13,21:00:00,26.18,26.1999,26.18,26.1999,950,0
2017-09-13,22:00:00,26.2,26.2,26.17,26.17,670,0
2017-09-14,16:00:00,26.17,26.2,26.17,26.19,576,0
2017-09-14,17:00:00,26.19,26.19,26.18,26.18,300,0
2017-09-14,18:00:00,26.1808,26.1808,26.1808,26.1808,404,0
2017-09-14,20:00:00,26.2029,26.2029,26.2029,26.2029,275,0
2017-09-14,21:00:00,26.1815,26.2,26.1701,26.1701,2305,0
2017-09-14,22:00:00,26.19,26.1963,26.17,26.18,7436,0
2017-09-15,16:00:00,26.18,26.18,26.18,26.18,100,0
2017-09-15,17:00:00,26.19,26.2,26.1604,26.1662,820,0
2017-09-15,18:00:00,26.2,26.21,26.1999,26.2,1200,0
2017-09-15,19:00:00,26.1908,26.1908,26.1908,26.1908,500,0
2017-09-15,20:00:00,26.1974,26.1974,26.1974,26.1974,300,0
2017-09-15,21:00:00,26.19,26.2,26.1801,26.2,1300,0
2017-09-15,22:00:00,26.1973,26.23,26.19,26.19,739,0
2017-09-18,16:00:00,26.24,26.24,26.18,26.2,300,0
2017-09-18,17:00:00,26.1901,26.2241,26.1901,26.2241,505,0
2017-09-18,19:00:00,26.2013,26.2013,26.2013,26.2013,150,0
2017-09-18,20:00:00,26.1901,26.2079,26.1901,26.2079,1500,0
