Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,103.03,103.09,102.38,102.87,745527,0
2017-09-05,17:00:00,102.86,102.91,102.63,102.77,679427,0
2017-09-05,18:00:00,102.77,102.87,102.45,102.83,519094,0
2017-09-05,19:00:00,102.82,102.82,102.07,102.16,682603,0
2017-09-05,20:00:00,102.15,102.31,101.89,102.27,755177,0
2017-09-05,21:00:00,102.26,102.49,102.21,102.47,709158,0
2017-09-05,22:00:00,102.47,102.72,102.4,102.64,1564402,0
2017-09-06,16:00:00,102.97,103.33,102.87,103.22,534760,0
2017-09-06,17:00:00,103.22,103.38,102.87,103.03,710983,0
2017-09-06,18:00:00,103.03,103.11,102.76,102.99,626737,0
2017-09-06,19:00:00,103,103.25,102.94,103.23,387241,0
2017-09-06,20:00:00,103.24,103.34,103.01,103.12,471331,0
2017-09-06,21:00:00,103.12,103.16,102.83,102.9,552388,0
2017-09-06,22:00:00,102.9,103,102.73,102.81,1805577,0
2017-09-07,16:00:00,103.34,104.6,103.24,104.45,1002426,0
2017-09-07,17:00:00,104.46,105.07,104.25,104.94,1226296,0
2017-09-07,18:00:00,104.93,105.02,104.54,104.6,781907,0
2017-09-07,19:00:00,104.61,104.72,104.51,104.6,381238,0
2017-09-07,20:00:00,104.6,104.64,104.36,104.47,422126,0
2017-09-07,21:00:00,104.47,104.52,104.23,104.27,514772,0
2017-09-07,22:00:00,104.27,104.31,104.05,104.19,1450013,0
2017-09-08,16:00:00,103.96,104.27,103.69,104.27,525296,0
2017-09-08,17:00:00,104.27,104.4,104.14,104.32,662116,0
2017-09-08,18:00:00,104.32,104.32,103.99,104,662444,0
2017-09-08,19:00:00,104,104.28,103.99,104.17,372603,0
2017-09-08,20:00:00,104.18,104.19,104.07,104.15,427899,0
2017-09-08,21:00:00,104.16,104.39,104.15,104.23,663449,0
2017-09-08,22:00:00,104.23,104.32,104.02,104.06,1812160,0
2017-09-11,16:00:00,105.11,105.26,104.78,104.85,651400,0
2017-09-11,17:00:00,104.86,105.3,104.86,104.98,833109,0
2017-09-11,18:00:00,104.98,105.27,104.95,105.24,621130,0
2017-09-11,19:00:00,105.24,105.68,105.24,105.58,671061,0
2017-09-11,20:00:00,105.57,105.68,105.46,105.65,606123,0
2017-09-11,21:00:00,105.65,105.7,105.57,105.57,461348,0
2017-09-11,22:00:00,105.56,105.78,105.56,105.78,1739274,0
2017-09-12,16:00:00,106.26,106.26,105.61,105.84,678851,0
2017-09-12,17:00:00,105.83,105.9,105.53,105.87,761357,0
2017-09-12,18:00:00,105.86,105.96,105.76,105.82,469242,0
2017-09-12,19:00:00,105.82,105.89,105.39,105.45,633177,0
2017-09-12,20:00:00,105.44,105.65,105.41,105.61,422100,0
2017-09-12,21:00:00,105.61,105.85,105.59,105.76,461432,0
2017-09-12,22:00:00,105.76,105.84,105.68,105.84,1158256,0
2017-09-13,16:00:00,105.89,105.89,105.44,105.46,615514,0
2017-09-13,17:00:00,105.46,105.58,105.07,105.1,751464,0
2017-09-13,18:00:00,105.11,105.16,104.87,105.01,692027,0
2017-09-13,19:00:00,105.01,105.2,105,105.09,374205,0
2017-09-13,20:00:00,105.1,105.35,105.09,105.25,409335,0
2017-09-13,21:00:00,105.25,105.4,105.17,105.37,462784,0
2017-09-13,22:00:00,105.37,105.5,105.23,105.46,1559572,0
2017-09-14,16:00:00,105.13,105.93,105.13,105.81,460355,0
2017-09-14,17:00:00,105.8,106.45,105.8,106.27,849665,0
2017-09-14,18:00:00,106.28,106.39,106.12,106.14,617308,0
2017-09-14,19:00:00,106.14,106.23,105.88,106,719969,0
2017-09-14,20:00:00,105.99,106.06,105.85,106.02,492067,0
2017-09-14,21:00:00,106.01,106.12,105.68,105.86,1390486,0
2017-09-14,22:00:00,105.86,105.92,105.6,105.71,2270755,0
2017-09-15,16:00:00,105.37,105.77,104.87,105.1,2330603,0
2017-09-15,17:00:00,105.08,105.22,104.69,105.05,1368970,0
2017-09-15,18:00:00,105.04,105.06,104.72,105.02,679727,0
2017-09-15,19:00:00,105.02,105.25,104.92,105.07,514564,0
2017-09-15,20:00:00,105.06,105.13,104.78,104.88,780722,0
2017-09-15,21:00:00,104.88,104.92,104.79,104.9,735642,0
2017-09-15,22:00:00,104.91,104.93,104.58,104.93,4935583,0
2017-09-18,16:00:00,104.98,105.15,104.67,105,547444,0
2017-09-18,17:00:00,105,105.05,104.75,104.9,701974,0
2017-09-18,18:00:00,104.91,105.04,104.88,105.02,710163,0
2017-09-18,19:00:00,105.03,105.07,104.76,104.91,495606,0
2017-09-18,20:00:00,104.91,104.96,104.68,104.71,583082,0
2017-09-18,21:00:00,104.71,104.76,104.25,104.26,1142652,0
2017-09-18,22:00:00,104.26,104.65,104.26,104.46,2266201,0
2017-09-19,16:00:00,104.76,105.16,104.46,104.9,1094257,0
2017-09-19,17:00:00,104.9,104.97,104.61,104.87,1078400,0
2017-09-19,18:00:00,104.88,105.47,104.77,105.26,1221559,0
2017-09-19,19:00:00,105.28,105.56,105.11,105.18,1288837,0
2017-09-19,20:00:00,105.17,105.3,105.16,105.24,617582,0
2017-09-19,21:00:00,105.24,105.3,105,105.04,972237,0
2017-09-19,22:00:00,105.04,105.13,104.87,105.04,2642753,0
2017-09-20,16:00:00,105.13,105.35,105.08,105.24,631003,0
2017-09-20,17:00:00,105.23,105.39,104.89,105.22,769438,0
2017-09-20,18:00:00,105.22,105.24,104.94,105.05,601005,0
2017-09-20,19:00:00,105.05,105.17,105,105,342878,0
2017-09-20,20:00:00,104.99,104.99,104.78,104.88,444647,0
2017-09-20,21:00:00,104.87,104.94,104.09,104.37,1280071,0
2017-09-20,22:00:00,104.36,104.62,104.25,104.6,2335264,0
2017-09-21,16:00:00,104.63,104.72,104.28,104.42,449384,0
2017-09-21,17:00:00,104.41,105.18,104.33,105.14,891072,0
2017-09-21,18:00:00,105.13,105.24,105.04,105.05,447408,0
2017-09-21,19:00:00,105.05,105.17,104.76,104.86,337558,0
2017-09-21,20:00:00,104.87,105.06,104.86,105.02,296870,0
2017-09-21,21:00:00,105.02,105.16,105.01,105.06,446521,0
2017-09-21,22:00:00,105.07,105.19,104.91,104.94,1311460,0
2017-09-22,16:00:00,104.84,105.08,104.69,104.86,451247,0
2017-09-22,17:00:00,104.86,105.26,104.81,104.82,576180,0
2017-09-22,18:00:00,104.82,105.07,104.79,105.07,305503,0
2017-09-22,19:00:00,105.07,105.17,105,105.01,282379,0
2017-09-22,20:00:00,105,105.12,104.97,105.03,244931,0
2017-09-22,21:00:00,105.03,105.13,104.92,105.09,290812,0
2017-09-22,22:00:00,105.09,105.31,105.07,105.19,1805332,0
2017-09-25,16:00:00,105.13,105.28,103.89,103.93,631518,0
2017-09-25,17:00:00,103.92,103.99,103.18,103.29,1431342,0
2017-09-25,18:00:00,103.3,103.42,102.85,102.98,872844,0
2017-09-25,19:00:00,102.99,103.02,102.44,102.81,967225,0
2017-09-25,20:00:00,102.81,102.97,102.73,102.75,744343,0
2017-09-25,21:00:00,102.77,102.85,102.38,102.63,1191494,0
2017-09-25,22:00:00,102.64,102.67,102.54,102.65,2483145,0
2017-09-26,16:00:00,102.74,103.34,102.73,103.24,728012,0
2017-09-26,17:00:00,103.23,103.65,102.95,102.96,902945,0
2017-09-26,18:00:00,102.96,103.08,102.57,102.59,561195,0
2017-09-26,19:00:00,102.6,102.91,102.58,102.84,544701,0
2017-09-26,20:00:00,102.84,102.9,102.67,102.7,528939,0
2017-09-26,21:00:00,102.7,102.74,102.55,102.67,546376,0
2017-09-26,22:00:00,102.67,102.71,102.51,102.57,1440253,0
2017-09-27,16:00:00,102.7,103.35,102.53,103.1,724612,0
2017-09-27,17:00:00,103.1,103.24,102.87,103.05,794270,0
2017-09-27,18:00:00,103.05,103.42,102.94,103.38,829988,0
2017-09-27,19:00:00,103.37,103.44,103.29,103.33,641767,0
2017-09-27,20:00:00,103.33,103.34,103.21,103.29,600534,0
2017-09-27,21:00:00,103.3,103.57,103.28,103.42,1185625,0
2017-09-27,22:00:00,103.42,103.75,103.38,103.52,2452037,0
2017-09-28,16:00:00,103.38,103.78,103.37,103.72,610986,0
2017-09-28,17:00:00,103.73,104.61,103.71,104.18,835280,0
2017-09-28,18:00:00,104.17,104.45,104.1,104.25,593864,0
2017-09-28,19:00:00,104.25,104.36,104.13,104.29,409554,0
2017-09-28,20:00:00,104.3,104.43,104.28,104.35,520818,0
2017-09-28,21:00:00,104.35,104.38,104.04,104.1,675134,0
2017-09-28,22:00:00,104.1,104.29,104.06,104.21,1586710,0
2017-09-29,16:00:00,104.38,105.06,104.32,104.86,947930,0
2017-09-29,17:00:00,104.83,104.89,104.44,104.55,655752,0
2017-09-29,18:00:00,104.56,104.77,104.45,104.73,597498,0
2017-09-29,19:00:00,104.74,104.77,104.58,104.72,480476,0
2017-09-29,20:00:00,104.72,104.95,104.43,104.52,663793,0
2017-09-29,21:00:00,104.53,104.78,104.38,104.75,735671,0
2017-09-29,22:00:00,104.75,104.91,104.71,104.87,2630051,0
2017-10-02,16:00:00,105.17,105.43,105.13,105.39,623461,0
2017-10-02,17:00:00,105.38,105.62,105.29,105.48,771016,0
2017-10-02,18:00:00,105.48,105.52,104.9,104.9,504586,0
2017-10-02,19:00:00,104.9,105.09,104.73,105.08,342501,0
2017-10-02,20:00:00,105.09,105.23,105.02,105.09,329476,0
2017-10-02,21:00:00,105.1,105.16,104.94,105.15,332286,0
2017-10-02,22:00:00,105.15,105.19,105.02,105.07,1449413,0
2017-10-03,16:00:00,105.28,105.53,104.97,105.35,405262,0
2017-10-03,17:00:00,105.35,105.52,105,105.09,562351,0
2017-10-03,18:00:00,105.09,105.12,104.92,105.07,365710,0
2017-10-03,19:00:00,105.08,105.45,105.08,105.28,326924,0
2017-10-03,20:00:00,105.29,105.38,105.27,105.33,303849,0
2017-10-03,21:00:00,105.34,105.42,105.29,105.41,397602,0
2017-10-03,22:00:00,105.42,105.46,105.12,105.22,1273988,0
2017-10-04,16:00:00,105.34,105.37,104.69,104.88,458950,0
2017-10-04,17:00:00,104.88,104.89,104.53,104.81,656516,0
2017-10-04,18:00:00,104.82,104.93,104.68,104.71,418897,0
2017-10-04,19:00:00,104.72,105.11,104.72,105,286756,0
2017-10-04,20:00:00,105.01,105.07,104.78,104.85,282844,0
2017-10-04,21:00:00,104.85,104.93,104.76,104.91,316455,0
2017-10-04,22:00:00,104.91,104.95,104.81,104.94,1240143,0
2017-10-05,16:00:00,105.23,105.24,104.78,104.89,452145,0
2017-10-05,17:00:00,104.89,105.13,104.87,105.08,707153,0
2017-10-05,18:00:00,105.09,105.62,105.08,105.61,379564,0
2017-10-05,19:00:00,105.6,105.88,105.6,105.7,477620,0
2017-10-05,20:00:00,105.7,105.77,105.54,105.62,286084,0
2017-10-05,21:00:00,105.62,105.68,105.57,105.67,293818,0
2017-10-05,22:00:00,105.67,105.87,105.58,105.87,1179294,0
