Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,42.549,42.549,42.158,42.158,322,0
2017-09-05,17:00:00,42.363,42.559,42.06,42.06,10368,0
2017-09-05,18:00:00,42.079,42.119,41.991,42.001,8178,0
2017-09-05,19:00:00,41.967,42.031,41.874,41.972,3558,0
2017-09-05,20:00:00,41.972,41.972,41.62,41.855,2599,0
2017-09-05,21:00:00,41.864,41.991,41.864,41.938,18368,0
2017-09-05,22:00:00,41.894,41.991,41.815,41.991,175895,0
2017-09-06,16:00:00,42.138,42.597,41.659,41.659,734,0
2017-09-06,17:00:00,41.843,42.402,41.639,41.972,3733,0
2017-09-06,18:00:00,42.047,42.167,41.933,42.119,2285,0
2017-09-06,19:00:00,42.197,42.226,42.011,42.011,5598,0
2017-09-06,20:00:00,42.001,42.334,42.001,42.07,10286,0
2017-09-06,21:00:00,42.109,42.177,42.04,42.092,4028,0
2017-09-06,22:00:00,42.089,42.216,42.05,42.099,5961,0
2017-09-07,16:00:00,42.021,42.021,42.021,42.021,186,0
2017-09-07,17:00:00,41.94,42.285,41.757,42.242,1186,0
2017-09-07,18:00:00,42.128,42.197,41.815,42.197,3866,0
2017-09-07,19:00:00,42.177,42.353,42.177,42.353,5859,0
2017-09-07,20:00:00,42.324,42.441,42.177,42.177,1089,0
2017-09-07,21:00:00,42.187,42.334,42.148,42.285,6682,0
2017-09-07,22:00:00,42.334,42.401,42.148,42.285,20988,0
2017-09-08,16:00:00,42.236,42.626,42.04,42.235,2377,0
2017-09-08,17:00:00,42.099,42.48,41.991,42.461,17399,0
2017-09-08,18:00:00,42.285,42.392,42.216,42.334,4521,0
2017-09-08,19:00:00,42.218,42.295,42.011,42.246,10432,0
2017-09-08,20:00:00,42.236,42.265,42.138,42.216,1845,0
2017-09-08,21:00:00,42.275,42.334,42.187,42.275,8187,0
2017-09-08,22:00:00,42.246,42.471,42.04,42.177,11665,0
2017-09-11,16:00:00,42.392,42.617,42.201,42.201,573,0
2017-09-11,17:00:00,42.194,42.571,41.952,42.089,2901,0
2017-09-11,18:00:00,42.089,42.187,41.943,41.991,5605,0
2017-09-11,19:00:00,41.903,42.06,41.903,42.001,2870,0
2017-09-11,20:00:00,41.952,42.039,41.928,41.952,3326,0
2017-09-11,21:00:00,41.947,42.031,41.845,41.903,14126,0
2017-09-11,22:00:00,41.943,42.216,41.92,41.923,29251,0
2017-09-12,16:00:00,41.933,42.104,41.669,41.967,3039,0
2017-09-12,17:00:00,41.982,42.04,41.83,41.933,5896,0
