Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,5.35,5.35,5.2,5.225,40434,0
2017-09-05,17:00:00,5.2,5.25,5.2,5.225,27048,0
2017-09-05,18:00:00,5.225,5.25,5.2,5.25,28734,0
2017-09-05,19:00:00,5.225,5.25,5.2,5.25,12004,0
2017-09-05,20:00:00,5.225,5.25,4.95,5.025,169701,0
2017-09-05,21:00:00,5.025,5.15,5,5.075,124935,0
2017-09-05,22:00:00,5.0784,5.15,5.05,5.1,208424,0
2017-09-06,16:00:00,5.05,5.2,5.025,5.2,56892,0
2017-09-06,17:00:00,5.2,5.2,5.1,5.125,56995,0
2017-09-06,18:00:00,5.15,5.175,5.1,5.15,27723,0
2017-09-06,19:00:00,5.125,5.15,5.1061,5.125,15841,0
2017-09-06,20:00:00,5.15,5.2,5.125,5.15,48202,0
2017-09-06,21:00:00,5.19,5.2,5.15,5.2,70463,0
2017-09-06,22:00:00,5.2,5.35,5.15,5.25,273785,0
2017-09-07,16:00:00,5.25,5.6,5.2148,5.55,83640,0
2017-09-07,17:00:00,5.5001,5.9,5.5001,5.575,343293,0
2017-09-07,18:00:00,5.5999,5.7,5.55,5.625,33029,0
2017-09-07,19:00:00,5.65,5.775,5.6,5.65,85269,0
2017-09-07,20:00:00,5.675,5.95,5.65,5.725,163883,0
2017-09-07,21:00:00,5.7,5.85,5.7,5.825,76271,0
2017-09-07,22:00:00,5.85,5.85,5.65,5.7,207893,0
2017-09-08,16:00:00,5.65,5.65,5.45,5.5,37552,0
2017-09-08,17:00:00,5.5,5.55,5.45,5.525,82700,0
2017-09-08,18:00:00,5.525,5.55,5.45,5.45,55191,0
2017-09-08,19:00:00,5.4499,5.4499,5.35,5.375,45648,0
2017-09-08,20:00:00,5.375,5.4,5.35,5.375,28185,0
2017-09-08,21:00:00,5.39,5.55,5.375,5.4,95176,0
2017-09-08,22:00:00,5.4,5.45,5.35,5.4,114065,0
2017-09-11,16:00:00,5.4,5.5,5.35,5.375,25018,0
2017-09-11,17:00:00,5.375,5.5,5.35,5.4,54966,0
2017-09-11,18:00:00,5.45,5.45,5.35,5.45,90550,0
2017-09-11,19:00:00,5.425,5.45,5.4,5.45,7826,0
2017-09-11,20:00:00,5.4,5.45,5.4,5.4,18100,0
2017-09-11,21:00:00,5.425,5.45,5.4,5.425,28753,0
2017-09-11,22:00:00,5.425,5.45,5.4,5.4,88184,0
2017-09-12,16:00:00,5.45,5.55,5.4,5.5,24848,0
2017-09-12,17:00:00,5.525,5.6,5.45,5.475,46078,0
2017-09-12,18:00:00,5.475,5.55,5.45,5.5,35997,0
2017-09-12,19:00:00,5.525,5.6,5.5,5.55,62699,0
2017-09-12,20:00:00,5.6,5.8,5.55,5.6,185304,0
2017-09-12,21:00:00,5.6,5.65,5.55,5.55,46259,0
2017-09-12,22:00:00,5.575,5.6,5.5,5.55,116095,0
2017-09-13,16:00:00,5.55,5.65,5.5,5.575,17714,0
2017-09-13,17:00:00,5.575,5.7,5.55,5.6,66139,0
2017-09-13,18:00:00,5.625,5.7,5.55,5.6,50135,0
2017-09-13,19:00:00,5.6,5.65,5.55,5.625,36747,0
2017-09-13,20:00:00,5.6,5.65,5.5,5.575,82235,0
2017-09-13,21:00:00,5.55,5.6,5.55,5.55,21598,0
2017-09-13,22:00:00,5.6,5.65,5.45,5.55,318453,0
2017-09-14,16:00:00,5.55,5.65,5.45,5.575,22932,0
2017-09-14,17:00:00,5.5611,5.6,5.5,5.575,36451,0
2017-09-14,18:00:00,5.5604,5.65,5.55,5.625,57799,0
2017-09-14,19:00:00,5.65,5.7,5.6,5.675,54502,0
2017-09-14,20:00:00,5.7,5.7,5.65,5.7,11500,0
2017-09-14,21:00:00,5.7,5.7,5.65,5.675,51362,0
2017-09-14,22:00:00,5.675,5.7,5.5,5.55,289025,0
2017-09-15,16:00:00,5.65,5.795,5.55,5.75,76556,0
2017-09-15,17:00:00,5.8,5.925,5.7,5.875,146370,0
2017-09-15,18:00:00,5.9,6,5.7,5.8,162999,0
2017-09-15,19:00:00,5.8,5.85,5.75,5.825,75953,0
2017-09-15,20:00:00,5.825,5.95,5.8,5.875,172062,0
