Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,35.959,36.458,35.861,36.409,36899,0
2017-09-05,17:00:00,36.384,36.384,36.009,36.109,30627,0
2017-09-05,18:00:00,36.109,36.209,35.861,36.159,30879,0
2017-09-05,19:00:00,36.159,36.159,35.561,35.561,28960,0
2017-09-05,20:00:00,35.561,35.911,35.462,35.861,23966,0
2017-09-05,21:00:00,35.861,36.757,35.861,36.707,150592,0
2017-09-05,22:00:00,36.682,36.707,36.482,36.707,163223,0
2017-09-06,16:00:00,36.857,37.803,36.757,37.728,154786,0
2017-09-06,17:00:00,37.653,38.4,37.404,37.927,234566,0
2017-09-06,18:00:00,37.902,37.927,37.055,37.08,109239,0
2017-09-06,19:00:00,37.1,37.13,36.807,36.931,61656,0
2017-09-06,20:00:00,36.956,36.956,36.757,36.882,53349,0
2017-09-06,21:00:00,36.882,36.931,36.757,36.882,50404,0
2017-09-06,22:00:00,36.882,37.08,36.807,36.857,228518,0
2017-09-07,16:00:00,37.055,37.305,36.557,36.757,38977,0
2017-09-07,17:00:00,36.757,37.055,36.707,36.956,58572,0
2017-09-07,18:00:00,36.956,37.006,36.757,36.802,60124,0
2017-09-07,19:00:00,36.757,36.757,36.507,36.732,27918,0
2017-09-07,20:00:00,36.707,36.757,36.632,36.757,11483,0
2017-09-07,21:00:00,36.732,36.857,36.657,36.832,15807,0
2017-09-07,22:00:00,36.857,36.907,36.782,36.807,99559,0
2017-09-08,16:00:00,36.807,37.006,36.607,36.657,14320,0
2017-09-08,17:00:00,36.682,36.907,36.607,36.732,43261,0
2017-09-08,18:00:00,36.732,36.738,36.557,36.557,31828,0
2017-09-08,19:00:00,36.607,36.707,36.507,36.657,46937,0
2017-09-08,20:00:00,36.657,36.657,36.507,36.557,22338,0
2017-09-08,21:00:00,36.557,36.607,36.284,36.458,58703,0
2017-09-08,22:00:00,36.482,36.507,36.384,36.409,101564,0
2017-09-11,16:00:00,36.956,37.853,36.757,37.504,71898,0
2017-09-11,17:00:00,37.504,37.653,36.607,36.657,117725,0
2017-09-11,18:00:00,36.707,37.305,36.607,37.055,81319,0
2017-09-11,19:00:00,37.105,37.205,37.006,37.13,33915,0
2017-09-11,20:00:00,37.105,37.205,37.055,37.13,34506,0
2017-09-11,21:00:00,37.13,37.18,36.931,37.03,43076,0
2017-09-11,22:00:00,37.006,37.38,36.956,37.255,163370,0
2017-09-12,16:00:00,37.255,37.603,37.055,37.305,21598,0
2017-09-12,17:00:00,37.305,37.355,37.03,37.03,31412,0
2017-09-12,18:00:00,37.03,37.404,36.956,37.33,45060,0
2017-09-12,19:00:00,37.33,37.429,37.205,37.205,46819,0
2017-09-12,20:00:00,37.23,37.305,37.155,37.205,27520,0
2017-09-12,21:00:00,37.205,37.703,37.155,37.653,91380,0
2017-09-12,22:00:00,37.653,38.002,37.554,37.902,149279,0
2017-09-13,16:00:00,37.902,38.484,37.813,38.201,38546,0
2017-09-13,17:00:00,38.151,38.251,37.902,38.176,97218,0
2017-09-13,18:00:00,38.201,38.5,38.176,38.45,56981,0
2017-09-13,19:00:00,38.5,38.699,38.351,38.45,73558,0
2017-09-13,20:00:00,38.425,38.799,38.405,38.65,61470,0
2017-09-13,21:00:00,38.65,38.699,38.351,38.625,99025,0
2017-09-13,22:00:00,38.625,39.048,38.45,38.948,320866,0
2017-09-14,16:00:00,38.799,39.247,38.6,38.724,28469,0
2017-09-14,17:00:00,38.724,38.849,38.55,38.749,41759,0
2017-09-14,18:00:00,38.699,38.973,38.699,38.849,19864,0
2017-09-14,19:00:00,38.824,38.898,38.749,38.849,21822,0
2017-09-14,20:00:00,38.849,39.371,38.749,39.198,90904,0
2017-09-14,21:00:00,39.198,39.571,39.158,39.247,94606,0
2017-09-14,22:00:00,39.247,39.471,39.198,39.346,317191,0
2017-09-15,16:00:00,39.596,39.746,39.346,39.746,73464,0
2017-09-15,17:00:00,39.646,40.119,39.551,40.017,78756,0
2017-09-15,18:00:00,40.024,40.094,39.869,40.094,66380,0
2017-09-15,19:00:00,40.044,40.194,39.994,40.119,65105,0
2017-09-15,20:00:00,40.119,40.294,40.044,40.094,61496,0
2017-09-15,21:00:00,40.094,40.169,39.994,40.094,87365,0
