Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-28,16:00:00,26.42,26.42,26.3216,26.3216,1299,0
2017-08-28,17:00:00,26.315,26.37,26.315,26.315,700,0
2017-08-28,18:00:00,26.315,26.37,26.26,26.26,1100,0
2017-08-28,19:00:00,26.3282,26.37,26.26,26.37,1556,0
2017-08-28,20:00:00,26.27,26.3566,26.17,26.25,12203,0
2017-08-28,21:00:00,26.14,26.2598,26.09,26.2465,2007,0
2017-08-28,22:00:00,26.09,26.09,25.98,26.02,1157,0
2017-08-29,16:00:00,26.06,26.06,26.011,26.011,3352,0
2017-08-29,17:00:00,26.13,26.15,26.02,26.1399,2359,0
2017-08-29,18:00:00,26.04,26.14,26.0052,26.05,6124,0
2017-08-29,19:00:00,26.01,26.1094,25.9903,26.1094,535,0
2017-08-29,20:00:00,26.1,26.1,25.99,25.99,635,0
2017-08-29,21:00:00,26.01,26.02,26.01,26.02,400,0
2017-08-29,22:00:00,26.0492,26.086,25.99,26,1583,0
2017-08-30,16:00:00,26.13,26.13,26.13,26.13,1167,0
2017-08-30,17:00:00,26.11,26.13,26.11,26.13,200,0
2017-08-30,18:00:00,26.25,26.25,26.0001,26.25,762,0
2017-08-30,19:00:00,26.15,26.175,25.9,25.9,3133,0
2017-08-30,20:00:00,25.9603,25.9603,25.9603,25.9603,451,0
2017-08-30,21:00:00,25.9,25.96,25.89,25.96,1800,0
2017-08-30,22:00:00,25.999,25.999,25.904,25.99,1308,0
2017-08-31,16:00:00,26,26.1,25.91,26.1,9625,0
2017-08-31,17:00:00,26.08,26.0955,26.0111,26.0955,393,0
2017-08-31,18:00:00,26.1083,26.1083,26.08,26.08,237,0
2017-08-31,19:00:00,26.08,26.08,26.08,26.08,200,0
2017-08-31,20:00:00,26.08,26.1044,26.08,26.08,2182,0
2017-08-31,21:00:00,26.1,26.19,26.0754,26.19,3353,0
2017-08-31,22:00:00,26.2127,26.22,26.19,26.22,2608,0
2017-09-01,16:00:00,26.31,26.31,26.31,26.31,1007,0
2017-09-01,17:00:00,26.28,26.29,26.1402,26.2198,1171,0
2017-09-01,18:00:00,26.1928,26.3,26.1928,26.26,1713,0
2017-09-01,19:00:00,26.26,26.3,26.2014,26.28,911,0
2017-09-01,21:00:00,26.27,26.36,26.27,26.36,437,0
2017-09-01,22:00:00,26.29,26.3,26.1001,26.3,7430,0
2017-09-05,16:00:00,26.24,26.24,26.24,26.24,615,0
2017-09-05,17:00:00,26.19,26.25,26.19,26.23,3323,0
2017-09-05,18:00:00,26.26,26.36,26.1733,26.3441,885,0
2017-09-05,19:00:00,26.2546,26.2546,26.2546,26.2546,350,0
2017-09-05,20:00:00,26.3305,26.3305,26.3107,26.3107,390,0
2017-09-05,21:00:00,26.3105,26.3105,26.1801,26.1801,1323,0
2017-09-05,22:00:00,26.2378,26.31,26.2378,26.31,2083,0
2017-09-06,16:00:00,26.35,26.35,26.2833,26.345,1900,0
2017-09-06,17:00:00,26.3434,26.3434,26.283,26.283,900,0
2017-09-06,18:00:00,26.329,26.3424,26.18,26.3424,2333,0
2017-09-06,19:00:00,26.33,26.33,26.33,26.33,100,0
2017-09-06,20:00:00,26.2627,26.33,26.2627,26.307,1165,0
2017-09-06,21:00:00,26.2,26.35,26.19,26.2,3609,0
2017-09-06,22:00:00,26.2,26.2691,26.18,26.18,1999,0
2017-09-07,16:00:00,26.18,26.18,26.18,26.18,269,0
2017-09-07,17:00:00,26.225,26.2255,26.18,26.19,1508,0
2017-09-07,18:00:00,26.186,26.25,26.186,26.25,200,0
2017-09-07,19:00:00,26.15,26.15,26.15,26.15,150,0
2017-09-07,20:00:00,26.17,26.1813,26.0089,26.0089,1545,0
2017-09-07,21:00:00,25.9522,26.0377,25.94,25.94,1633,0
2017-09-07,22:00:00,25.89,26.01,25.47,25.75,6446,0
2017-09-08,16:00:00,25.83,25.9382,25.78,25.8,1396,0
2017-09-08,17:00:00,25.8,25.8,25.67,25.7979,2300,0
2017-09-08,18:00:00,25.835,25.84,25.8099,25.8302,1150,0
2017-09-08,19:00:00,25.58,25.73,25.55,25.55,700,0
2017-09-08,20:00:00,25.65,25.65,25.55,25.5567,932,0
2017-09-08,21:00:00,25.6703,25.6703,25.57,25.62,530,0
2017-09-08,22:00:00,25.5691,25.71,25.5691,25.71,533,0
2017-09-11,16:00:00,25.92,26.03,25.92,26.03,3040,0
2017-09-11,17:00:00,26.03,26.0696,26.03,26.03,533,0
2017-09-11,18:00:00,26.03,26.03,25.96,25.9799,849,0
2017-09-11,20:00:00,25.98,26.08,25.961,26.08,3750,0
2017-09-11,21:00:00,26.0083,26.0083,26.0083,26.0083,146,0
2017-09-11,22:00:00,25.9834,26.0275,25.9601,26.0275,2195,0
2017-09-12,16:00:00,26.04,26.08,26.04,26.0702,1522,0
2017-09-12,17:00:00,26.0332,26.0332,25.9775,25.9775,515,0
2017-09-12,18:00:00,26.0452,26.0452,26.0452,26.0452,136,0
2017-09-12,19:00:00,26.08,26.08,25.97,25.97,237,0
2017-09-12,20:00:00,26.0216,26.0216,26.0164,26.0164,430,0
2017-09-12,21:00:00,26.02,26.15,26.02,26.148,986,0
2017-09-12,22:00:00,26.0504,26.1,26.0504,26.1,393,0
2017-09-13,16:00:00,26.11,26.11,26.11,26.11,523,0
2017-09-13,17:00:00,26.035,26.04,25.967,26.04,2666,0
2017-09-13,18:00:00,25.961,26.05,25.961,26.04,700,0
2017-09-13,20:00:00,26.0629,26.0629,26.0629,26.0629,600,0
2017-09-13,21:00:00,26.14,26.17,26.14,26.17,261,0
2017-09-13,22:00:00,26.02,26.085,26,26.01,3343,0
2017-09-14,16:00:00,26.12,26.12,26.12,26.12,772,0
2017-09-14,17:00:00,26.09,26.09,26.0379,26.05,730,0
2017-09-14,18:00:00,26.15,26.17,26.0523,26.17,1032,0
2017-09-14,20:00:00,26.17,26.17,26.1169,26.1169,1000,0
2017-09-14,21:00:00,26.0739,26.08,26.06,26.08,350,0
2017-09-14,22:00:00,26.07,26.07,26.07,26.07,100,0
2017-09-15,16:00:00,26.17,26.17,26.17,26.17,1266,0
2017-09-15,17:00:00,26.17,26.17,26.03,26.05,6986,0
2017-09-15,18:00:00,26.06,26.06,26.06,26.06,100,0
2017-09-15,19:00:00,26.05,26.0911,26.041,26.0911,500,0
2017-09-15,20:00:00,26.0465,26.1205,26.01,26.04,4455,0
2017-09-15,21:00:00,26.01,26.04,26.01,26.0359,864,0
2017-09-15,22:00:00,26.0292,26.18,26,26.18,4028,0
2017-09-18,16:00:00,26.18,26.24,26.122,26.24,1566,0
2017-09-18,17:00:00,26.2158,26.25,26.2124,26.25,699,0
2017-09-18,18:00:00,26.25,26.31,26.15,26.17,2645,0
2017-09-18,19:00:00,26.249,26.249,26.249,26.249,800,0
2017-09-18,20:00:00,26.16,26.1972,26.151,26.1972,620,0
2017-09-18,21:00:00,26.212,26.212,26.15,26.15,535,0
2017-09-18,22:00:00,26.1704,26.29,26.15,26.29,778,0
2017-09-19,16:00:00,26.26,26.28,26.0775,26.28,1021,0
2017-09-19,17:00:00,26.117,26.221,26.117,26.19,1699,0
2017-09-19,18:00:00,26.2029,26.2029,26.05,26.05,4968,0
2017-09-19,19:00:00,26.05,26.1164,26.05,26.1164,650,0
2017-09-19,20:00:00,26.05,26.1632,26.05,26.1632,1275,0
2017-09-19,21:00:00,26.05,26.1124,26.05,26.06,7877,0
2017-09-19,22:00:00,26.0601,26.08,26.06,26.06,3242,0
2017-09-20,16:00:00,26.24,26.24,26.1348,26.1348,1678,0
2017-09-20,17:00:00,26.13,26.1665,26.1,26.1112,1590,0
2017-09-20,18:00:00,26.07,26.07,26.07,26.07,1300,0
2017-09-20,19:00:00,26.08,26.08,26.08,26.08,476,0
2017-09-20,20:00:00,26.1868,26.1868,26.135,26.135,422,0
2017-09-20,21:00:00,26.1787,26.1787,26.1787,26.1787,825,0
2017-09-20,22:00:00,26.1779,26.24,26.1231,26.24,376,0
2017-09-21,16:00:00,26.21,26.24,26.16,26.24,1198,0
2017-09-21,17:00:00,26.23,26.24,26.2244,26.24,1759,0
2017-09-21,18:00:00,26.24,26.25,26.23,26.25,900,0
2017-09-21,19:00:00,26.25,26.39,26.23,26.3378,4592,0
2017-09-21,20:00:00,26.36,26.36,26.1,26.2493,859,0
2017-09-21,21:00:00,26.37,26.37,26.16,26.16,700,0
2017-09-21,22:00:00,26.2,26.2452,26.1,26.1,7942,0
2017-09-22,16:00:00,26.13,26.18,26.118,26.18,1437,0
2017-09-22,17:00:00,26.17,26.18,26.17,26.175,1398,0
2017-09-22,18:00:00,26.2,26.2404,26.19,26.2404,591,0
2017-09-22,19:00:00,26.2531,26.2531,26.2,26.2,710,0
2017-09-22,20:00:00,26.195,26.25,26.13,26.1633,2100,0
2017-09-22,21:00:00,26.2193,26.2799,26.19,26.215,1451,0
2017-09-22,22:00:00,26.1916,26.2,26.15,26.2,1195,0
2017-09-25,16:00:00,26.23,26.23,26.16,26.165,3023,0
2017-09-25,17:00:00,26.18,26.18,26.16,26.16,500,0
2017-09-25,18:00:00,26.219,26.23,26.12,26.1563,1896,0
2017-09-25,19:00:00,26.175,26.23,26.1201,26.21,825,0
2017-09-25,20:00:00,26.1509,26.2542,26.1509,26.235,3963,0
2017-09-25,21:00:00,26.27,26.3,26.2592,26.3,1549,0
2017-09-25,22:00:00,26.3,26.37,26.3,26.37,400,0
2017-09-26,16:00:00,26.43,26.43,26.175,26.18,6490,0
2017-09-26,17:00:00,26.29,26.3699,26.2234,26.27,651,0
2017-09-26,18:00:00,26.275,26.275,26.275,26.275,500,0
2017-09-26,19:00:00,26.27,26.28,26.195,26.28,1900,0
2017-09-26,20:00:00,26.21,26.21,26.21,26.21,100,0
2017-09-26,21:00:00,26.21,26.21,26.19,26.1901,2019,0
2017-09-26,22:00:00,26.27,26.34,26.241,26.3,4555,0
2017-09-27,16:00:00,26.3,26.3,26.25,26.26,2428,0
2017-09-27,17:00:00,26.25,26.29,26.19,26.2098,2723,0
2017-09-27,18:00:00,26.22,26.22,26.21,26.22,1752,0
2017-09-27,19:00:00,26.2099,26.21,26.08,26.2,3292,0
2017-09-27,20:00:00,26.1742,26.21,26.168,26.192,2810,0
2017-09-27,21:00:00,26.1912,26.21,26.15,26.16,1986,0
2017-09-27,22:00:00,26.21,26.21,26.0965,26.21,1526,0
2017-09-28,16:00:00,26.23,26.23,26.23,26.23,1483,0
2017-09-28,17:00:00,26.19,26.19,26.11,26.11,760,0
2017-09-28,18:00:00,26.155,26.155,26.11,26.155,318,0
2017-09-28,20:00:00,26.11,26.1908,26.11,26.1908,1007,0
2017-09-28,21:00:00,26.2,26.2,26.13,26.2,1673,0
2017-09-28,22:00:00,26.2,26.2499,26.105,26.105,4110,0
2017-09-29,16:00:00,26.08,26.1,26.07,26.07,4493,0
2017-09-29,17:00:00,26.085,26.1,26.056,26.056,2206,0
2017-09-29,18:00:00,26.1,26.165,26.09,26.09,11570,0
2017-09-29,19:00:00,26.17,26.1828,26.17,26.1828,232,0
2017-09-29,20:00:00,26.11,26.1636,26.1,26.129,2986,0
2017-09-29,21:00:00,26.1,26.14,26.1,26.139,437,0
2017-09-29,22:00:00,26.195,26.195,26.13,26.17,3047,0
2017-10-02,16:00:00,26.09,26.09,26.09,26.09,550,0
2017-10-02,17:00:00,26.139,26.29,26.139,26.29,702,0
2017-10-02,18:00:00,26.288,26.29,26.288,26.29,300,0
2017-10-02,19:00:00,26.2,26.29,26.2,26.27,2729,0
2017-10-02,20:00:00,26.27,26.29,26.2001,26.27,2175,0
2017-10-02,21:00:00,26.245,26.29,26.2,26.28,701,0
2017-10-02,22:00:00,26.28,26.28,26.21,26.21,943,0
2017-10-03,16:00:00,26.2,26.26,25.98,26,2758,0
2017-10-03,17:00:00,26.24,26.28,26.22,26.24,400,0
2017-10-03,18:00:00,26.12,26.198,26.12,26.198,800,0
2017-10-03,19:00:00,26.2,26.25,26.2,26.25,300,0
2017-10-03,20:00:00,26.2329,26.2329,26.22,26.22,530,0
2017-10-03,21:00:00,26.23,26.2447,26.22,26.2447,1516,0
2017-10-03,22:00:00,26.25,26.27,26.1986,26.1986,1124,0
2017-10-04,16:00:00,26.27,26.27,26.27,26.27,817,0
2017-10-04,17:00:00,26.25,26.27,26.21,26.21,500,0
2017-10-04,18:00:00,26.2514,26.268,26.2448,26.268,1843,0
2017-10-04,19:00:00,26.2434,26.2434,26.2434,26.2434,112,0
2017-10-04,20:00:00,26.27,26.27,26.2,26.235,931,0
2017-10-04,21:00:00,26.2462,26.2462,26.2462,26.2462,389,0
2017-10-04,22:00:00,26.2275,26.25,26.2275,26.24,1455,0
2017-10-05,16:00:00,26.25,26.25,26.2127,26.2127,992,0
2017-10-05,17:00:00,26.27,26.27,26.268,26.268,244,0
2017-10-05,18:00:00,26.268,26.268,26.19,26.268,748,0
2017-10-05,19:00:00,26.19,26.19,26.1791,26.1791,575,0
2017-10-05,20:00:00,26.2178,26.26,26.17,26.2178,1047,0
2017-10-05,21:00:00,26.2178,26.2178,26.0701,26.0701,313,0
2017-10-05,22:00:00,26.2016,26.2016,26.12,26.12,261,0
2017-10-06,16:00:00,26.18,26.18,26.18,26.18,852,0
2017-10-06,17:00:00,26.16,26.16,26.16,26.16,200,0
2017-10-06,18:00:00,26.0643,26.0643,26.0643,26.0643,101,0
2017-10-06,19:00:00,26.17,26.17,26.052,26.052,824,0
2017-10-06,20:00:00,26.1137,26.18,26,26.02,3804,0
2017-10-06,21:00:00,26.14,26.14,25.9525,25.9525,223,0
2017-10-06,22:00:00,25.96,26.12,25.8,25.9,4892,0
2017-10-09,17:00:00,25.8707,25.8707,25.8707,25.8707,300,0
2017-10-09,18:00:00,25.76,25.918,25.75,25.918,392,0
2017-10-09,19:00:00,25.939,25.939,25.9124,25.9124,550,0
2017-10-09,20:00:00,25.75,25.75,25.75,25.75,100,0
2017-10-09,21:00:00,25.8815,25.8815,25.8783,25.8783,1111,0
2017-10-09,22:00:00,25.78,25.81,25.78,25.79,975,0
2017-10-10,16:00:00,25.87,25.87,25.87,25.87,215,0
2017-10-10,17:00:00,25.9,25.9,25.9,25.9,500,0
2017-10-10,18:00:00,25.91,26,25.91,26,615,0
2017-10-10,19:00:00,26,26.01,26,26.01,520,0
2017-10-10,20:00:00,26.1165,26.127,26.07,26.127,728,0
2017-10-10,22:00:00,26.12,26.13,25.99,25.99,612,0
2017-10-11,16:00:00,26.16,26.16,26.0736,26.14,1058,0
2017-10-11,17:00:00,26.0882,26.0882,26.0882,26.0882,400,0
2017-10-11,18:00:00,26.12,26.12,26.0871,26.12,318,0
