Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,11.06,11.34,11.06,11.12,34990,0
2017-09-05,17:00:00,11.13,11.27,11.115,11.21,73984,0
2017-09-05,18:00:00,11.2,11.25,11.07,11.11,53669,0
2017-09-05,19:00:00,11.09,11.11,10.95,11.02,48610,0
2017-09-05,20:00:00,11.02,11.11,10.93,11.1,62062,0
2017-09-05,21:00:00,11.11,11.14,11.07,11.09,52720,0
2017-09-05,22:00:00,11.09,11.21,11.09,11.2,214889,0
2017-09-06,16:00:00,11.29,11.63,11.16,11.57,50509,0
2017-09-06,17:00:00,11.58,11.86,11.55,11.78,115241,0
2017-09-06,18:00:00,11.8,11.8,11.56,11.67,103762,0
2017-09-06,19:00:00,11.69,11.69,11.53,11.535,66679,0
2017-09-06,20:00:00,11.53,11.58,11.48,11.48,58093,0
2017-09-06,21:00:00,11.48,11.55,11.445,11.54,44238,0
2017-09-06,22:00:00,11.54,11.58,11.54,11.57,151255,0
2017-09-07,16:00:00,11.48,11.61,11.33,11.345,24215,0
2017-09-07,17:00:00,11.41,11.55,11.4,11.49,44153,0
2017-09-07,18:00:00,11.47,11.56,11.44,11.5,42214,0
2017-09-07,19:00:00,11.5,11.71,11.5,11.71,32897,0
2017-09-07,20:00:00,11.7,11.72,11.62,11.71,42606,0
2017-09-07,21:00:00,11.7,11.72,11.64,11.65,42509,0
2017-09-07,22:00:00,11.65,11.735,11.65,11.7,165294,0
2017-09-08,16:00:00,11.62,11.62,11.39,11.4,11187,0
2017-09-08,17:00:00,11.41,11.46,11.24,11.33,23202,0
2017-09-08,18:00:00,11.34,11.37,11.25,11.26,55906,0
2017-09-08,19:00:00,11.26,11.275,11.17,11.19,39577,0
2017-09-08,20:00:00,11.19,11.19,10.99,11.04,56727,0
2017-09-08,21:00:00,11.09,11.19,11.05,11.13,45793,0
2017-09-08,22:00:00,11.15,11.235,11.13,11.17,104730,0
2017-09-11,16:00:00,11.2,11.22,11.03,11.1,16855,0
2017-09-11,17:00:00,11.09,11.23,11.07,11.21,32869,0
2017-09-11,18:00:00,11.22,11.47,11.17,11.39,46838,0
2017-09-11,19:00:00,11.42,11.5,11.41,11.475,39515,0
2017-09-11,20:00:00,11.49,11.52,11.43,11.435,43844,0
2017-09-11,21:00:00,11.43,11.44,11.38,11.38,35565,0
2017-09-11,22:00:00,11.37,11.44,11.35,11.38,117308,0
2017-09-12,16:00:00,11.36,11.47,11.19,11.38,42296,0
2017-09-12,17:00:00,11.39,11.52,11.36,11.442,27402,0
2017-09-12,18:00:00,11.43,11.59,11.39,11.58,27467,0
2017-09-12,19:00:00,11.59,11.62,11.56,11.58,33260,0
2017-09-12,20:00:00,11.58,11.6,11.54,11.54,33835,0
2017-09-12,21:00:00,11.54,11.55,11.3,11.35,108746,0
2017-09-12,22:00:00,11.34,11.34,11.21,11.21,103395,0
2017-09-13,16:00:00,11.19,11.48,11.15,11.39,29441,0
2017-09-13,17:00:00,11.41,11.47,11.27,11.36,27264,0
2017-09-13,18:00:00,11.36,11.5,11.34,11.47,50308,0
2017-09-13,19:00:00,11.45,11.45,11.34,11.36,42897,0
2017-09-13,20:00:00,11.36,11.48,11.34,11.47,46626,0
2017-09-13,21:00:00,11.48,11.52,11.44,11.47,35417,0
2017-09-13,22:00:00,11.47,11.5,11.45,11.47,279824,0
2017-09-14,16:00:00,11.53,11.78,11.53,11.78,7053,0
2017-09-14,17:00:00,11.79,11.99,11.61,11.93,58968,0
2017-09-14,18:00:00,11.99,12,11.7,11.75,81099,0
2017-09-14,19:00:00,11.77,11.77,11.69,11.7,43690,0
2017-09-14,20:00:00,11.7,11.825,11.62,11.78,69185,0
2017-09-14,21:00:00,11.7773,11.825,11.73,11.76,54685,0
2017-09-14,22:00:00,11.76,11.78,11.72,11.76,157032,0
2017-09-15,16:00:00,11.79,11.79,11.58,11.66,58724,0
2017-09-15,17:00:00,11.65,11.655,11.53,11.63,36809,0
2017-09-15,18:00:00,11.63,11.69,11.49,11.53,146659,0
2017-09-15,19:00:00,11.54,11.54,11.33,11.36,31774,0
2017-09-15,20:00:00,11.35,11.53,11.35,11.53,51879,0
2017-09-15,21:00:00,11.51,11.55,11.48,11.51,52239,0
2017-09-15,22:00:00,11.5,11.64,11.49,11.58,371631,0
2017-09-18,16:00:00,11.58,11.72,11.56,11.689,9722,0
2017-09-18,17:00:00,11.68,11.72,11.57,11.59,47138,0
2017-09-18,18:00:00,11.59,11.6,11.39,11.41,84881,0
2017-09-18,19:00:00,11.41,11.46,11.36,11.39,74136,0
2017-09-18,20:00:00,11.4,11.5,11.39,11.47,44977,0
2017-09-18,21:00:00,11.46,11.485,11.4198,11.44,43322,0
2017-09-18,22:00:00,11.43,11.46,11.42,11.45,106596,0
2017-09-19,16:00:00,11.44,11.64,11.44,11.56,15388,0
2017-09-19,17:00:00,11.58,11.63,11.44,11.51,14484,0
2017-09-19,18:00:00,11.49,11.59,11.42,11.58,19178,0
2017-09-19,19:00:00,11.58,11.58,11.35,11.35,27831,0
2017-09-19,20:00:00,11.35,11.45,11.31,11.41,16542,0
2017-09-19,21:00:00,11.39,11.62,11.39,11.56,55197,0
2017-09-19,22:00:00,11.56,11.64,11.56,11.64,125884,0
2017-09-20,16:00:00,11.74,11.83,11.64,11.83,7808,0
2017-09-20,17:00:00,11.84,11.84,11.5975,11.79,21411,0
2017-09-20,18:00:00,11.79,12.02,11.69,11.95,205617,0
2017-09-20,19:00:00,11.95,12.08,11.91,12.07,41740,0
2017-09-20,20:00:00,12.06,12.16,12.02,12.13,57636,0
2017-09-20,21:00:00,12.12,12.17,11.96,12.06,44788,0
2017-09-20,22:00:00,12.05,12.07,11.96,12.02,90844,0
2017-09-21,16:00:00,12.03,12.11,11.86,11.9,6508,0
2017-09-21,17:00:00,11.98,12.04,11.84,11.93,37110,0
2017-09-21,18:00:00,11.92,11.92,11.83,11.88,19616,0
2017-09-21,19:00:00,11.885,11.93,11.85,11.85,23300,0
2017-09-21,20:00:00,11.89,11.93,11.87,11.88,21566,0
2017-09-21,21:00:00,11.88,11.92,11.88,11.91,18558,0
2017-09-21,22:00:00,11.91,12.06,11.91,12.06,213448,0
2017-09-22,16:00:00,12.05,12.26,11.98,12.135,26779,0
2017-09-22,17:00:00,12.11,12.43,12.11,12.4,122163,0
2017-09-22,18:00:00,12.38,12.42,12.23,12.27,68196,0
2017-09-22,19:00:00,12.26,12.29,12.18,12.21,37629,0
2017-09-22,20:00:00,12.21,12.36,12.21,12.34,26295,0
2017-09-22,21:00:00,12.34,12.38,12.285,12.35,42800,0
2017-09-22,22:00:00,12.35,12.365,12.3,12.31,85026,0
2017-09-25,16:00:00,12.4,12.63,12.4,12.49,20818,0
2017-09-25,17:00:00,12.46,12.64,12.38,12.39,128323,0
2017-09-25,18:00:00,12.39,12.43,12.3,12.35,77870,0
2017-09-25,19:00:00,12.35,12.365,12.29,12.32,127678,0
2017-09-25,20:00:00,12.325,12.37,12.32,12.365,126042,0
2017-09-25,21:00:00,12.36,12.48,12.35,12.475,147151,0
2017-09-25,22:00:00,12.48,12.58,12.47,12.53,118701,0
2017-09-26,16:00:00,12.44,12.58,12.4,12.58,15720,0
2017-09-26,17:00:00,12.62,12.73,12.55,12.71,51062,0
2017-09-26,18:00:00,12.7,12.8,12.675,12.78,83396,0
2017-09-26,19:00:00,12.8,12.92,12.75,12.91,108897,0
2017-09-26,20:00:00,12.91,12.97,12.9,12.93,53383,0
2017-09-26,21:00:00,12.93,12.93,12.71,12.74,120777,0
2017-09-26,22:00:00,12.75,12.76,12.63,12.74,262285,0
2017-09-27,16:00:00,12.74,12.92,12.71,12.71,36930,0
2017-09-27,17:00:00,12.7,13.06,12.69,12.95,195122,0
2017-09-27,18:00:00,12.9402,13.14,12.86,13.14,130046,0
2017-09-27,19:00:00,13.14,13.62,13.08,13.54,159356,0
2017-09-27,20:00:00,13.55,13.6,13.27,13.5,163330,0
2017-09-27,21:00:00,13.4901,13.6,13.4901,13.54,163138,0
2017-09-27,22:00:00,13.54,13.61,13.495,13.54,234670,0
2017-09-28,16:00:00,13.52,13.84,13.51,13.57,47377,0
2017-09-28,17:00:00,13.58,13.6574,13.36,13.39,120764,0
2017-09-28,18:00:00,13.38,13.44,13.16,13.37,107058,0
2017-09-28,19:00:00,13.36,13.38,13.11,13.35,117186,0
2017-09-28,20:00:00,13.35,13.55,13.25,13.46,102189,0
2017-09-28,21:00:00,13.45,13.45,13.26,13.35,90184,0
2017-09-28,22:00:00,13.35,13.41,13.3,13.39,143719,0
2017-09-29,16:00:00,13.22,13.27,13.06,13.18,22036,0
2017-09-29,17:00:00,13.21,13.26,13.06,13.26,29853,0
2017-09-29,18:00:00,13.25,13.25,13.11,13.16,48338,0
2017-09-29,19:00:00,13.16,13.24,13.16,13.23,34922,0
2017-09-29,20:00:00,13.235,13.26,13.21,13.24,21312,0
2017-09-29,21:00:00,13.25,13.29,13.23,13.265,35922,0
2017-09-29,22:00:00,13.27,13.34,13.26,13.32,249300,0
2017-10-02,16:00:00,13.08,13.16,12.95,13.1,17776,0
2017-10-02,17:00:00,13.12,13.22,13,13,60746,0
2017-10-02,18:00:00,13,13.08,12.86,13.02,54660,0
2017-10-02,19:00:00,13.02,13.19,13.01,13.19,24923,0
2017-10-02,20:00:00,13.19,13.24,13.11,13.24,30663,0
2017-10-02,21:00:00,13.24,13.25,13.16,13.2039,36519,0
