Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,17:00:00,37.73,37.85,37.25,37.72,3233,0
2017-08-29,18:00:00,37.3,37.3,37.3,37.3,200,0
2017-08-29,19:00:00,37.67,37.7,37.4,37.69,2655,0
2017-08-29,21:00:00,37.69,37.7,37.676,37.7,790,0
2017-08-29,22:00:00,37.7,38.05,37.7,37.99,4301,0
2017-08-30,16:00:00,39.21,39.53,38.95,38.95,4421,0
2017-08-30,17:00:00,39.155,39.34,39.09,39.34,1500,0
2017-08-30,18:00:00,39.23,39.34,39.09,39.34,1150,0
2017-08-30,19:00:00,39.34,39.42,39.34,39.355,700,0
2017-08-30,20:00:00,39.3303,39.54,39.3303,39.4964,800,0
2017-08-30,21:00:00,39.55,39.55,39.38,39.46,1428,0
2017-08-30,22:00:00,39.38,39.5,39.33,39.4,1903,0
2017-08-31,16:00:00,38.95,39,38.66,38.78,2064,0
2017-08-31,17:00:00,38.73,38.7314,38.69,38.69,3500,0
2017-08-31,18:00:00,38.73,38.73,38.65,38.65,2012,0
2017-08-31,19:00:00,38.6,38.6,38.6,38.6,874,0
2017-08-31,20:00:00,38.64,38.64,38.5,38.59,1976,0
2017-08-31,21:00:00,38.59,38.6,38.59,38.6,300,0
2017-08-31,22:00:00,38.65,38.68,38.385,38.6,4463,0
2017-09-01,16:00:00,38.69,38.77,38.69,38.77,300,0
2017-09-01,17:00:00,38.76,38.76,38.76,38.76,100,0
2017-09-01,19:00:00,38.745,38.745,38.745,38.745,100,0
2017-09-01,20:00:00,38.77,38.77,38.74,38.74,1060,0
2017-09-01,21:00:00,38.7699,38.7699,38.75,38.76,323,0
2017-09-01,22:00:00,38.76,38.84,38.72,38.84,2603,0
2017-09-05,16:00:00,38.5,38.5,38.5,38.5,241,0
2017-09-05,17:00:00,38.52,38.52,38.5,38.5,200,0
2017-09-05,18:00:00,38.5388,38.5388,38.41,38.42,1900,0
2017-09-05,19:00:00,38.3605,38.3605,38.14,38.14,2885,0
2017-09-05,20:00:00,38.14,38.199,38.1,38.13,2860,0
